"","Dagen","IC_naar_Verpleeg","Huidig_Opgenomen_IC","Levend_Verlaten","Overleden"
"V1",1,3,2,45,40
"V2",2,7,1,95,67
"V3",3,6,3,64,40
"V4",4,3,1,48,47
"V5",5,2,2,54,42
"V6",6,1,2,54,37
"V7",7,1,0,45,35
"V8",8,0,1,52,46
"V9",9,1,0,63,34
"V10",10,3,1,76,29
"V11",11,1,1,74,26
"V12",12,3,2,62,31
"V13",13,5,0,67,24
"V14",14,0,2,76,21
"V15",15,2,0,76,25
"V16",16,1,0,59,28
"V17",17,0,1,52,16
"V18",18,0,2,47,29
"V19",19,1,3,42,23
"V20",20,0,0,40,25
"V21",21,2,3,34,17
"V22",22,0,1,32,12
"V23",23,1,0,33,24
"V24",24,1,1,36,11
"V25",25,0,0,29,19
"V26",26,0,0,31,15
"V27",27,1,0,36,12
"V28",28,0,0,21,9
"V29",29,0,0,30,7
"V30",30,0,1,30,8
"V31",31,1,0,29,9
"V32",32,1,1,37,6
"V33",33,0,0,19,5
"V34",34,0,0,20,6
"V35",35,1,0,20,3
"V36",36,0,2,22,7
"V37",37,0,0,19,7
"V38",38,0,0,17,3
"V39",39,1,0,24,2
"V40",40,1,0,19,1
"V41",41,1,1,19,6
"V42",42,0,0,16,1
"V43",43,0,0,25,3
"V44",44,1,0,22,1
"V45",45,0,0,13,2
"V46",46,0,0,10,0
"V47",47,0,0,11,2
"V48",48,0,0,10,2
"V49",49,1,0,12,1
"V50",50,0,0,10,1
"V51",51,1,0,14,1
"V52",52,0,0,4,0
"V53",53,0,0,6,2
"V54",54,0,0,8,1
"V55",55,0,0,5,1
"V56",56,0,0,8,0
"V57",57,1,0,8,1
"V58",58,0,0,3,1
"V59",59,1,0,3,1
"V60",60,0,0,5,0
