"","date","cases","hospitalization","deaths","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"1",2020-02-27,1,NA,0,2,2,1,0,7,4,7,41,0,0,0,4,1,2,0
"2",2020-02-28,2,NA,0,3,0,0,1,8,5,8,44,0,0,0,3,1,2,1
"3",2020-02-29,7,NA,0,2,0,0,0,9,4,9,45,0,0,0,2,0,2,1
"4",2020-03-01,10,NA,0,6,1,2,0,11,5,11,52,0,0,1,7,2,3,1
"5",2020-03-02,18,NA,0,9,1,0,0,10,5,11,62,0,0,1,10,0,4,1
"6",2020-03-03,24,NA,0,6,0,1,0,12,6,13,67,0,0,1,6,1,4,1
"7",2020-03-04,38,NA,0,8,2,3,0,15,8,16,76,0,2,1,10,3,6,1
"8",2020-03-05,82,NA,0,9,0,1,1,15,8,18,83,0,2,1,9,2,6,2
"9",2020-03-06,128,NA,1,13,1,4,0,19,11,22,96,0,2,2,14,4,7,2
"10",2020-03-07,188,NA,1,5,3,3,0,21,12,25,104,0,3,1,8,3,10,2
"11",2020-03-08,265,NA,3,13,5,6,0,27,16,31,120,2,3,1,18,6,15,2
"12",2020-03-09,321,NA,3,18,5,5,1,31,18,38,140,2,3,2,23,6,20,3
"13",2020-03-10,382,NA,4,18,4,9,0,37,19,47,156,2,3,2,22,9,24,3
"14",2020-03-11,503,NA,5,38,4,8,0,46,21,57,192,4,3,2,42,8,28,3
"15",2020-03-12,613,86,5,49,4,23,0,67,28,80,239,5,3,2,53,23,32,3
"16",2020-03-13,804,115,10,58,4,13,0,78,31,94,293,5,4,2,62,13,36,3
"17",2020-03-14,959,136,12,50,3,17,0,94,39,112,332,6,6,5,53,17,39,3
"18",2020-03-15,1135,162,20,57,8,27,0,118,47,140,375,10,6,8,65,27,47,3
"19",2020-03-16,1413,205,24,119,18,32,0,146,53,173,490,15,7,9,137,32,65,3
"20",2020-03-17,1703,314,43,119,13,34,0,175,56,209,570,17,7,12,132,34,78,3
"21",2020-03-18,2051,408,58,147,15,50,0,224,60,263,686,22,10,13,162,50,93,3
"22",2020-03-19,2460,489,76,200,26,57,1,281,68,327,854,29,10,15,226,58,119,4
"23",2020-03-20,2994,634,106,195,26,82,0,356,70,414,1009,34,12,21,221,82,145,4
"24",2020-03-21,3631,836,136,173,12,73,3,425,70,496,1085,46,14,27,185,76,157,7
"25",2020-03-22,4204,988,179,210,17,71,1,479,70,570,1182,52,17,29,227,72,174,8
