"Date_of_publication","Municipality_name","Municipal_health_service","cases.today.mun","cases.yesterday.mun","diff"
2020-04-20,"Tilburg","GGD Hart voor Brabant",16,17,-1
2020-12-18,"Renswoude","GGD Regio Utrecht",9,8,1
2020-12-18,"Wageningen","Veiligheids- en Gezondheidsregio Gelderland-Midden",31,32,-1
2020-12-21,"","GGD Kennemerland",2,3,-1
2020-12-21,"Haarlem","GGD Kennemerland",117,116,1
2021-01-16,"Haarlemmermeer","GGD Kennemerland",43,44,-1
2021-01-30,"","GGD Gooi en Vechtstreek",0,1,-1
2021-01-30,"Blaricum","GGD Gooi en Vechtstreek",2,1,1
2021-01-31,"","Dienst Gezondheid & Jeugd ZHZ",0,2,-2
2021-01-31,"Zwijndrecht","Dienst Gezondheid & Jeugd ZHZ",16,14,2
2021-02-01,"","Dienst Gezondheid & Jeugd ZHZ",0,1,-1
2021-02-01,"Het Hogeland","GGD Groningen",5,4,1
2021-02-02,"","Dienst Gezondheid & Jeugd ZHZ",1,2,-1
2021-02-02,"Hoeksche Waard","Dienst Gezondheid & Jeugd ZHZ",31,30,1
2021-02-05,"","Dienst Gezondheid & Jeugd ZHZ",1,2,-1
2021-02-05,"Dordrecht","Dienst Gezondheid & Jeugd ZHZ",48,47,1
2021-02-15,"","GGD Kennemerland",0,1,-1
2021-02-15,"Haarlemmermeer","GGD Kennemerland",18,17,1
2021-02-17,"Eindhoven","GGD Brabant-Zuidoost",43,44,-1
2021-02-20,"","GGD Regio Utrecht",0,1,-1
2021-02-20,"Utrechtse Heuvelrug","GGD Regio Utrecht",3,2,1
2021-02-21,"'s-Hertogenbosch","GGD Hart voor Brabant",53,54,-1
2021-02-23,"","GGD Hart voor Brabant",2,3,-1
2021-02-23,"Goirle","GGD Hart voor Brabant",7,6,1
2021-02-24,"","GGD Hart voor Brabant",0,1,-1
2021-02-24,"'s-Hertogenbosch","GGD Hart voor Brabant",49,48,1
2021-02-25,"'s-Hertogenbosch","GGD Hart voor Brabant",50,51,-1
2021-02-25,"Tilburg","GGD Hart voor Brabant",96,97,-1
2021-02-26,"Oosterhout","GGD West-Brabant",11,12,-1
2021-02-27,"Groningen","GGD Groningen",118,120,-2
2021-02-27,"Heerlen","GGD Zuid-Limburg",22,23,-1
2021-03-01,"'s-Hertogenbosch","GGD Hart voor Brabant",45,46,-1
2021-03-03,"","GGD Zaanstreek/Waterland",0,1,-1
2021-03-03,"Amsterdam","GGD Amsterdam",329,330,-1
2021-03-03,"Zaanstad","GGD Zaanstreek/Waterland",56,55,1
2021-03-04,"","GGD Zuid-Limburg",1,2,-1
2021-03-07,"","GGD Groningen",0,1,-1
2021-03-07,"Het Hogeland","GGD Groningen",10,9,1
2021-03-08,"","GGD Amsterdam",1,2,-1
2021-03-08,"Aalsmeer","GGD Amsterdam",8,7,1
2021-03-08,"Veenendaal","GGD Regio Utrecht",18,19,-1
2021-03-10,"","GGD Amsterdam",3,4,-1
2021-03-10,"","GGD IJsselland",12,18,-6
2021-03-10,"Eijsden-Margraten","GGD Zuid-Limburg",4,5,-1
2021-03-10,"Ommen","GGD IJsselland",8,7,1
2021-03-10,"Raalte","GGD IJsselland",22,18,4
2021-03-10,"Staphorst","GGD IJsselland",2,1,1
2021-03-10,"Uithoorn","GGD Amsterdam",18,17,1
2021-03-11,"","GGD IJsselland",4,7,-3
2021-03-11,"","GGD Zaanstreek/Waterland",0,1,-1
2021-03-11,"Ommen","GGD IJsselland",9,7,2
2021-03-11,"Raalte","GGD IJsselland",23,22,1
2021-03-11,"Zaanstad","GGD Zaanstreek/Waterland",59,58,1
2021-03-12,"Pijnacker-Nootdorp","GGD Haaglanden",10,11,-1
2021-03-12,"Sittard-Geleen","GGD Zuid-Limburg",19,20,-1
2021-03-13,"","GGD Amsterdam",2,3,-1
2021-03-13,"","GGD Gelderland-Zuid",1,2,-1
2021-03-13,"","GGD Hart voor Brabant",0,1,-1
2021-03-13,"'s-Hertogenbosch","GGD Hart voor Brabant",89,88,1
2021-03-13,"Amsterdam","GGD Amsterdam",225,224,1
2021-03-13,"Bergen op Zoom","GGD West-Brabant",10,11,-1
2021-03-13,"West Betuwe","GGD Gelderland-Zuid",23,22,1
2021-03-14,"","GGD Groningen",1,2,-1
2021-03-14,"","GGD IJsselland",6,10,-4
2021-03-14,"Bodegraven-Reeuwijk","GGD Hollands-Midden",15,16,-1
2021-03-14,"Ommen","GGD IJsselland",8,4,4
2021-03-14,"Stadskanaal","GGD Groningen",18,17,1
2021-03-16,"","GGD Hollands-Midden",5,6,-1
2021-03-16,"","GGD IJsselland",1,2,-1
2021-03-16,"","GGD Noord- en Oost-Gelderland",2,3,-1
2021-03-16,"","GGD Zuid-Limburg",0,1,-1
2021-03-16,"Apeldoorn","GGD Noord- en Oost-Gelderland",60,59,1
2021-03-16,"Ommen","GGD IJsselland",4,3,1
2021-03-16,"Voorschoten","GGD Hollands-Midden",9,8,1
2021-03-16,"Zaanstad","GGD Zaanstreek/Waterland",51,52,-1
2021-03-17,"","GGD Brabant-Zuidoost",1,2,-1
2021-03-17,"","GGD Hollands-Midden",1,2,-1
2021-03-17,"","GGD Noord- en Oost-Gelderland",1,2,-1
2021-03-17,"","GGD Rotterdam-Rijnmond",7,8,-1
2021-03-17,"","GGD Zaanstreek/Waterland",9,10,-1
2021-03-17,"","GGD Zuid-Limburg",0,1,-1
2021-03-17,"","Veiligheids- en Gezondheidsregio Gelderland-Midden",0,1,-1
