"Date_statistics","Municipal_health_service","cases.today","cases.yesterday","diff"
2021-01-14,"Dienst Gezondheid & Jeugd ZHZ",146,147,-1
2021-01-14,"GGD Zeeland",113,114,-1
2021-01-24,"GGD Zuid-Limburg",143,142,1
2021-01-26,"GGD Zuid-Limburg",140,141,-1
2021-03-05,"Dienst Gezondheid & Jeugd ZHZ",189,188,1
2021-03-06,"GGD Groningen",132,131,1
2021-03-10,"GGD Groningen",164,165,-1
2021-03-10,"Veiligheids- en Gezondheidsregio Gelderland-Midden",148,146,2
2021-03-11,"Veiligheids- en Gezondheidsregio Gelderland-Midden",141,137,4
2021-03-12,"Dienst Gezondheid & Jeugd ZHZ",253,252,1
2021-03-12,"GGD Rotterdam-Rijnmond",559,558,1
2021-03-12,"Veiligheids- en Gezondheidsregio Gelderland-Midden",145,146,-1
2021-03-13,"GGD Limburg-Noord",232,233,-1
2021-03-13,"Veiligheids- en Gezondheidsregio Gelderland-Midden",138,143,-5
2021-03-14,"Dienst Gezondheid & Jeugd ZHZ",234,233,1
2021-03-14,"GGD IJsselland",156,157,-1
2021-03-17,"Dienst Gezondheid & Jeugd ZHZ",259,258,1
2021-03-17,"GGD Amsterdam",418,417,1
2021-03-18,"Dienst Gezondheid & Jeugd ZHZ",231,230,1
2021-03-19,"Dienst Gezondheid & Jeugd ZHZ",282,280,2
2021-03-20,"Dienst Gezondheid & Jeugd ZHZ",260,248,12
2021-03-20,"GGD Hart voor Brabant",484,483,1
2021-03-21,"Dienst Gezondheid & Jeugd ZHZ",274,268,6
2021-03-21,"GGD Regio Utrecht",495,496,-1
2021-03-22,"Dienst Gezondheid & Jeugd ZHZ",269,254,15
2021-03-22,"GGD Amsterdam",397,396,1
2021-03-23,"Dienst Gezondheid & Jeugd ZHZ",248,256,-8
2021-03-23,"GGD Regio Utrecht",566,565,1
2021-03-24,"Dienst Gezondheid & Jeugd ZHZ",251,279,-28
2021-03-24,"GGD Haaglanden",478,477,1
2021-03-24,"GGD Rotterdam-Rijnmond",752,751,1
2021-03-24,"GGD West-Brabant",284,283,1
2021-03-25,"Dienst Gezondheid & Jeugd ZHZ",252,249,3
2021-03-25,"GGD Haaglanden",462,461,1
2021-03-26,"Dienst Gezondheid & Jeugd ZHZ",258,261,-3
2021-03-26,"GGD Haaglanden",515,513,2
2021-03-27,"GGD Limburg-Noord",303,302,1
2021-03-27,"GGD West-Brabant",257,256,1
2021-03-28,"GGD Limburg-Noord",280,279,1
2021-03-28,"GGD Noord- en Oost-Gelderland",309,308,1
2021-03-28,"GGD West-Brabant",209,208,1
2021-03-29,"Dienst Gezondheid & Jeugd ZHZ",215,216,-1
2021-03-29,"GGD Amsterdam",401,400,1
2021-03-29,"GGD Hollands-Midden",388,387,1
2021-03-29,"GGD Hollands-Noorden",267,265,2
