"","new.infection","corrections","net.infection","date"
"2020-07-02",89,-12,77,2020-07-02
"2020-07-03",80,-5,75,2020-07-03
"2020-07-04",75,-14,61,2020-07-04
"2020-07-05",76,-3,73,2020-07-05
"2020-07-06",51,-15,36,2020-07-06
"2020-07-07",45,-8,37,2020-07-07
"2020-07-08",66,-14,52,2020-07-08
"2020-07-09",64,-12,52,2020-07-09
"2020-07-10",81,-39,42,2020-07-10
"2020-07-11",89,-8,81,2020-07-11
"2020-07-12",102,-1,101,2020-07-12
"2020-07-13",75,-4,71,2020-07-13
"2020-07-14",97,-44,53,2020-07-14
"2020-07-15",117,-11,106,2020-07-15
"2020-07-16",125,-26,99,2020-07-16
"2020-07-17",115,-12,103,2020-07-17
"2020-07-18",152,-25,127,2020-07-18
