"new.infection","corrections.cases","net.infection","new.hospitals","corrections.hospitals","net.hospitals","new.deaths","corrections.deaths","net.deaths","date","positive_7daverage"
89,-12,77,2,-2,0,3,0,3,"2020-07-02",NA
80,-5,75,4,0,4,2,0,2,"2020-07-03",NA
75,-14,61,1,0,1,6,0,6,"2020-07-04",NA
76,-3,73,1,0,1,1,0,1,"2020-07-05",NA
51,-15,36,0,0,0,1,0,1,"2020-07-06",NA
45,-8,37,3,-1,2,4,0,4,"2020-07-07",NA
66,-14,52,3,0,3,3,0,3,"2020-07-08",69
64,-12,52,0,-2,-2,2,0,2,"2020-07-09",65
81,-39,42,6,-5,1,1,-2,-1,"2020-07-10",65
89,-8,81,4,-1,3,1,0,1,"2020-07-11",67
102,-1,101,3,-1,2,0,0,0,"2020-07-12",71
75,-4,71,2,-1,1,0,0,0,"2020-07-13",75
97,-44,53,3,-5,-2,1,-3,-2,"2020-07-14",82
117,-11,106,6,-1,5,1,0,1,"2020-07-15",89
125,-26,99,3,-2,1,2,-1,1,"2020-07-16",98
115,-12,103,1,-5,-4,2,-1,1,"2020-07-17",103
152,-25,127,3,-2,1,1,-3,-2,"2020-07-18",112
155,-11,144,3,0,3,0,0,0,"2020-07-19",119
186,-1,185,2,0,2,0,0,0,"2020-07-20",135
177,-14,163,2,0,2,1,-1,0,"2020-07-21",147
176,-8,168,1,-1,0,3,0,3,"2020-07-22",155
179,-16,163,3,0,3,0,0,0,"2020-07-23",163
215,-24,191,3,-4,-1,0,0,0,"2020-07-24",177
144,-7,137,3,-1,2,1,0,1,"2020-07-25",176
234,-20,214,2,0,2,0,0,0,"2020-07-26",187
210,-5,205,5,0,5,1,0,1,"2020-07-27",191
223,0,223,6,0,6,4,0,4,"2020-07-28",197
248,-1,247,3,0,3,2,0,2,"2020-07-29",208
343,-1,342,5,0,5,0,0,0,"2020-07-30",231
356,-18,338,8,-1,7,0,0,0,"2020-07-31",251
439,-8,431,5,-2,3,1,0,1,"2020-08-01",293
376,-10,366,6,0,6,1,0,1,"2020-08-02",314
382,-10,372,8,-2,6,0,0,0,"2020-08-03",338
491,-6,485,10,0,10,2,-1,1,"2020-08-04",376
432,-6,426,5,0,5,3,0,3,"2020-08-05",403
609,-8,601,4,-3,1,0,0,0,"2020-08-06",441
521,-2,519,4,0,4,1,0,1,"2020-08-07",464
488,-2,486,3,-1,2,3,0,3,"2020-08-08",471
578,-1,577,7,0,7,0,0,0,"2020-08-09",500
632,-2,630,6,0,6,0,0,0,"2020-08-10",536
807,-28,779,12,-2,10,2,0,2,"2020-08-11",581
658,-4,654,10,-1,9,2,0,2,"2020-08-12",613
579,-2,577,6,0,6,4,0,4,"2020-08-13",609
639,-3,636,11,0,11,2,0,2,"2020-08-14",626
657,-2,655,7,0,7,2,0,2,"2020-08-15",650
510,-3,507,6,0,6,3,0,3,"2020-08-16",640
486,-4,482,5,0,5,0,0,0,"2020-08-17",619
498,-9,489,4,0,4,3,0,3,"2020-08-18",575
557,-5,552,18,0,18,6,0,6,"2020-08-19",561
552,-23,529,10,0,10,10,0,10,"2020-08-20",557
541,-6,535,19,-1,18,4,0,4,"2020-08-21",543
548,-40,508,11,0,11,5,0,5,"2020-08-22",527
479,-22,457,8,0,8,0,0,0,"2020-08-23",523
591,-17,574,6,-2,4,2,0,2,"2020-08-24",538
454,-39,415,15,0,15,5,0,5,"2020-08-25",532
618,-47,571,21,-2,19,8,0,8,"2020-08-26",540
536,-26,510,7,0,7,3,0,3,"2020-08-27",538
535,-28,507,9,0,9,3,-1,2,"2020-08-28",537
533,-32,501,2,0,2,5,-1,4,"2020-08-29",535
528,-20,508,3,0,3,0,0,0,"2020-08-30",542
556,-29,527,11,0,11,0,0,0,"2020-08-31",537
484,-22,462,6,-1,5,6,0,6,"2020-09-01",541
745,-11,734,6,0,6,5,0,5,"2020-09-02",560
612,-11,601,5,0,5,2,-2,0,"2020-09-03",570
776,-32,744,8,-1,7,2,0,2,"2020-09-04",605
663,-9,654,5,0,5,5,-1,4,"2020-09-05",623
945,-20,925,5,0,5,2,0,2,"2020-09-06",683
812,-15,797,9,0,9,0,0,0,"2020-09-07",720
983,-19,964,8,-2,6,2,-1,1,"2020-09-08",791
1162,-22,1140,10,-2,8,2,0,2,"2020-09-09",850
849,-26,823,17,0,17,3,0,3,"2020-09-10",884
1287,-17,1270,11,-1,10,3,0,3,"2020-09-11",957
1242,-11,1231,8,-2,6,1,0,1,"2020-09-12",1040
1112,-25,1087,17,0,17,1,0,1,"2020-09-13",1064
1308,-8,1300,9,-1,8,2,0,2,"2020-09-14",1135
1418,-39,1379,25,-1,24,2,0,2,"2020-09-15",1197
1560,-18,1542,15,0,15,2,0,2,"2020-09-16",1254
1766,-13,1753,14,0,14,6,0,6,"2020-09-17",1385
1990,-16,1974,13,-1,12,7,0,7,"2020-09-18",1485
1906,-19,1887,33,0,33,3,-1,2,"2020-09-19",1580
1846,-2,1844,20,0,20,4,0,4,"2020-09-20",1685
2227,-10,2217,27,-1,26,2,0,2,"2020-09-21",1816
2251,-6,2245,35,-3,32,10,0,10,"2020-09-22",1935
2370,-13,2357,32,0,32,6,-1,5,"2020-09-23",2051
2559,-15,2544,25,0,25,16,0,16,"2020-09-24",2164
2787,-10,2777,36,0,36,16,0,16,"2020-09-25",2278
2719,-6,2713,30,-1,29,38,0,38,"2020-09-26",2394
3003,-8,2995,37,0,37,9,-1,8,"2020-09-27",2559
2923,-9,2914,39,-1,38,6,0,6,"2020-09-28",2659
3020,-9,3011,48,-2,46,13,0,13,"2020-09-29",2769
3318,-24,3294,48,0,48,13,0,13,"2020-09-30",2904
3278,-26,3252,48,-1,47,13,0,13,"2020-10-01",3007
3839,-14,3825,22,0,22,9,0,9,"2020-10-02",3157
