"Week","Year","deaths_nice","deaths_nursing","deaths_living_home_70","deaths_rivm","deaths_nonnursing_RIVM","deaths_nice_nursing","total_covid_mortality","wlz_covid","other_covid","excess_rivm_nice","week_year","deaths_home","deaths_home_perc","deaths_estimate","deaths_estimate_2"
27,2020,8,10,1,12,2,18,32,19,17,6,"2020-27",5,15.625,21.6,28.6
28,2020,8,2,2,6,4,10,25,18,0,4,"2020-28",-1,-4,10.8,12.76
29,2020,8,4,3,7,3,12,8,9,0,5,"2020-29",-9,-112.5,12.6,16.72
30,2020,5,4,1,7,3,9,18,10,0,2,"2020-30",3,16.667,12.6,13.42
31,2020,6,7,2,9,2,13,22,9,17,4,"2020-31",7,31.818,16.2,20.46
32,2020,10,3,2,5,2,13,28,18,17,8,"2020-32",0,0,9,16.94
33,2020,10,15,6,26,11,25,52,39,19,-1,"2020-33",3,5.769,46.8,40.7
34,2020,14,17,9,27,10,31,48,33,17,4,"2020-34",1,2.083,48.6,49.06
35,2020,14,15,4,23,8,29,31,20,17,6,"2020-35",-3,-9.677,41.4,45.1
36,2020,10,11,3,18,7,21,27,19,17,3,"2020-36",-2,-7.407,32.4,32.78
37,2020,9,14,4,20,6,23,29,19,18,3,"2020-37",1,3.448,36,37.62
38,2020,22,21,10,37,16,43,66,49,17,6,"2020-38",-5,-7.576,66.6,65.78
39,2020,41,58,24,91,33,99,139,84,55,8,"2020-39",14,10.072,163.8,159.94
40,2020,71,76,35,128,52,147,194,108,77,19,"2020-40",15,7.732,230.4,228.58
41,2020,89,86,54,172,86,175,269,153,116,3,"2020-41",27,10.037,309.6,268.18
42,2020,161,148,87,268,120,309,434,243,200,41,"2020-42",30,6.912,482.4,470.14
43,2020,256,199,133,369,170,455,642,329,298,86,"2020-43",57,8.879,664.2,675.62
44,2020,279,285,167,512,227,564,852,486,367,52,"2020-44",87,10.211,921.6,871.2
45,2020,305,310,190,556,246,615,891,501,396,59,"2020-45",85,9.54,1000.8,949.3
46,2020,283,211,172,458,247,494,775,427,344,36,"2020-46",65,8.387,824.4,729.08
47,2020,247,186,133,368,182,433,664,347,306,65,"2020-47",70,10.542,662.4,639.98
48,2020,232,190,116,358,168,422,648,347,296,64,"2020-48",69,10.648,644.4,631.4
49,2020,222,155,119,321,166,377,611,322,290,56,"2020-49",67,10.966,577.8,551.1
50,2020,215,233,129,399,166,448,692,406,280,49,"2020-50",71,10.26,718.2,697.84
51,2020,273,324,143,528,204,597,936,562,367,69,"2020-51",101,10.791,950.4,941.82
52,2020,320,383,175,626,243,703,1111,689,425,77,"2020-52",102,9.181,1126.8,1110.34
53,2020,374,386,204,664,278,760,1172,675,494,96,"2020-53",123,10.495,1195.2,1175.68
1,2021,391,362,210,639,277,753,1127,630,497,114,"2021-01",106,9.406,1150.2,1146.86
2,2021,313,328,162,550,222,641,1012,588,429,91,"2021-02",111,10.968,990,993.74
3,2021,316,302,172,531,229,618,962,585,394,87,"2021-03",61,6.341,955.8,945.56
4,2021,280,239,128,419,180,519,806,468,337,100,"2021-04",58,7.196,754.2,781.22
5,2021,276,236,118,406,170,512,612,NA,NA,106,"2021-05",NA,NA,730.8,770.88
6,2021,245,202,131,394,192,447,593,NA,NA,53,"2021-06",NA,NA,709.2,669.46
7,2021,229,210,148,403,193,439,607,NA,NA,36,"2021-07",NA,NA,725.4,667.7
8,2021,225,123,103,277,154,348,417,NA,NA,71,"2021-08",NA,NA,498.6,491.04
9,2021,191,89,105,240,151,280,361,NA,NA,40,"2021-09",NA,NA,432,386.32
10,2021,181,49,101,183,134,230,276,NA,NA,47,"2021-10",NA,NA,329.4,296.12
11,2021,207,34,93,176,142,241,265,NA,NA,65,"2021-11",NA,NA,316.8,295.02
12,2021,194,29,94,151,122,223,227,NA,NA,72,"2021-12",NA,NA,271.8,270.82
13,2021,250,18,83,144,126,268,217,NA,NA,124,"2021-13",NA,NA,259.2,310.64
14,2021,232,21,76,133,112,253,200,NA,NA,120,"2021-14",NA,NA,239.4,296.78
15,2021,239,14,85,141,127,253,212,NA,NA,112,"2021-15",NA,NA,253.8,290.62
16,2021,205,17,72,124,107,222,187,NA,NA,98,"2021-16",NA,NA,223.2,259.16
17,2021,218,12,79,122,110,230,184,NA,NA,108,"2021-17",NA,NA,219.6,263.56
18,2021,101,3,19,36,33,104,NA,NA,NA,68,"2021-18",NA,NA,64.8,117.04
