"Date_statistics","Municipal_health_service","death.today","death.yesterday","diff"
2020-12-15,"GGD Zeeland",2,1,1
2020-12-20,"GGD Zeeland",5,4,1
2021-01-04,"GGD Limburg-Noord",4,3,1
2021-01-28,"GGD Zeeland",3,2,1
2021-02-01,"GGD Hollands-Noorden",7,6,1
2021-02-08,"GGD Rotterdam-Rijnmond",5,4,1
2021-02-11,"GGD Hart voor Brabant",2,1,1
2021-02-12,"GGD Gelderland-Zuid",1,0,1
2021-02-13,"GGD IJsselland",1,0,1
2021-02-14,"GGD Haaglanden",3,2,1
2021-02-14,"GGD Regio Utrecht",4,3,1
2021-02-15,"Dienst Gezondheid & Jeugd ZHZ",7,6,1
2021-02-16,"GGD Groningen",2,1,1
2021-02-19,"GGD Zuid-Limburg",2,1,1
2021-02-21,"GGD Amsterdam",1,0,1
2021-02-21,"GGD Groningen",2,1,1
2021-02-21,"GGD Limburg-Noord",2,1,1
2021-02-22,"Dienst Gezondheid & Jeugd ZHZ",1,0,1
2021-02-22,"GGD Drenthe",2,1,1
2021-02-22,"GGD Fryslân",2,1,1
2021-02-23,"GGD Amsterdam",1,0,1
2021-02-23,"GGD Hart voor Brabant",1,0,1
2021-02-24,"GGD Drenthe",6,5,1
2021-02-24,"GGD Gelderland-Zuid",1,0,1
2021-02-25,"GGD Rotterdam-Rijnmond",3,2,1
2021-02-25,"GGD Zuid-Limburg",2,1,1
2021-02-26,"GGD Zuid-Limburg",1,0,1
2021-03-02,"GGD Zaanstreek/Waterland",1,0,1
