"Date_of_statistics","Municipality_name","Security_region_name","hospital.today.mun","hospital.yesterday.mun","diff"
2021-06-16,"Hoeksche Waard","Zuid-Holland-Zuid",1,0,1
2021-06-21,"Amstelveen","Amsterdam-Amstelland",1,0,1
2021-06-22,"Alblasserdam","Zuid-Holland-Zuid",1,0,1
2021-06-22,"Nuenen, Gerwen en Nederwetten","Brabant-Zuidoost",1,0,1
2021-06-22,"Papendrecht","Zuid-Holland-Zuid",1,0,1
2021-06-23,"","",2,0,2
2021-06-23,"Gorinchem","Zuid-Holland-Zuid",1,0,1
2021-06-23,"Harlingen","Fryslân",1,0,1
2021-06-23,"Rotterdam","Rotterdam-Rijnmond",1,0,1
2021-06-24,"'s-Gravenhage","Haaglanden",1,0,1
2021-06-24,"Bergen (L.)","Limburg-Noord",1,0,1
2021-06-24,"Lansingerland","Rotterdam-Rijnmond",1,0,1
2021-06-24,"Midden-Groningen","Groningen",1,0,1
