"Date_statistics","2021-06-17","2021-06-18","diff21"
2020-01-31,1,1,0
2020-02-01,2,2,0
2020-02-07,1,1,0
2020-02-10,2,2,0
2020-02-11,1,1,0
2020-02-14,1,1,0
2020-02-15,1,1,0
2020-02-16,2,2,0
2020-02-17,2,2,0
2020-02-18,1,1,0
2020-02-19,4,4,0
2020-02-20,6,6,0
2020-02-21,3,3,0
2020-02-23,6,6,0
2020-02-24,7,7,0
2020-02-25,7,7,0
2020-02-26,12,12,0
2020-02-27,20,20,0
2020-02-28,18,18,0
2020-02-29,15,15,0
2020-03-01,40,40,0
2020-03-02,54,54,0
2020-03-03,42,42,0
2020-03-04,51,51,0
2020-03-05,72,72,0
2020-03-06,96,96,0
2020-03-07,108,108,0
2020-03-08,101,101,0
2020-03-09,219,219,0
2020-03-10,207,207,0
2020-03-11,269,269,0
2020-03-12,300,300,0
2020-03-13,369,369,0
2020-03-14,363,363,0
2020-03-15,383,383,0
2020-03-16,557,557,0
2020-03-17,427,427,0
2020-03-18,433,433,0
2020-03-19,418,418,0
2020-03-20,505,505,0
2020-03-21,420,420,0
2020-03-22,335,335,0
2020-03-23,521,521,0
2020-03-24,350,350,0
2020-03-25,379,379,0
2020-03-26,320,320,0
2020-03-27,321,321,0
2020-03-28,256,256,0
2020-03-29,237,237,0
2020-03-30,263,263,0
2020-03-31,184,184,0
2020-04-01,265,265,0
2020-04-02,219,219,0
2020-04-03,178,178,0
2020-04-04,150,150,0
2020-04-05,129,129,0
2020-04-06,157,157,0
2020-04-07,134,134,0
2020-04-08,118,118,0
2020-04-09,132,132,0
2020-04-10,150,150,0
2020-04-11,102,102,0
2020-04-12,90,90,0
2020-04-13,90,90,0
2020-04-14,86,86,0
2020-04-15,75,75,0
2020-04-16,62,62,0
2020-04-17,63,63,0
2020-04-18,62,62,0
2020-04-19,43,43,0
2020-04-20,78,78,0
2020-04-21,43,43,0
2020-04-22,39,39,0
2020-04-23,47,47,0
2020-04-24,31,31,0
2020-04-25,38,38,0
2020-04-26,31,31,0
2020-04-27,35,35,0
2020-04-28,45,45,0
2020-04-29,30,30,0
2020-04-30,25,25,0
2020-05-01,36,36,0
2020-05-02,18,18,0
2020-05-03,18,18,0
2020-05-04,21,21,0
2020-05-05,17,17,0
2020-05-06,16,16,0
2020-05-07,15,15,0
2020-05-08,20,20,0
2020-05-09,10,10,0
2020-05-10,11,11,0
2020-05-11,16,16,0
2020-05-12,9,9,0
2020-05-13,12,12,0
2020-05-14,11,11,0
2020-05-15,9,9,0
2020-05-16,8,8,0
2020-05-17,7,7,0
2020-05-18,9,9,0
2020-05-19,4,4,0
2020-05-20,10,10,0
2020-05-21,16,16,0
2020-05-22,13,13,0
2020-05-23,6,6,0
2020-05-24,3,3,0
2020-05-25,14,14,0
2020-05-26,7,7,0
2020-05-27,4,4,0
2020-05-28,11,11,0
2020-05-29,5,5,0
2020-05-30,6,6,0
2020-05-31,2,2,0
2020-06-01,3,3,0
2020-06-02,5,5,0
2020-06-03,3,3,0
2020-06-05,5,5,0
2020-06-06,5,5,0
2020-06-07,2,2,0
2020-06-08,2,2,0
2020-06-09,1,1,0
2020-06-10,4,4,0
2020-06-11,3,3,0
2020-06-12,3,3,0
2020-06-13,4,4,0
2020-06-15,2,2,0
2020-06-17,3,3,0
2020-06-18,1,1,0
2020-06-19,7,7,0
2020-06-20,2,2,0
2020-06-21,1,1,0
2020-06-22,4,4,0
2020-06-23,2,2,0
2020-06-24,1,1,0
2020-06-27,1,1,0
2020-06-30,2,2,0
2020-07-01,2,2,0
2020-07-02,2,2,0
2020-07-03,1,1,0
2020-07-04,1,1,0
2020-07-05,1,1,0
2020-07-06,2,2,0
2020-07-07,1,1,0
2020-07-08,2,2,0
2020-07-10,1,1,0
2020-07-11,4,4,0
2020-07-12,7,7,0
2020-07-13,4,4,0
2020-07-14,1,1,0
2020-07-15,6,6,0
2020-07-16,4,4,0
2020-07-17,9,9,0
2020-07-18,2,2,0
2020-07-19,3,3,0
2020-07-20,5,5,0
2020-07-21,2,2,0
2020-07-22,6,6,0
2020-07-23,6,6,0
2020-07-24,5,5,0
2020-07-25,7,7,0
2020-07-26,5,5,0
2020-07-27,7,7,0
2020-07-28,10,10,0
2020-07-29,6,6,0
2020-07-30,10,10,0
2020-07-31,7,7,0
2020-08-01,6,6,0
2020-08-02,7,7,0
2020-08-03,10,10,0
2020-08-04,15,15,0
2020-08-05,8,8,0
2020-08-06,8,8,0
2020-08-07,11,11,0
2020-08-08,11,11,0
2020-08-09,7,7,0
2020-08-10,11,11,0
2020-08-11,12,12,0
2020-08-12,8,8,0
2020-08-13,9,9,0
2020-08-14,8,8,0
2020-08-15,9,9,0
2020-08-16,4,4,0
2020-08-17,9,9,0
2020-08-18,4,4,0
2020-08-19,5,5,0
2020-08-20,4,4,0
2020-08-21,6,6,0
2020-08-22,7,7,0
2020-08-23,5,5,0
2020-08-24,9,9,0
2020-08-25,10,10,0
2020-08-26,6,6,0
2020-08-27,7,7,0
2020-08-28,5,5,0
2020-08-29,7,7,0
2020-08-30,11,11,0
2020-08-31,14,14,0
2020-09-01,17,17,0
2020-09-02,13,13,0
2020-09-03,10,10,0
2020-09-04,16,16,0
2020-09-05,15,15,0
2020-09-06,7,7,0
2020-09-07,21,21,0
2020-09-08,30,30,0
2020-09-09,25,25,0
2020-09-10,26,26,0
2020-09-11,33,33,0
2020-09-12,21,21,0
2020-09-13,25,25,0
2020-09-14,42,42,0
2020-09-15,34,34,0
2020-09-16,30,30,0
2020-09-17,42,42,0
2020-09-18,34,34,0
2020-09-19,46,46,0
2020-09-20,38,38,0
2020-09-21,58,58,0
2020-09-22,53,53,0
2020-09-23,50,50,0
2020-09-24,49,49,0
2020-09-25,57,57,0
2020-09-26,43,43,0
2020-09-27,48,48,0
2020-09-28,75,75,0
2020-09-29,54,54,0
2020-09-30,82,82,0
2020-10-01,73,73,0
2020-10-02,79,79,0
2020-10-03,98,98,0
2020-10-04,82,82,0
2020-10-05,124,124,0
2020-10-06,86,86,0
2020-10-07,82,82,0
2020-10-08,93,93,0
2020-10-09,100,100,0
2020-10-10,98,98,0
2020-10-11,82,82,0
2020-10-12,116,116,0
2020-10-13,97,97,0
2020-10-14,115,115,0
2020-10-15,96,96,0
2020-10-16,129,129,0
2020-10-17,110,110,0
2020-10-18,103,103,0
2020-10-19,140,140,0
2020-10-20,126,126,0
2020-10-21,143,143,0
2020-10-22,114,114,0
2020-10-23,122,122,0
2020-10-24,100,100,0
2020-10-25,102,102,0
2020-10-26,111,111,0
2020-10-27,91,91,0
2020-10-28,107,107,0
2020-10-29,80,80,0
2020-10-30,107,107,0
2020-10-31,74,74,0
2020-11-01,72,72,0
2020-11-02,97,97,0
2020-11-03,72,72,0
2020-11-04,70,70,0
2020-11-05,75,75,0
2020-11-06,75,75,0
2020-11-07,65,65,0
2020-11-08,61,61,0
2020-11-09,76,76,0
2020-11-10,73,73,0
2020-11-11,74,74,0
2020-11-12,67,67,0
2020-11-13,84,84,0
2020-11-14,52,52,0
2020-11-15,52,52,0
2020-11-16,79,79,0
2020-11-17,61,61,0
2020-11-18,59,59,0
2020-11-19,59,59,0
2020-11-20,59,59,0
2020-11-21,54,54,0
2020-11-22,41,41,0
2020-11-23,71,71,0
2020-11-24,43,43,0
2020-11-25,58,58,0
2020-11-26,60,60,0
2020-11-27,59,59,0
2020-11-28,60,60,0
2020-11-29,51,51,0
2020-11-30,91,91,0
2020-12-01,61,61,0
2020-12-02,73,73,0
2020-12-03,80,80,0
2020-12-04,79,79,0
2020-12-05,66,66,0
2020-12-06,59,59,0
2020-12-07,72,72,0
2020-12-08,93,93,0
2020-12-09,68,68,0
2020-12-10,88,88,0
2020-12-11,87,87,0
2020-12-12,95,95,0
2020-12-13,83,83,0
2020-12-14,100,100,0
2020-12-15,94,94,0
2020-12-16,90,90,0
2020-12-17,104,104,0
2020-12-18,99,99,0
2020-12-19,84,84,0
2020-12-20,104,104,0
2020-12-21,111,111,0
2020-12-22,87,87,0
2020-12-23,95,95,0
2020-12-24,127,127,0
2020-12-25,83,83,0
2020-12-26,76,76,0
2020-12-27,80,80,0
2020-12-28,83,83,0
2020-12-29,78,78,0
2020-12-30,77,77,0
2020-12-31,97,97,0
2021-01-01,87,87,0
2021-01-02,69,69,0
2021-01-03,67,67,0
