"week","2018","2019","2020, totaal*","2020, COVID-19*","2020, Sterfte excl. COVID-19*"
"1","3343","3062","3103",".","3103"
"2","3359","3262","3366",".","3366"
"3","3364","3152","3157",".","3157"
"4","3322","3179","3046",".","3046"
"5","3403","3139","3163",".","3163"
"6","3513","3183","3194",".","3194"
"7","3660","3254","3199",".","3199"
"8","3691","3220","2959",".","2959"
"9","3937","3065","3098",".","3098"
"10","4092","3172","3106","5","3101"
"11","3733","3225","3219","35","3184"
"12","3430","3043","3615","412","3203"
"13","3225","3013","4459","1251","3208"
"14","3040","2898","5085","1916","3169"
"15","2860","2902","4981","1969","3012"
"16","2760","3036","4307","1463","2844"
"17","2663","2956","3907","1091","2816"
"18","2645","2806","3379","665","2714"
"19","2641","2772","2986","433","2553"
"20","2606","2821","2777","282","2495"
"21","2674","2873","2771","217","2554"
"22","2776","2730","2729","149","2580"
"23","2679","2734","2682","106","2576"
"24","2557","2647","2692","66","2626"
"25","2601","2692","2695","49","2646"
"26","2619","2836","2661","34","2627"
"27","2726","2725","2639","32","2607"
"28","2671","2761","2619","25","2594"
"29","2704","2586","2528","8","2520"
"30","2767","3006","2673","18","2655"
"31","2760","2731","2668","22","2646"
"32","2745","2629","2640","28","2612"
"33","2605","2613","3209","52","3157"
"34","2612","2617","2855","48","2807"
"35","2527","2783","2733","31","2702"
"36","2613","2553","2690","27","2663"
"37","2539","2642","2739","29","2710"
"38","2706","2580","2720","65","2655"
"39","2696","2751","2892","139","2753"
"40","2806","2717","2998","193","2805"
"41","2760","2912","3020","265","2755"
"42","2739","2879","3220","427","2793"
"43","2671","2867","3449","628","2821"
"44","2815","2856","3679","830","2849"
"45","2798","3015","3589",".","."
"46","2761","3060","3575",".","."
"47","2859","3023","3329",".","."
"48","2907","3045","3401",".","."
"49","2968","3018","3519",".","."
"50","3017","3161","3606",".","."
"51","3041","3253","3896",".","."
"52","2901","3028","3849",".","."
"53","3062","3105","4058",".","."
