"","date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"1",2020-02-27,2,2,1,0,7,4,7,41,0,0,0,4,1,2,0
"2",2020-02-28,3,0,0,1,8,5,8,44,0,0,0,3,1,2,1
"3",2020-02-29,2,0,0,0,9,4,9,45,0,0,0,2,0,2,1
"4",2020-03-01,6,1,2,0,11,5,11,52,0,0,1,7,2,3,1
"5",2020-03-02,9,1,0,0,10,5,11,62,0,0,1,10,0,4,1
"6",2020-03-03,6,0,1,0,12,6,13,67,0,0,1,6,1,4,1
"7",2020-03-04,8,2,3,0,15,8,16,76,0,2,1,10,3,6,1
"8",2020-03-05,9,0,1,1,15,8,18,83,0,2,1,9,2,6,2
"9",2020-03-06,12,1,3,0,18,11,21,95,0,2,2,13,3,7,2
"10",2020-03-07,5,3,3,0,20,12,24,103,0,3,1,8,3,10,2
"11",2020-03-08,13,5,6,0,26,16,30,119,2,3,1,18,6,15,2
"12",2020-03-09,18,5,5,1,30,18,37,139,2,3,2,23,6,20,3
"13",2020-03-10,18,4,9,0,36,19,46,155,2,3,2,22,9,24,3
"14",2020-03-11,38,4,8,0,45,21,56,191,3,3,2,42,8,28,3
"15",2020-03-12,48,4,23,0,67,28,79,237,4,3,2,52,23,32,3
"16",2020-03-13,58,4,14,0,78,31,93,291,4,4,2,62,14,36,3
"17",2020-03-14,50,3,17,0,94,39,111,330,5,6,5,53,17,39,3
"18",2020-03-15,57,8,27,0,118,47,139,373,9,6,8,65,27,47,3
"19",2020-03-16,117,18,32,0,146,53,172,487,14,7,9,135,32,65,3
"20",2020-03-17,118,13,33,0,174,56,207,566,16,7,12,131,33,78,3
"21",2020-03-18,146,15,51,0,224,60,262,681,21,10,13,161,51,93,3
"22",2020-03-19,197,26,57,1,281,68,326,847,28,10,15,223,58,119,4
"23",2020-03-20,193,26,82,0,356,70,413,1001,33,12,21,219,82,145,4
"24",2020-03-21,171,12,74,3,426,70,496,1075,45,14,27,183,77,157,7
"25",2020-03-22,209,17,70,1,479,70,569,1171,51,17,29,226,71,174,8
"26",2020-03-23,372,27,99,1,570,72,669,1459,68,19,41,399,100,201,9
"27",2020-03-24,373,23,108,0,651,73,781,1679,75,23,46,396,108,224,9
"28",2020-03-25,406,25,114,1,750,74,900,1884,87,27,56,431,115,249,10
"29",2020-03-26,398,34,104,2,836,74,1013,2086,109,37,58,432,106,283,12
"30",2020-03-27,512,36,111,1,922,74,1130,2330,123,43,73,548,112,319,13
"31",2020-03-28,276,25,99,2,989,74,1235,2276,140,47,89,301,101,344,15
"32",2020-03-29,222,19,89,1,1039,74,1328,2232,166,58,100,241,90,363,16
"33",2020-03-30,362,27,128,3,1128,74,1461,2351,185,67,119,389,131,390,19
"34",2020-03-31,271,40,108,0,1191,74,1571,2311,217,83,127,311,108,430,19
"35",2020-04-01,265,42,71,1,1208,75,1645,2212,237,101,137,307,72,472,20
"36",2020-04-02,293,40,87,3,1252,75,1743,2206,260,115,149,333,90,512,23
"37",2020-04-03,274,54,76,0,1280,75,1822,2206,293,137,157,328,76,566,23
"38",2020-04-04,166,21,62,2,1282,74,1887,2020,312,150,175,187,64,587,25
"39",2020-04-05,190,20,71,1,1303,76,1963,1979,334,160,195,210,72,607,26
"40",2020-04-06,264,58,61,0,1311,75,2025,2075,353,181,211,322,61,665,26
"41",2020-04-07,181,53,55,0,1312,76,2083,1964,386,202,243,234,55,718,26
"42",2020-04-08,180,32,56,0,1283,76,2143,1844,402,226,256,212,56,750,26
"43",2020-04-09,159,35,51,0,1280,76,2194,1689,413,254,261,194,51,785,26
"44",2020-04-10,182,38,48,0,1285,75,2243,1612,442,280,268,220,48,823,26
"45",2020-04-11,120,24,26,2,1251,75,2272,1441,457,299,288,144,28,847,28
"46",2020-04-12,111,36,34,1,1233,75,2307,1390,470,316,314,147,35,883,29
"47",2020-04-13,140,37,44,0,1220,76,2353,1395,492,331,340,177,44,920,29
"48",2020-04-14,138,38,33,2,1193,76,2389,1419,502,378,336,176,35,958,31
"49",2020-04-15,98,21,22,1,1168,76,2413,1342,520,430,334,119,23,979,32
"50",2020-04-16,100,25,28,0,1136,76,2442,1243,538,478,321,125,28,1004,32
"51",2020-04-17,126,26,25,0,1106,77,2468,1206,557,521,325,152,25,1030,32
