"","Week","Nieuwe_meldingen","Aantal_BCO","Perc_BCO","Aantal_contact","Perc_contact"
"2","29-06-2020 - 05-07-2020","438","—","—",401,91.6
"3","06-07-2020 - 12-07-2020","472","125","26.5",441,93.4
"4","13-07-2020 - 19-07-2020","930","267","28.7",913,98.2
"5","20-07-2020 - 26-07-2020","1285","358","27.9",1261,98.1
"6","27-07-2020 - 02-08-2020","2384","578","24.2",2276,95.5
"7","03-08-2020 - 09-08-2020","3932","732","18.6",3588,91.3
"8","10-08-2020 - 16-08-2020","4077","694","17.0",3832,94
"9","17-08-2020 - 23-08-2020","3624","542","15.0",3473,95.8
"10","24-08-2020 - 30-08-2020","3597","638","17.7",3454,96
"11","31-08-2020 - 06-09-2020","4981","870","17.5",4746,95.3
"12","07-09-2020 - 13-09-2020","8096","1252","15.5",7687,94.9
"13","14-09-2020 - 20-09-2020","13626","1684","12.4",12516,91.9
"14","21-09-2020 - 27-09-2020","19070","1744","9.1",16470,86.4
"15","28-09-2020 - 04-10-2020","27102","1801","6.6",22668,83.6
"16","05-10-2020 - 11-10-2020","42646","2123","5.0",33835,79.3
"17","12-10-2020 - 18-10-2020","56657","2848","5.0",47041,83
"18","19-10-2020 - 25-10-2020","66430","3727","5.6",57895,87.2
"19","26-10-2020 - 01-11-2020","63048","6785","10.8",52799,83.7
"20","02-11-2020 - 08-11-2020","44210","6497","14.7",38559,87.2
"21","09-11-2020 - 15-11-2020","36942","6354","17.2",32489,87.9
