"date","values.tested_total","values.infected","values.infected_percentage","tests.7d.avg","pos.rate.3d.avg","pos.rate.7d.avg"
2020-06-01,1552,73,4.70360824742268,NA,NA,NA
2020-06-02,6819,203,2.97697609620179,NA,NA,NA
2020-06-03,8867,165,1.86083229953761,NA,2.6,NA
2020-06-04,9339,171,1.83103115965307,NA,2.2,NA
2020-06-05,9464,135,1.42645815722739,NA,1.7,NA
2020-06-06,7843,125,1.59377789111309,NA,1.6,NA
2020-06-07,4921,111,2.25563909774436,6972,1.7,2
2020-06-08,9093,109,1.19872429341252,8049,1.6,1.8
2020-06-09,10165,121,1.19035907525824,8527,1.4,1.6
2020-06-10,9746,144,1.47752924276626,8653,1.3,1.5
2020-06-11,9385,136,1.44912093766649,8660,1.4,1.5
2020-06-12,8672,131,1.51060885608856,8546,1.5,1.5
2020-06-13,6053,113,1.86684288782422,8291,1.6,1.5
2020-06-14,3917,84,2.14449834056676,8147,1.8,1.5
2020-06-15,10236,133,1.29933567799922,8311,1.6,1.5
2020-06-16,10915,92,0.842876775080165,8418,1.2,1.4
2020-06-17,10409,76,0.730137381112499,8512,1,1.3
2020-06-18,10175,76,0.746928746928747,8625,0.8,1.2
2020-06-19,9521,78,0.819241676294507,8747,0.8,1.1
2020-06-20,6073,66,1.08677753993084,8749,0.9,1
2020-06-21,4281,46,1.07451530016351,8801,1,0.9
2020-06-22,11271,63,0.558956614319936,8949,0.8,0.8
2020-06-23,11009,87,0.790262512489781,8963,0.7,0.8
2020-06-24,9566,63,0.658582479615304,8842,0.7,0.8
2020-06-25,10373,59,0.568784343969922,8871,0.7,0.7
2020-06-26,8925,59,0.661064425770308,8785,0.6,0.7
2020-06-27,5878,57,0.969717591017353,8758,0.7,0.7
2020-06-28,4218,38,0.900900900900901,8749,0.8,0.7
2020-06-29,11701,64,0.546961798136911,8810,0.7,0.7
2020-06-30,12087,51,0.421940928270042,8964,0.5,0.6
2020-07-01,11762,73,0.620642747832001,9278,0.5,0.6
2020-07-02,11068,59,0.533068305023491,9377,0.5,0.6
2020-07-03,10101,72,0.712800712800713,9545,0.6,0.6
2020-07-04,6321,39,0.616990982439487,9608,0.6,0.6
2020-07-05,4367,21,0.480879322189146,9630,0.6,0.6
2020-07-06,12033,49,0.407213496218732,9677,0.5,0.5
2020-07-07,12209,50,0.409533950364485,9694,0.4,0.5
2020-07-08,13010,51,0.392006149116065,9873,0.4,0.5
2020-07-09,13072,91,0.696144430844553,10159,0.5,0.5
2020-07-10,12030,76,0.631753948462178,10435,0.6,0.5
2020-07-11,7705,96,1.24594419208306,10632,0.8,0.6
2020-07-12,5012,47,0.937749401436552,10724,0.9,0.6
2020-07-13,12842,94,0.731973212895188,10840,0.9,0.7
2020-07-14,13233,111,0.838812060757198,10986,0.8,0.7
2020-07-15,13120,152,1.15853658536585,11002,0.9,0.9
2020-07-16,14289,142,0.993771432570509,11176,1,0.9
2020-07-17,15071,150,0.995288965563002,11610,1,1
2020-07-18,11211,144,1.28445276960128,12111,1.1,1
2020-07-19,8659,122,1.40893867652154,12632,1.2,1
2020-07-20,15130,176,1.16325181758096,12959,1.3,1.1
2020-07-21,16125,151,0.936434108527132,13372,1.1,1.1
2020-07-22,17363,152,0.875424753786788,13978,1,1.1
2020-07-23,17844,157,0.879847567809908,14486,0.9,1
2020-07-24,18453,197,1.06757708773641,14969,0.9,1
2020-07-25,14417,178,1.23465353402233,15427,1,1
2020-07-26,11995,175,1.45894122551063,15904,1.2,1.1
2020-07-27,18585,258,1.38821630347054,16397,1.4,1.1
2020-07-28,18355,301,1.63988014165078,16716,1.5,1.2
2020-07-29,17840,311,1.7432735426009,16784,1.6,1.3
2020-07-30,16778,426,2.5390392180236,16632,2,1.6
