"Version","Date_of_report","date","Security_region_code","Security_region_name","values.tested_total","values.infected","values.infected_percentage"
1,2021-03-30 09:00:00,2020-06-01,"VR01","Groningen",2,0,0
1,2021-03-30 09:00:00,2020-06-02,"VR01","Groningen",216,0,0
1,2021-03-30 09:00:00,2020-06-03,"VR01","Groningen",204,0,0
1,2021-03-30 09:00:00,2020-06-04,"VR01","Groningen",242,1,0.413223140495868
1,2021-03-30 09:00:00,2020-06-05,"VR01","Groningen",222,0,0
1,2021-03-30 09:00:00,2020-06-06,"VR01","Groningen",101,0,0
1,2021-03-30 09:00:00,2020-06-07,"VR01","Groningen",8,0,0
1,2021-03-30 09:00:00,2020-06-08,"VR01","Groningen",296,1,0.337837837837838
1,2021-03-30 09:00:00,2020-06-09,"VR01","Groningen",226,0,0
1,2021-03-30 09:00:00,2020-06-10,"VR01","Groningen",195,3,1.53846153846154
1,2021-03-30 09:00:00,2020-06-11,"VR01","Groningen",194,1,0.515463917525773
1,2021-03-30 09:00:00,2020-06-12,"VR01","Groningen",142,1,0.704225352112676
1,2021-03-30 09:00:00,2020-06-13,"VR01","Groningen",82,0,0
1,2021-03-30 09:00:00,2020-06-14,"VR01","Groningen",14,0,0
1,2021-03-30 09:00:00,2020-06-15,"VR01","Groningen",302,2,0.662251655629139
1,2021-03-30 09:00:00,2020-06-16,"VR01","Groningen",272,0,0
1,2021-03-30 09:00:00,2020-06-17,"VR01","Groningen",245,0,0
1,2021-03-30 09:00:00,2020-06-18,"VR01","Groningen",266,0,0
1,2021-03-30 09:00:00,2020-06-19,"VR01","Groningen",235,0,0
1,2021-03-30 09:00:00,2020-06-20,"VR01","Groningen",107,0,0
1,2021-03-30 09:00:00,2020-06-21,"VR01","Groningen",36,0,0
1,2021-03-30 09:00:00,2020-06-22,"VR01","Groningen",362,0,0
1,2021-03-30 09:00:00,2020-06-23,"VR01","Groningen",296,0,0
1,2021-03-30 09:00:00,2020-06-24,"VR01","Groningen",207,0,0
1,2021-03-30 09:00:00,2020-06-25,"VR01","Groningen",264,0,0
1,2021-03-30 09:00:00,2020-06-26,"VR01","Groningen",194,0,0
1,2021-03-30 09:00:00,2020-06-27,"VR01","Groningen",118,0,0
1,2021-03-30 09:00:00,2020-06-28,"VR01","Groningen",25,0,0
1,2021-03-30 09:00:00,2020-06-29,"VR01","Groningen",395,0,0
1,2021-03-30 09:00:00,2020-06-30,"VR01","Groningen",385,0,0
