Jaar,Week,CohortGenormaliseerd,CohortOrigineel,AantalTesten,AantalPositief,PercentagePositief
2020,30,0-20,0-4,361,1,0.2770083102493075
2020,30,0-20,10-14,3011,17,0.564596479574892
2020,30,0-20,15-19,6009,72,1.1982026959560659
2020,30,0-20,5-9,1219,7,0.5742411812961444
2020,30,20-29,20-24,9335,142,1.521156936261382
2020,30,20-29,25-29,10797,127,1.1762526627766974
2020,30,30-39,30-34,12450,112,0.8995983935742972
2020,30,30-39,35-39,11050,80,0.7239819004524887
2020,30,40-49,40-44,8835,84,0.9507640067911713
2020,30,40-49,45-49,7651,66,0.8626323356423996
2020,30,50-59,50-54,7555,77,1.0191925876902712
2020,30,50-59,55-59,7768,81,1.0427394438722966
2020,30,60-69,60-64,7410,55,0.7422402159244265
2020,30,60-69,65-69,6356,34,0.5349276274386406
2020,30,70+,70-74,4876,29,0.5947497949138638
2020,30,70+,75-79,2545,14,0.550098231827112
2020,30,70+,80-84,1374,10,0.727802037845706
2020,30,70+,85-89,553,2,0.3616636528028933
2020,30,70+,90-94,161,0,0.0
2020,30,70+,95+,0,0,0.0
2020,31,0-20,0-4,297,1,0.33670033670033667
2020,31,0-20,10-14,2152,25,1.161710037174721
2020,31,0-20,15-19,6713,142,2.1152986742142112
2020,31,0-20,5-9,842,10,1.187648456057007
2020,31,20-29,20-24,11469,332,2.894759787252594
2020,31,20-29,25-29,11421,274,2.3990893967253304
2020,31,30-39,30-34,11839,224,1.8920516935551988
2020,31,30-39,35-39,9941,196,1.9716326325319384
2020,31,40-49,40-44,7623,150,1.967729240456513
2020,31,40-49,45-49,6724,146,2.1713265913146937
2020,31,50-59,50-54,7066,176,2.4908010189640533
2020,31,50-59,55-59,7080,143,2.0197740112994347
2020,31,60-69,60-64,6462,107,1.6558341070875888
2020,31,60-69,65-69,5343,48,0.8983717012914094
2020,31,70+,70-74,4130,35,0.847457627118644
2020,31,70+,75-79,2209,20,0.9053870529651425
2020,31,70+,80-84,1218,16,1.3136288998357963
2020,31,70+,85-89,470,4,0.851063829787234
2020,31,70+,90-94,143,1,0.6993006993006993
2020,31,70+,95+,0,0,0.0
2020,32,0-20,0-4,527,4,0.7590132827324478
2020,32,0-20,10-14,3968,57,1.436491935483871
2020,32,0-20,15-19,8964,302,3.369031682284694
2020,32,0-20,5-9,1637,24,1.4660965180207697
2020,32,20-29,20-24,16122,649,4.02555514204193
2020,32,20-29,25-29,15470,553,3.5746606334841626
2020,32,30-39,30-34,16292,426,2.6147802602504298
2020,32,30-39,35-39,13649,258,1.8902483698439447
2020,32,40-49,40-44,10736,253,2.3565573770491803
2020,32,40-49,45-49,9154,245,2.676425606292331
2020,32,50-59,50-54,9389,285,3.0354670358930664
2020,32,50-59,55-59,9132,245,2.68287341217696
2020,32,60-69,60-64,8205,145,1.7672151127361364
2020,32,60-69,65-69,6738,89,1.3208667260314633
2020,32,70+,70-74,4969,67,1.3483598309519018
2020,32,70+,75-79,2771,40,1.443522194153735
2020,32,70+,80-84,1415,14,0.9893992932862191
2020,32,70+,85-89,541,8,1.478743068391867
2020,32,70+,90-94,168,5,2.976190476190476
2020,32,70+,95+,152,2,1.3157894736842104
2020,33,0-20,0-4,667,44,6.5967016491754125
2020,33,0-20,10-14,4017,149,3.7092357480706992
2020,33,0-20,15-19,11649,473,4.0604343720491025
2020,33,0-20,5-9,1653,77,4.658197217180883
2020,33,20-29,20-24,16616,905,5.446557534906114
2020,33,20-29,25-29,14133,681,4.818509870515815
2020,33,30-39,30-34,11963,495,4.1377580874362625
2020,33,30-39,35-39,9498,364,3.8323857654242994
2020,33,40-49,40-44,7475,314,4.20066889632107
2020,33,40-49,45-49,6913,346,5.005062924924056
2020,33,50-59,50-54,7263,436,6.003029051356188
2020,33,50-59,55-59,6327,324,5.120910384068279
2020,33,60-69,60-64,5361,247,4.607349375116582
2020,33,60-69,65-69,4013,125,3.114876650884625
2020,33,70+,70-74,2975,81,2.722689075630252
2020,33,70+,75-79,1618,40,2.4721878862793574
2020,33,70+,80-84,922,31,3.3622559652928414
2020,33,70+,85-89,355,12,3.3802816901408446
2020,33,70+,90-94,117,4,3.418803418803419
2020,33,70+,95+,21,0,0.0
2020,34,0-20,0-4,484,8,1.6528925619834711
2020,34,0-20,10-14,6260,70,1.1182108626198082
2020,34,0-20,15-19,13441,378,2.8122907521761773
2020,34,0-20,5-9,2270,24,1.0572687224669604
2020,34,20-29,20-24,20530,797,3.882123721383342
2020,34,20-29,25-29,17662,538,3.046087645793228
2020,34,30-39,30-34,15534,395,2.542809321488348
2020,34,30-39,35-39,12966,293,2.2597562856702145
2020,34,40-49,40-44,10573,203,1.919984867114348
2020,34,40-49,45-49,10105,227,2.2464126669965365
2020,34,50-59,50-54,9942,300,3.017501508750754
2020,34,50-59,55-59,8196,240,2.9282576866764276
2020,34,60-69,60-64,6889,169,2.45318623893163
2020,34,60-69,65-69,4972,79,1.588897827835881
2020,34,70+,70-74,3746,59,1.5750133475707422
2020,34,70+,75-79,1949,26,1.3340174448435094
2020,34,70+,80-84,1012,14,1.383399209486166
2020,34,70+,85-89,470,6,1.276595744680851
2020,34,70+,90-94,149,3,2.013422818791946
