Jaar,Week,Categorie,Groep,AantalTesten,AantalPositief,PercentagePositief
2020,37,BCO,Getest ihkv BCO,1547,349,22.559793148028444
2020,37,Kinderen/Jongvolwassen (0-24),Kinderen 0-6 jaar,1214,18,1.4827018121911038
2020,37,Kinderen/Jongvolwassen (0-24),Kinderen 7-12 jaar,12720,142,1.1163522012578615
2020,37,Kinderen/Jongvolwassen (0-24),Kinderen 13-18 jaar,21639,421,1.9455612551411803
2020,37,Zorgmedewerkers,Zorgmedewerkers,11678,369,3.1597876348689846
2020,37,Onderwijs,Onderwijs/kinderopvang,19012,386,2.030296654744372
2020,37,Mantelzorgers,Mantelzorgers,377,13,3.4482758620689653
2020,37,Contactberoep,Contactberoep,22692,897,3.952934955050238
2020,37,Horeca,Horeca,4676,272,5.816937553464499
2020,37,Handhaving,Handhaving,1467,49,3.3401499659168374
2020,37,Overig/onbekend,Overig/onbekend,91876,4503,4.901171143715442
2020,38,BCO,Getest ihkv BCO,1754,479,27.309007981755983
2020,38,Kinderen/Jongvolwassen (0-24),Kinderen 0-6 jaar,829,11,1.3268998793727382
2020,38,Kinderen/Jongvolwassen (0-24),Kinderen 7-12 jaar,10010,180,1.7982017982017984
2020,38,Kinderen/Jongvolwassen (0-24),Kinderen 13-18 jaar,22762,689,3.0269747825322906
2020,38,Zorgmedewerkers,Zorgmedewerkers,9358,485,5.182731352853174
2020,38,Onderwijs,Onderwijs/kinderopvang,16633,666,4.00408825828173
2020,38,Mantelzorgers,Mantelzorgers,350,23,6.571428571428571
2020,38,Contactberoep,Contactberoep,20559,1247,6.065470110413931
2020,38,Horeca,Horeca,4484,386,8.608385370205173
2020,38,Handhaving,Handhaving,1263,65,5.146476642913698
2020,38,Overig/onbekend,Overig/onbekend,81314,6132,7.541136827606562
2020,39,Kinderen/Jongvolwassen (0-24),Kinderen 0-3 jaar,72,1,1.3888888888888888
2020,39,Kinderen/Jongvolwassen (0-24),Kinderen 4-11 jaar,1151,62,5.386620330147697
2020,39,Kinderen/Jongvolwassen (0-24),Kinderen 12-17 jaar,23414,867,3.7029127872213206
2020,39,Zorgmedewerkers,Zorgmedewerkers,13484,764,5.665974488282409
2020,39,Onderwijs,Onderwijs/kinderopvang,15626,778,4.978881351593499
2020,39,Mantelzorgers,Mantelzorgers,432,32,7.4074074074074066
2020,39,Horeca,Horeca,3996,424,10.61061061061061
2020,39,Handhaving,Handhaving,1256,98,7.802547770700636
2020,39,Contactberoep,Contactberoep,19118,1455,7.610628726854274
2020,39,Overig/onbekend,Overig/onbekend,73479,6429,8.749438615114522
