Week,Datum-weken,Aantal_Labs,Tests_Labs,Positief_Labs,Percentage_Labs,Weeknummer,Tests_GGD,Positief_GGD,Percentage_GGD,Meldingen_BCO,Positief_via_BCO,Percentage_via_BCO,Contactinventarisaties,Perc_inven_uitgevoerd
11,09-03-2020 - 15-03-2020,30,17080,1529,9,11,,,,,,,,
12,16-03-2020 - 22-03-2020,35,21338,3953,18.5,12,,,,,,,,
13,23-03-2020 - 29-03-2020,37,24745,7232,29.2,13,,,,,,,,
14,30-03-2020 - 05-04-2020,40,29098,7424,25.5,14,,,,,,,,
15,06-04-2020 - 12-04-2020,41,38960,8391,21.5,15,,,,,,,,
16,13-04-2020 - 19-04-2020,42,40102,7140,17.8,16,,,,,,,,
17,20-04-2020 - 26-04-2020,43,38395,4947,12.9,17,,,,,,,,
18,27-04-2020 - 03-05-2020,44,28954,2906,10,18,,,,,,,,
19,04-05-2020 - 10-05-2020,46,29006,2072,7.1,19,,,,,,,,
20,11-05-2020 - 17-05-2020,49,32687,1678,5.1,20,,,,,,,,
21,18-05-2020 - 24-05-2020,52,28836,1578,5.5,21,,,,,,,,
22,25-05-2020 - 31-05-2020,52,33871,1302,3.8,22,,,,,,,,
23,01-06-2020 - 07-06-2020,53,58956,1224,2.1,23,48882,988,2,,,,,
24,08-06-2020 - 14-06-2020,53,63778,1004,1.6,24,57152,844,1.5,,,,,
25,15-06-2020 - 21-06-2020,53,65541,619,0.9,25,61679,569,0.9,,,,,
26,22-06-2020 - 28-06-2020,53,64140,493,0.8,26,61357,429,0.7,,,,,
27,29-06-2020 - 05-07-2020,53,69658,408,0.6,27,67364,377,0.6,,,,,
28,06-07-2020 - 12-07-2020,54,79309,520,0.7,28,75055,463,0.6,472,125,26.5,441,93.4
29,13-07-2020 - 19-07-2020,53,89783,858,1,29,88626,926,1,930,267,28.7,913,98.2
30,20-07-2020 - 26-07-2020,53,113744,1099,1,30,111527,1196,1.1,1285,358,27.9,1261,98.1
31,27-07-2020 - 02-08-2020,54,122021,2403,2,31,101608,2417,2.4,2384,578,24.2,2276,95.5
32,03-08-2020 - 09-08-2020,55,118058,3950,3.3,32,98773,3687,3.7,3932,732,18.6,3588,91.3
33,10-08-2020 - 16-08-2020,54,121366,3900,3.2,33,102994,3726,3.6,4077,694,17,3832,94
34,17-08-2020 - 23-08-2020,54,161406,3416,2.1,34,135805,3402,2.5,3624,542,15,3473,95.8
35,24-08-2020 - 30-08-2020,54,185167,3415,1.8,35,156381,3425,2.2,3597,638,17.7,3454,96
36,31-08-2020 - 06-09-2020,54,184761,4489,2.4,36,176778,5171,2.9,4981,870,17.5,4746,95.3
37,07-09-2020 - 13-09-2020,54,197923,6658,3.4,37,191388,7650,4,8096,1252,15.5,7687,94.9
38,14-09-2020 - 20-09-2020,54,203384,11200,5.5,38,192941,12238,6.3,13626,1684,12.4,12516,91.9
39,21-09-2020 - 27-09-2020,54,214472,14948,7,39,207346,16623,8,19070,1744,9.1,16470,86.4
40,28-09-2020 - 04-10-2020,55,225655,20149,8.9,40,223372,23286,10.4,27102,1801,6.6,22668,83.6
41,05-10-2020 - 11-10-2020,54,240434,28832,12,41,278477,37914,13.6,42646,2123,5,33835,79.3
42,12-10-2020 - 18-10-2020,54,225890,28830,12.8,42,310722,47086,15.2,56657,2848,5,47041,83
43,19-10-2020 - 25-10-2020,54,215483,34747,16.1,43,321366,59092,18.4,66430,3727,5.6,57895,87.2
44,26-10-2020 - 01-11-2020,54,197534,31027,15.7,44,293882,48730,16.6,63048,6785,10.8,52799,83.7
45,02-11-2020 - 08-11-2020,54,164352,22809,13.9,45,244019,35492,14.5,44210,6497,14.7,38559,87.2
46,09-11-2020 - 15-11-2020,53,148134,19956,13.5,46,226083,31219,13.8,36942,6354,17.2,32489,87.9
