"","Week","Nieuwe_meldingen","Aantal_BCO","Perc_BCO","Aantal_contact","Perc_contact"
"2",27,"438","—","—",401,91.6
"3",28,"470","125","26.6",440,93.6
"4",29,"930","267","28.7",913,98.2
"5",30,"1285","358","27.9",1261,98.1
"6",31,"2382","577","24.2",2275,95.5
"7",32,"3931","730","18.6",3589,91.3
"8",33,"4071","691","17.0",3826,94
"9",34,"3619","535","14.8",3466,95.8
"10",35,"3591","620","17.3",3433,95.6
"11",36,"4973","863","17.4",4731,95.1
"12",37,"8082","1231","15.2",7657,94.7
"13",38,"13596","1605","11.8",12374,91
"14",39,"18974","1666","8.8",16250,85.6
"15",40,"26861","1698","6.3",22192,82.6
"16",41,"41947","1867","4.5",32343,77.1
"17",42,"54067","2404","4.4",41853,77.4
