Datum,IC_Bedden_COVID,IC_Bedden_Non_COVID,Kliniek_Bedden,IC_Nieuwe_Opnames_COVID,Kliniek_Nieuwe_Opnames_COVID
1-6-2020,157,488,542,NA,NA
2-6-2020,153,476,516,NA,NA
3-6-2020,116,514,496,NA,NA
4-6-2020,113,567,481,NA,NA
5-6-2020,97,543,469,NA,NA
6-6-2020,96,549,456,NA,NA
7-6-2020,96,502,443,NA,NA
8-6-2020,93,533,400,NA,NA
9-6-2020,91,521,346,NA,NA
10-6-2020,80,535,333,NA,NA
11-6-2020,77,544,297,NA,NA
12-6-2020,73,557,279,NA,NA
13-6-2020,77,572,289,NA,NA
14-6-2020,79,516,277,NA,NA
15-6-2020,87,520,281,NA,NA
16-6-2020,78,570,280,NA,NA
17-6-2020,73,582,289,NA,NA
18-6-2020,67,568,261,NA,NA
19-6-2020,57,592,235,NA,NA
20-6-2020,57,602,220,NA,NA
21-6-2020,55,573,221,NA,NA
22-6-2020,59,512,194,NA,NA
23-6-2020,48,576,211,NA,NA
24-6-2020,49,565,197,NA,NA
25-6-2020,49,579,178,NA,NA
26-6-2020,36,584,190,NA,NA
27-6-2020,29,573,180,NA,NA
28-6-2020,30,541,178,NA,NA
29-6-2020,32,527,157,NA,NA
30-6-2020,29,559,160,NA,NA
1-7-2020,28,572,150,NA,NA
2-7-2020,25,586,125,NA,NA
3-7-2020,20,587,103,NA,NA
4-7-2020,18,574,75,NA,NA
5-7-2020,18,543,87,NA,NA
6-7-2020,23,538,81,NA,NA
7-7-2020,24,537,79,NA,NA
8-7-2020,20,576,74,NA,NA
9-7-2020,21,586,70,NA,NA
10-7-2020,25,569,69,NA,NA
11-7-2020,26,562,77,NA,NA
12-7-2020,24,545,83,NA,NA
13-7-2020,24,521,94,NA,NA
14-7-2020,21,541,94,NA,NA
15-7-2020,20,573,85,NA,NA
16-7-2020,15,578,80,NA,NA
17-7-2020,15,578,73,NA,NA
18-7-2020,16,586,78,NA,NA
19-7-2020,17,568,73,NA,NA
20-7-2020,16,567,81,NA,NA
21-7-2020,15,579,90,NA,NA
22-7-2020,17,593,85,NA,NA
23-7-2020,15,583,91,NA,NA
24-7-2020,17,592,74,NA,NA
25-7-2020,18,596,91,NA,NA
26-7-2020,16,568,67,NA,NA
27-7-2020,21,516,70,NA,NA
28-7-2020,19,538,77,NA,NA
29-7-2020,17,548,63,NA,NA
30-7-2020,14,564,66,NA,NA
31-7-2020,19,573,73,NA,NA
1-8-2020,22,568,67,NA,NA
2-8-2020,21,552,70,NA,NA
3-8-2020,27,539,82,NA,NA
4-8-2020,26,564,83,NA,NA
5-8-2020,30,584,88,NA,NA
6-8-2020,29,598,79,NA,NA
7-8-2020,27,564,78,NA,NA
8-8-2020,28,576,79,NA,NA
9-8-2020,31,545,87,NA,NA
10-8-2020,29,571,99,NA,NA
11-8-2020,30,583,97,NA,NA
12-8-2020,35,613,117,NA,NA
13-8-2020,31,612,127,NA,NA
14-8-2020,38,578,120,NA,NA
15-8-2020,39,583,124,NA,NA
16-8-2020,36,578,122,NA,NA
17-8-2020,39,565,126,NA,NA
18-8-2020,42,604,129,NA,NA
19-8-2020,41,618,125,NA,NA
20-8-2020,39,594,138,NA,NA
21-8-2020,43,603,133,NA,NA
22-8-2020,42,591,131,NA,NA
23-8-2020,42,565,129,NA,NA
24-8-2020,41,552,121,NA,NA
25-8-2020,38,601,120,NA,NA
26-8-2020,38,622,120,NA,NA
27-8-2020,36,613,107,NA,NA
28-8-2020,34,607,100,NA,NA
29-8-2020,34,577,96,NA,NA
30-8-2020,33,558,94,NA,NA
31-8-2020,38,550,94,NA,NA
1-9-2020,33,589,93,NA,NA
2-9-2020,32,617,90,NA,NA
3-9-2020,28,592,95,NA,NA
4-9-2020,35,604,95,NA,NA
5-9-2020,35,597,99,NA,NA
6-9-2020,33,576,105,NA,NA
7-9-2020,31,552,109,NA,NA
8-9-2020,30,632,116,NA,NA
9-9-2020,31,616,122,NA,NA
10-9-2020,30,606,131,NA,NA
11-9-2020,36,609,136,NA,NA
12-9-2020,37,596,138,NA,NA
13-9-2020,36,572,148,NA,NA
14-9-2020,43,562,166,NA,NA
