"Datum","IC_Bedden_COVID","IC_Bedden_Non_COVID","Kliniek_Bedden","IC_Nieuwe_Opnames_COVID","Kliniek_Nieuwe_Opnames_COVID"
"15-03-2021",564,441,1455,46,177
"14-03-2021",554,428,1368,37,191
"13-03-2021",554,479,1321,44,224
"12-03-2021",576,501,1334,39,211
"11-03-2021",572,489,1353,50,191
"10-03-2021",560,481,1353,28,199
"09-03-2021",556,498,1407,35,240
"08-03-2021",558,457,1347,33,147
"07-03-2021",545,431,1306,39,139
"06-03-2021",542,480,1321,36,176
"05-03-2021",541,491,1370,39,185
"04-03-2021",539,485,1384,31,167
"03-03-2021",549,455,1397,49,177
"02-03-2021",540,460,1444,52,228
"01-03-2021",536,434,1375,30,145
"28-02-2021",526,401,1322,21,160
"27-02-2021",518,470,1291,22,185
"26-02-2021",525,493,1339,32,186
"25-02-2021",526,499,1361,29,196
"24-02-2021",533,508,1350,20,151
"23-02-2021",538,480,1379,31,199
"22-02-2021",561,439,1347,37,122
"21-02-2021",534,461,1315,34,123
"20-02-2021",522,502,1336,20,156
"19-02-2021",510,515,1433,20,200
"18-02-2021",523,511,1408,33,205
"17-02-2021",520,516,1399,34,177
"16-02-2021",526,528,1400,32,209
"15-02-2021",536,499,1386,22,143
"14-02-2021",530,470,1329,19,135
"13-02-2021",538,522,1325,32,182
"12-02-2021",534,505,1370,32,182
"11-02-2021",537,517,1415,23,195
"10-02-2021",533,511,1457,20,199
"09-02-2021",550,455,1460,26,120
"08-02-2021",542,455,1492,26,120
"07-02-2021",535,462,1445,19,150
"06-02-2021",547,488,1436,22,166
"05-02-2021",573,490,1479,22,166
"04-02-2021",602,486,1519,29,186
"03-02-2021",613,479,1601,25,184
"02-02-2021",629,471,1640,29,218
"01-02-2021",639,426,1631,24,144
"31-01-2021",646,454,1573,30,142
"30-01-2021",640,471,1600,29,196
"29-01-2021",659,458,1572,36,196
"28-01-2021",645,495,1595,29,186
"27-01-2021",651,492,1648,38,201
"26-01-2021",674,466,1705,52,219
"25-01-2021",664,416,1720,24,169
"24-01-2021",680,416,1667,42,165
"23-01-2021",673,459,1633,33,214
"22-01-2021",674,456,1684,31,231
"21-01-2021",677,460,1667,36,226
"20-01-2021",679,447,1709,27,212
"19-01-2021",683,444,1767,42,245
"18-01-2021",690,398,1744,28,152
"17-01-2021",676,393,1708,38,179
"16-01-2021",671,441,1694,35,212
"15-01-2021",690,452,1784,24,217
"14-01-2021",693,453,1814,48,226
"13-01-2021",700,416,1821,46,218
"12-01-2021",695,417,1945,43,267
"11-01-2021",702,383,1926,24,173
"10-01-2021",711,379,1850,25,187
"09-01-2021",700,420,1874,44,241
"08-01-2021",708,426,1936,37,249
"07-01-2021",712,420,2052,29,231
"06-01-2021",704,435,2131,39,262
"05-01-2021",731,396,2159,46,320
"04-01-2021",715,377,2130,41,226
"03-01-2021",704,360,2006,29,241
"02-01-2021",698,379,2005,37,248
"01-01-2021",703,389,1957,37,239
"31-12-2020",724,410,2104,38,294
"30-12-2020",712,422,2002,64,289
"29-12-2020",684,416,2077,72,430
"28-12-2020",658,370,1922,54,273
"27-12-2020",631,387,1797,42,243
"26-12-2020",615,372,1734,42,213
"25-12-2020",600,417,1704,41,317
"24-12-2020",596,436,1712,38,321
"23-12-2020",608,439,1686,56,297
"22-12-2020",586,469,1703,33,359
"21-12-2020",586,429,1576,37,205
"20-12-2020",580,431,1533,36,218
"19-12-2020",560,483,1505,45,290
"18-12-2020",549,497,1485,52,264
"17-12-2020",536,507,1467,38,221
"16-12-2020",526,544,1438,28,142
"15-12-2020",524,530,1430,46,262
"14-12-2020",503,523,1369,36,184
"13-12-2020",497,478,1270,36,166
"12-12-2020",481,510,1242,37,247
"11-12-2020",472,547,1209,30,199
"10-12-2020",469,533,1179,26,198
"09-12-2020",473,552,1211,36,194
"08-12-2020",464,553,1236,22,206
"07-12-2020",470,501,1190,24,150
"06-12-2020",469,502,1172,21,160
"05-12-2020",472,516,1130,31,189
"04-12-2020",473,550,1152,28,189
"03-12-2020",458,557,1137,21,153
"02-12-2020",475,531,1131,25,142
"01-12-2020",478,506,1205,20,187
"30-11-2020",481,475,1240,18,134
"29-11-2020",506,450,1194,18,112
"28-11-2020",511,483,1200,19,166
"27-11-2020",518,513,1251,23,188
"26-11-2020",524,516,1257,33,192
