"","model","week","Laag","Gemiddeld","Hoog","year","weekyear","deaths_week_mid","deaths_week_low","deaths_week_high","deaths_low_cumsum","deaths_mid_cumsum","deaths_high_cumsum"
"1","Dynamisch",1,757.524796556229,953.951294942891,1151.44020264455,2021,"2021-01",953.951294942891,757.524796556229,1151.44020264455,757.524796556229,953.951294942891,1151.44020264455
"2","Dynamisch",2,1409.54176329138,1775.03614718136,2142.50783746701,2021,"2021-02",821.084852238472,652.016966735151,991.067634822467,1409.54176329138,1775.03614718136,2142.50783746701
"3","Dynamisch",3,2039.03495492314,2567.75624407746,3099.33887261624,2021,"2021-03",792.720096896102,629.493191631761,956.831035149227,2039.03495492314,2567.75624407746,3099.33887261624
"4","Dynamisch",4,2535.75396088253,3193.27360856028,3854.3523021565,2021,"2021-04",625.517364482819,496.719005959386,755.013429540262,2535.75396088253,3193.27360856028,3854.3523021565
"5","Dynamisch",5,3017.0614559564,3799.38351508502,4585.94076654969,2021,"2021-05",606.109906524735,481.307495073879,731.588464393191,3017.0614559564,3799.38351508502,4585.94076654969
"6","Dynamisch",6,3482.95765591635,4386.0859586721,5294.10380164908,2021,"2021-06",586.702443587083,465.896199959946,708.163035099391,3482.95765591635,4386.0859586721,5294.10380164908
"7","Dynamisch",7,3960.70876262082,4987.71721795127,6020.28642198438,2021,"2021-07",601.631259279172,477.751106704472,726.182620335291,3960.70876262082,4987.71721795127,6020.28642198438
"8","Dynamisch",8,4289.0887594674,5401.24540137118,6519.42419750372,2021,"2021-08",413.52818341991,328.379996846575,499.137775519345,4289.0887594674,5401.24540137118,6519.42419750372
"9","Dynamisch",9,4572.42004272132,5758.04408181766,6950.08833305537,2021,"2021-09",356.798680446475,283.331283253925,430.664135551649,4572.42004272132,5758.04408181766,6950.08833305537
"10","Dynamisch",10,4786.99320323997,6028.25563430148,7276.23988682142,2021,"2021-10",270.211552483824,214.573160518648,326.151553766048,4786.99320323997,6028.25563430148,7276.23988682142
"11","Dynamisch",11,4995.63877079552,6291.00277668739,7593.38163580624,2021,"2021-11",262.747142385912,208.64556755555,317.141748984825,4995.63877079552,6291.00277668739,7593.38163580624
"12","Dynamisch",12,5173.46174023623,6514.93500081187,7863.67294139694,2021,"2021-12",223.932224124472,177.822969440711,270.291305590695,5173.46174023623,6514.93500081187,7863.67294139694
"13","Dynamisch",13,5338.2443452407,6722.44553221724,8114.1428928424,2021,"2021-13",207.510531405374,164.782605004471,250.469951445464,5338.2443452407,6722.44553221724,8114.1428928424
"14","Dynamisch",14,5486.42990957808,6909.05572502844,8339.3856696584,2021,"2021-14",186.610192811198,148.185564337372,225.242776815994,5486.42990957808,6909.05572502844,8339.3856696584
