"Week","Year","Totaal_Overleden","Overleden0_65","Overleden65_80","Overleden80+","Oversterfte_Totaal","Oversterfte0_65","Oversterfte65_80","Oversterfte80+","Oversterfte_Totaal_Gecorrigeerd","covid_sterfgevallen","DLModel_lowerbound95","DLModel_week_estimate","DLModel_upperbound95","Oversterfte_DLModel_cumul_low","Oversterfte_DLModel_cumul_mid","Oversterfte_DLModel_cumul_high","excess_mortality_rivm","Mortality_without_covid_CBS","Covid_deaths_CBS_death_statistics"
11,2020,3231,410,967,1898,-30,-35,-38,-105,-178,36,45,64,81,45,64,81,NA,"3184","35"
12,2020,3629,450,1099,2128,493,13,139,206,358,295,390,520,637,435,584,718,NA,"3203","412"
13,2020,4476,502,1428,2607,1365,81,451,708,1240,797,1150,1414,1676,1585,1998,2394,NA,"3208","1251"
14,2020,5105,499,1531,3145,2128,77,597,1350,2024,1185,1817,2094,2398,3401,4091,4792,NA,"3166","1919"
15,2020,5000,483,1463,3124,2090,74,531,1383,1988,1040,1769,1961,2152,5170,6052,6945,NA,"3010","1971"
16,2020,4324,426,1256,2701,1429,11,322,986,1319,886,1288,1483,1639,6458,7535,8583,NA,"2843","1464"
17,2020,3922,454,1176,2345,1065,53,278,619,950,705,966,1165,1291,7424,8700,9874,NA,"2815","1092"
18,2020,3392,444,1018,1975,600,49,112,319,480,427,594,703,735,8019,9403,10610,NA,"2713","666"
19,2020,2998,390,931,1716,152,-10,32,1,23,295,375,466,539,8394,9869,11149,NA,"2552","434"
20,2020,2788,374,851,1600,2,-5,-47,-75,-127,175,201,274,325,8595,10143,11474,NA,"2495","282"
21,2020,2782,369,820,1629,1,-35,-45,-44,-124,120,148,189,221,8742,10332,11694,NA,"2554","217"
22,2020,2740,369,874,1532,-32,-34,-37,-86,-157,91,115,144,180,8858,10476,11875,NA,"2580","149"
23,2020,2692,385,852,1491,-12,-20,-4,-110,-134,56,72,89,120,8930,10564,11995,NA,"2576","106"
24,2020,2702,407,852,1478,13,17,-33,-95,-111,35,38,55,74,8968,10620,12069,NA,"2626","66"
25,2020,2705,375,872,1494,31,-15,-12,-62,-89,25,27,40,34,8995,10660,12103,NA,"2646","49"
26,2020,2671,382,844,1480,-49,-28,-38,-105,-171,12,12,19,22,9008,10679,12124,NA,"2627","34"
27,2020,2649,403,824,1456,-151,-11,-83,-188,-282,12,13,19,16,9021,10698,12141,NA,"2607","32"
28,2020,2629,389,828,1446,-64,-12,-24,-149,-185,6,6,10,13,9027,10708,12154,NA,"2594","25"
29,2020,2538,372,790,1409,-180,-45,-104,-155,-304,7,7,11,16,9035,10719,12170,NA,"2520","8"
30,2020,2683,408,836,1473,-64,-2,-54,-129,-185,7,6,11,14,9040,10731,12184,NA,"2655","18"
31,2020,2678,376,858,1479,22,-22,-28,-46,-96,9,9,15,20,9049,10745,12204,NA,"2646","22"
32,2020,2650,419,835,1429,-36,9,-54,-112,-157,5,5,8,11,9055,10754,12216,NA,"2612","28"
33,2020,3221,463,945,1855,592,67,84,331,482,26,29,43,49,9084,10797,12264,NA,"3157","52"
