jaar,week,start week,eind week,ondergrens,bovengrens,sterfte,oversterfte,midpoint
2021,26,24-jun,30-jun,2475,2801,2671,33,2638
2021,25,17-jun,23-jun,2590,2816,2658,-45,2703
2021,24,10-jun,16-jun,2508,2833,2797,126.5,2670.5
2021,23,3-jun,9-jun,2527,2852,2882,192.5,2689.5
2021,22,27-mei,2-jun,2548,2873,2878,167.5,2710.5
2021,21,20-mei,26-mei,2570,2895,2837,104.5,2732.5
2021,20,13-mei,19-mei,2594,2919,2831,74.5,2756.5
2021,19,6-mei,12-mei,2618,2943,2981,201,2780.5
2021,18,29-apr,5-mei,2642,2968,2947,142,2805
2021,17,22-apr,28-apr,2666,2992,3106,277,2829
2021,16,15-apr,21-apr,2690,3016,2952,99,2853
2021,15,8-apr,14-apr,2714,3040,3111,234,2877
2021,14,1-apr,7-apr,2736,3062,3086,187,2899
2021,13,25-mrt,31-mrt,2757,3083,2897,-23,2920
2021,12,18-mrt,24-mrt,2776,3102,2986,47,2939
2021,11,11-mrt,17-mrt,2793,3120,3052,96,2956.5
2021,10,4-mrt,10-mrt,2808,3135,3109,138,2971.5
2021,9,25-feb,3-mrt,2820,3147,3059,76,2983.5
2021,8,18-feb,24-feb,2830,3157,3348,354,2993.5
2021,7,11-feb,17-feb,2837,3164,3442,441,3000.5
2021,6,4-feb,10-feb,2841,3168,3592,587,3004.5
2021,5,28-jan,3-feb,2843,3169,3619,613,3006
2021,4,21-jan,27-jan,2841,3167,3641,637,3004
2021,3,14-jan,20-jan,2836,3162,3731,732,2999
2021,2,7-jan,13-jan,2828,3154,3959,968,2991
2021,1,31-dec,6-jan,,,,,0
2020,53,24-dec,30-dec,2815,3141,3742,764,2978
2020,52,17-dec,23-dec,,,,,0
2020,51,10-dec,16-dec,,,,,0
2020,50,3-dec,9-dec,2768,3092,3395,465,2930
2020,49,26-nov,2-dec,2747,3072,3367,458,2909.5
2020,48,19-nov,25-nov,2725,3049,3260,373,2887
2020,47,12-nov,18-nov,,,,,
2020,46,5-nov,11-nov,2678,3001,3500,660.5,2839.5
2020,45,29-okt,4-nov,2653,2976,3597,782.5,2814.5
2020,44,22-okt,28-okt,2628,2951,3448,658.5,2789.5
2020,43,15-okt,21-okt,2602,2925,3298,534.5,2763.5
2020,42,8-okt,14-okt,2577,2900,3001,262.5,2738.5
2020,41,1-okt,7-okt,2553,2876,2972,257.5,2714.5
2020,40,24-sep,30-sep,2530,2853,2832,140.5,2691.5
2020,39,17-sep,23-sep,2508,2831,2721,51.5,2669.5
2020,38,10-sep,16-sep,2488,2811,2687,37.5,2649.5
2020,37,3-sep,9-sep,,,,0,0
2020,36,27-aug,2-sep,,,,0,0
2020,35,20-aug,26-aug,,,,0,0
2020,34,13-aug,19-aug,,,,0,0
