Week,date,cases_cumulative_healthcare,hospitalized_healthcare,deaths_healthcare,cases_cumulative_education,hospitalized_education,deaths_education
28,7-7-2020,17351,537,13,,,
29,14-7-2020,17408,537,13,,,
30,21-7-2020,17481,537,13,,,
31,28-7-2020,17590,538,13,,,
32,4-8-2020,17759,539,13,,,
33,11-8-2020,18046,539,13,,,
34,18-8-2020,18346,540,13,,,
35,25-8-2020,18632,541,13,,,
36,1-9-2020,18940,542,13,,,
37,8-9-2020,19372,542,13,,,
38,15-9-2020,20090,542,13,,,
39,22-9-2020,21256,547,13,,,
40,29-9-2020,23007,554,13,,,
41,6-10-2020,25607,562,13,,,
42,13-10-2020,29289,575,14,,,
43,20-10-2020,34367,588,14,,,
44,27-10-2020,40896,602,14,,,
45,3-11-2020,47755,620,15,,,
46,10-11-2020,53844,637,15,,,
47,17-11-2020,58424,654,15,,,
48,24-11-2020,62884,667,16,,,
49,1-12-2020,66942,678,16,,,
50,8-12-2020,71324,686,18,,,
51,15-12-2020,77986,698,18,,,
52,22-12-2020,87608,716,19,,,
53,29-12-2020,96042,729,21,,,
1,5-1-2021,103697,748,21,,,
2,12-1-2021,110438,766,22,,,
3,19-1-2021,116300,781,23,,,
4,26-1-2021,121572,804,24,,,
5,2-2-2021,125739,816,25,45016,249,8
6,9-2-2021,129150,828,25,45875,257,9
7,16-2-2021,132416,851,26,46870,261,9
8,23-2-2021,135299,865,26,48133,267,9
9,2-3-2021,138053,883,27,49554,272,9
10,9-3-2021,140540,896,28,50997,279,9
11,16-3-2021,143488,908,28,52961,284,9
12,23-3-2021,146741,917,30,55383,288,9
13,30-3-2021,150344,927,30,58084,297,9
14,6-4-2021,153653,936,30,60618,304,9
15,13-4-2021,157045,950,31,63025,316,9
16,20-4-2021,160505,958,31,65594,318,10
17,27-4-2021,164204,968,31,68460,323,10
18,4-5-2021,167443,977,31,70872,332,10
19,11-5-2021,170647,985,32,72929,340,10
20,18-5-2021,172880,994,32,74333,343,10
21,25-5-2021,,,,,,
22,1-6-2021,,,,,,
23,8-6-2021,,,,,,
24,15-6-2021,,,,,,
25,22-6-2021,,,,,,
26,29-6-2021,,,,,,
27,6-7-2021,,,,,,
28,13-7-2021,,,,,,
