"Date","prev_low","prev_avg","prev_up","population","version","groei_besmettelijken","besmet_7daverage"
2020-02-17,692,1066,1462,"hosp",1,0,NA
2020-02-18,807,1226,1653,"hosp",1,160,NA
2020-02-19,994,1460,1941,"hosp",1,234,NA
2020-02-20,1177,1717,2253,"hosp",1,257,NA
2020-02-21,1466,2073,2687,"hosp",1,356,NA
2020-02-22,1801,2492,3190,"hosp",1,419,NA
2020-02-23,2183,2939,3688,"hosp",1,447,267.571428571429
2020-02-24,2746,3614,4467,"hosp",1,675,364
2020-02-25,3487,4513,5512,"hosp",1,899,469.571428571429
2020-02-26,4372,5591,6754,"hosp",1,1078,590.142857142857
2020-02-27,5523,6953,8367,"hosp",1,1362,748
2020-02-28,7048,8699,10302,"hosp",1,1746,946.571428571429
2020-02-29,8970,10857,12715,"hosp",1,2158,1195
2020-03-01,11243,13453,15630,"hosp",1,2596,1502
2020-03-02,13787,16526,18990,"hosp",1,3073,1844.57142857143
2020-03-03,16859,20157,23071,"hosp",1,3631,2234.85714285714
2020-03-04,20299,24191,27698,"hosp",1,4034,2657.14285714286
2020-03-05,24085,28867,33010,"hosp",1,4676,3130.57142857143
2020-03-06,28127,33740,38664,"hosp",1,4873,3577.28571428571
2020-03-07,32966,39654,45549,"hosp",1,5914,4113.85714285714
2020-03-08,38850,46788,53672,"hosp",1,7134,4762.14285714286
2020-03-09,43807,53045,61140,"hosp",1,6257,5217
2020-03-10,47568,58106,67361,"hosp",1,5061,5421.28571428571
2020-03-11,51822,63983,74785,"hosp",1,5877,5684.57142857143
2020-03-12,56030,69583,81813,"hosp",1,5600,5816.57142857143
2020-03-13,60006,75453,89254,"hosp",1,5870,5959
2020-03-14,64940,83105,98985,"hosp",1,7652,6207.28571428571
2020-03-15,71753,91414,109314,"hosp",1,8309,6375.14285714286
2020-03-16,79670,99793,119600,"hosp",1,8379,6678.28571428571
2020-03-17,88351,109611,130864,"hosp",1,9818,7357.85714285714
2020-03-18,96971,119176,140436,"hosp",1,9565,7884.71428571429
2020-03-19,105622,129723,151823,"hosp",1,10547,8591.42857142857
2020-03-20,112772,140467,165306,"hosp",1,10744,9287.71428571429
2020-03-21,119317,150535,177962,"hosp",1,10068,9632.85714285714
2020-03-22,124414,158581,189259,"hosp",1,8046,9595.28571428571
2020-03-23,126667,164167,198859,"hosp",1,5586,9196.28571428571
2020-03-24,127644,167226,204556,"hosp",1,3059,8230.71428571429
2020-03-25,126215,168237,207865,"hosp",1,1011,7008.71428571429
2020-03-26,121675,166027,208525,"hosp",1,-2210,5186.28571428571
2020-03-27,116126,162470,206674,"hosp",1,-3557,3143.28571428571
2020-03-28,111117,157883,204170,"hosp",1,-4587,1049.71428571429
2020-03-29,104876,151177,198504,"hosp",1,-6706,-1057.71428571429
2020-03-30,99154,144049,191017,"hosp",1,-7128,-2874
2020-03-31,93878,136906,182258,"hosp",1,-7143,-4331.42857142857
2020-04-01,89643,130021,173271,"hosp",1,-6885,-5459.42857142857
2020-04-02,84316,122834,163925,"hosp",1,-7187,-6170.42857142857
2020-04-03,79747,116645,155596,"hosp",1,-6189,-6546.42857142857
2020-04-04,76276,111076,147856,"hosp",1,-5569,-6686.71428571429
2020-04-05,72019,105192,140723,"hosp",1,-5884,-6569.28571428571
2020-04-06,67741,99280,132952,"hosp",1,-5912,-6395.57142857143
2020-04-07,63582,93536,124916,"hosp",1,-5744,-6195.71428571429
2020-04-08,60353,88605,118727,"hosp",1,-4931,-5916.57142857143
2020-04-09,56637,83680,112188,"hosp",1,-4925,-5593.42857142857
2020-04-10,52935,78884,106049,"hosp",1,-4796,-5394.42857142857
2020-04-11,50221,74682,100489,"hosp",1,-4202,-5199.14285714286
2020-04-12,47724,70633,95450,"hosp",1,-4049,-4937
2020-04-13,45164,66538,89956,"hosp",1,-4095,-4677.42857142857
