"Week","Aantal_monsters","Britse_variant","ZuidAfrikaanse_variant","Braziliaanse_variant_P1","Britse_variant_E484K","B.1.525_variant_E484K_F888L","Californie_variant","Braziliaanse_variant_P2","New_York_variant","Filipijnen_variant_P3","Bretagne_variant","Indiase_Variant_B1.167.1","Indiase_Variant_B1.167.2","Indiase_Variant_B1.167.3","prevalentie_britsevariant","prevalentie_ZAvariant","prevalentie_P1_variant"
"2020/49",108,1,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0
"2020/50",118,1,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0
"2020/51",190,1,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0
"2020/52",238,5,1,0,0,0,0,0,0,0,0,0,0,0,2.1,0.42,0
"2020/53",209,9,1,0,0,0,0,0,0,0,0,0,0,0,4.31,0.48,0
"2021/1",357,45,0,0,0,0,0,0,0,0,0,0,0,0,12.61,0,0
"2021/2",303,61,3,0,0,0,0,2,0,0,0,0,0,0,20.13,0.99,0
"2021/3",624,151,3,0,0,0,0,0,0,0,0,0,0,0,24.2,0.48,0
"2021/4",830,222,14,1,0,0,0,0,0,0,0,0,0,0,26.75,1.69,0.12
"2021/5",870,274,17,0,1,2,0,1,0,0,0,0,0,0,31.49,1.95,0
"2021/6",934,388,24,0,0,1,0,3,0,0,0,0,0,0,41.54,2.57,0
"2021/7",1020,638,24,1,1,4,0,0,0,0,0,0,0,0,62.55,2.35,0.1
"2021/8",983,754,17,3,0,0,0,0,0,1,0,0,0,0,76.7,1.73,0.31
"2021/9",1490,1245,25,11,2,7,2,0,0,0,0,0,0,0,83.56,1.68,0.74
"2021/10",1913,1673,53,15,1,5,2,0,0,0,0,0,0,0,87.45,2.77,0.78
"2021/11",1548,1388,55,22,0,2,0,0,0,0,0,0,0,0,89.66,3.55,1.42
"2021/12",1558,1455,37,22,0,0,0,0,0,2,0,0,0,0,93.39,2.37,1.41
"2021/13",1604,1522,37,11,3,1,0,0,0,1,0,0,0,0,94.89,2.31,0.69
"2021/14",1250,1192,22,19,2,1,0,0,0,0,0,2,0,0,95.36,1.76,1.52
"2021/15",543,523,7,9,2,0,0,0,0,0,0,1,1,0,96.32,1.29,1.66
"Totaal",16.691,11.548,340,114,12,23,4,6,1,4,0,3,1,0,69.19,2037.03,683
