"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","diff"
"1",2021-01-08,0.837359516383184,0.0014715610408322,0.92,"0.90","0.95",0.91,0.001,-0.01
"2",2021-01-09,0.866952680826722,0.00113627166595738,0.94,"0.92","0.97",0.94,0.001,0
"3",2021-01-10,0.912319112614218,0.00109069857157726,0.94,"0.91","0.97",0.95,0.001,0.01
"4",2021-01-11,0.942761450905995,0.00131194215428179,0.92,"0.90","0.95",0.93,0.002,0.01
"5",2021-01-12,0.952462801407541,0.00113676722541463,0.92,"0.90","0.95",0.93,0.002,0.01
"6",2021-01-13,0.933462966361655,0.00153187602138568,0.93,"0.91","0.96",0.93,0.001,0
"7",2021-01-14,0.931570765582254,0.0016366569666381,0.95,"0.92","0.98",0.94,0.001,-0.01
"8",2021-01-15,0.929432895690713,0.00123053199166924,0.96,"0.94","0.99",0.95,0.001,-0.01
"9",2021-01-16,0.943550231137291,0.00128953755091756,0.97,"0.94","0.99",0.96,0.002,-0.01
"10",2021-01-17,0.954264694862593,0.00126045725593118,0.94,"0.91","0.97",0.95,0.001,0.01
"11",2021-01-18,0.959500427080127,0.00163593514604431,0.9,"0.88","0.93",0.91,0.001,0.01
"12",2021-01-19,0.950400935058843,0.000955241962873086,0.88,"0.85","0.91",0.89,0.001,0.01
"13",2021-01-20,0.905103262873171,0.00143752702733966,0.87,"0.85","0.90",0.87,0.001,0
"14",2021-01-21,0.88704198984748,0.00144761542760366,0.88,"0.86","0.91",0.87,0.001,-0.01
"15",2021-01-22,0.866496410202595,0.000955190227367752,0.9,"0.87","0.93",0.89,0.002,-0.01
"16",2021-01-23,0.870716655053082,0.000909774349995746,0.92,"0.89","0.94",0.91,0.002,-0.01
"17",2021-01-24,0.888061702863428,0.00213192246720197,0.92,"0.89","0.95",0.92,0.002,0
"18",2021-01-25,0.906253553815299,0.00173870814377552,0.91,"0.88","0.94",0.91,0.001,0
"19",2021-01-26,0.924301470170639,0.00186238028554045,0.91,"0.88","0.94",0.92,0.002,0.01
"20",2021-01-27,0.909199767878053,0.00134275788540997,0.92,"0.89","0.95",0.92,0.002,0
"21",2021-01-28,0.919762324880344,0.00177252715998136,0.94,"0.91","0.97",0.94,0.002,0
"22",2021-01-29,0.922673140474269,0.00153270830178388,0.97,"0.93","1.00",0.96,0.002,-0.01
