"Week","Jaar","Aantal_monsters","Britse_variant","Britse_variant_E484K","ZuidAfrikaanse_variant","Braziliaanse_variant_P1","B.1.525_variant_E484K_F888L","Indiase_Variant_B1.167.1.3","Indiase_Variant_B1.167.2","B.1.620","Colombiaanse_variant_B.1.621","Californie_variant","Filipijnen_variant_P3","Bretagne_variant","prevalentie_britsevariant","prevalentie_ZAvariant","prevalentie_P1_variant"
49,2020,108,1,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0
50,2020,127,1,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0
51,2020,203,1,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0
52,2020,257,5,0,1,0,0,0,0,0,0,0,0,0,1.95,0.39,0
53,2020,209,9,0,1,0,0,0,0,0,0,0,0,0,4.31,0.48,0
1,2021,357,45,0,0,0,0,0,0,0,0,0,0,0,12.61,0,0
2,2021,303,61,0,3,0,0,0,0,0,0,0,0,0,20.13,0.99,0
3,2021,645,157,0,3,0,0,0,0,0,0,0,0,0,24.34,0.47,0
4,2021,837,224,0,14,1,0,0,0,0,0,0,0,0,26.76,1.67,0.12
5,2021,902,286,1,17,0,2,0,0,0,0,0,0,0,31.71,1.88,0
6,2021,964,396,0,26,0,1,0,0,0,0,0,0,0,41.08,2.7,0
7,2021,1041,647,1,32,1,3,0,0,0,0,0,0,0,62.15,3.07,0.1
8,2021,1028,787,0,19,3,0,0,0,0,0,0,1,0,76.56,1.85,0.29
9,2021,1514,1265,2,25,10,7,0,0,0,0,2,0,0,83.55,1.65,0.66
10,2021,1974,1725,1,56,15,5,0,0,0,0,2,0,0,87.39,2.84,0.76
11,2021,1560,1399,0,55,23,2,0,0,0,0,0,0,0,89.68,3.53,1.47
12,2021,1599,1492,0,39,23,0,0,0,0,1,2,2,0,93.31,2.44,1.44
13,2021,1688,1598,3,40,14,1,0,0,0,0,1,1,0,94.67,2.37,0.83
14,2021,1392,1328,2,25,21,2,2,0,0,0,0,0,0,95.4,1.8,1.51
15,2021,1367,1322,6,16,17,1,1,1,0,0,0,0,0,96.71,1.17,1.24
16,2021,802,774,4,8,12,3,0,0,0,0,0,0,0,96.51,1,1.5
