"Aantal onderzochte monsters","Jaar","Week","Variant_name","Variant_cases"
348,2021,24,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",264
979,2021,23,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",857
1189,2021,22,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1107
1293,2021,21,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1242
1367,2021,20,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1314
1644,2021,19,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1586
1673,2021,18,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1619
1742,2021,17,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1692
1557,2021,16,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1498
1657,2021,15,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1602
1531,2021,14,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1460
1721,2021,13,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1632
1604,2021,12,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1498
1565,2021,11,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1405
1983,2021,10,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1733
1523,2021,9,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1274
1042,2021,8,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",799
1042,2021,7,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",652
970,2021,6,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",399
907,2021,5,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",294
837,2021,4,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",223
645,2021,3,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",157
303,2021,2,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",61
357,2021,1,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",45
209,2020,53,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",9
257,2020,52,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",5
203,2020,51,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1
127,2020,50,"Alfa* (B.1.1.7) (Verenigd Koninkrijk)",1
348,2021,24,"Alfa met E484K mutatie",1
979,2021,23,"Alfa met E484K mutatie",8
1189,2021,22,"Alfa met E484K mutatie",3
1293,2021,21,"Alfa met E484K mutatie",3
1367,2021,20,"Alfa met E484K mutatie",6
1644,2021,19,"Alfa met E484K mutatie",4
1673,2021,18,"Alfa met E484K mutatie",2
1742,2021,17,"Alfa met E484K mutatie",4
1557,2021,16,"Alfa met E484K mutatie",7
1657,2021,15,"Alfa met E484K mutatie",6
1531,2021,14,"Alfa met E484K mutatie",2
1721,2021,13,"Alfa met E484K mutatie",3
1604,2021,12,"Alfa met E484K mutatie",0
