"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",49,687,3,739,2020-12-24
"20 - 24",15,205,0,220,2020-12-24
"25 - 29",17,367,3,387,2020-12-24
"30 - 34",11,490,3,504,2020-12-24
"35 - 39",27,574,9,610,2020-12-24
"40 - 44",38,739,4,781,2020-12-24
"45 - 49",64,1206,17,1287,2020-12-24
"50 - 54",132,1886,42,2060,2020-12-24
"55 - 59",166,2284,59,2509,2020-12-24
"60 - 64",175,2504,113,2792,2020-12-24
"65 - 69",205,2471,232,2908,2020-12-24
"70 - 74",285,2979,499,3763,2020-12-24
"75 - 79",370,2873,834,4077,2020-12-24
"80 - 84",353,2369,1035,3757,2020-12-24
"85 - 89",183,1538,811,2532,2020-12-24
">90",74,660,302,1036,2020-12-24
