"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,1172,6,1219,2021-05-27
"20 - 24",6,407,2,415,2021-05-27
"25 - 29",18,685,2,705,2021-05-27
"30 - 34",15,1024,10,1049,2021-05-27
"35 - 39",20,1196,11,1227,2021-05-27
"40 - 44",29,1537,12,1578,2021-05-27
"45 - 49",58,2617,24,2699,2021-05-27
"50 - 54",90,4109,72,4271,2021-05-27
"55 - 59",116,5071,126,5313,2021-05-27
"60 - 64",85,5153,231,5469,2021-05-27
"65 - 69",91,5131,489,5711,2021-05-27
"70 - 74",122,6090,1029,7241,2021-05-27
"75 - 79",128,5695,1693,7516,2021-05-27
"80 - 84",88,4453,1919,6460,2021-05-27
"85 - 89",46,2728,1426,4200,2021-05-27
">90",24,1189,595,1808,2021-05-27
