"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,3,9,1,13,2020-10-31
"20 - 24",5,2,13,0,20,2020-10-31
"25 - 29",2,0,23,2,27,2020-10-31
"30 - 34",5,1,46,2,54,2020-10-31
"35 - 39",5,3,48,8,64,2020-10-31
"40 - 44",6,10,76,8,100,2020-10-31
"45 - 49",14,22,183,22,241,2020-10-31
"50 - 54",22,42,275,32,371,2020-10-31
"55 - 59",26,70,360,83,539,2020-10-31
"60 - 64",40,101,405,126,672,2020-10-31
"65 - 69",40,110,394,218,762,2020-10-31
"70 - 74",40,125,366,291,822,2020-10-31
"75 - 79",28,66,195,231,520,2020-10-31
"80 - 84",15,29,34,74,152,2020-10-31
"85 - 89",1,0,5,18,24,2020-10-31
">90",1,1,0,0,2,2020-10-31
