"Leeftijd","2020-11-03","2020-11-04","2020-11-05","2020-11-06","2020-11-07","2020-11-08","2020-11-09","2020-11-10","2020-11-11","2020-11-12","2020-11-13","2020-11-14","2020-11-15","2020-11-16","2020-11-17","2020-11-18","2020-11-19","2020-11-20","2020-11-21","2020-11-22","2020-11-23","2020-11-24","2020-11-25","2020-11-26","2020-11-27","2020-11-28","2020-11-29","2020-11-30","2020-12-01","2020-12-02","2020-12-03","2020-12-04","2020-12-05","2020-12-06","2020-12-07","2020-12-08","2020-12-09","2020-12-10","2020-12-11","2020-12-12","2020-12-13","2020-12-14","2020-12-15","2020-12-16","2020-12-17","2020-12-18","2020-12-19","2020-12-20","2020-12-21","2020-12-22","2020-12-23","2020-12-24","2020-12-25","2020-12-26","2020-12-27","2020-12-28","2020-12-29","2020-12-30","2020-12-31","2021-01-01","2021-01-02","2021-01-03","2021-01-04","2021-01-05","2021-01-06","2021-01-07","2021-01-08","2021-01-09","2021-01-10","2021-01-11","2021-01-12","2021-01-13","2021-01-14","2021-01-15","2021-01-16","2021-01-17","2021-01-18","2021-01-19","2021-01-20","2021-01-21","2021-01-22"
"<20",1.26,1.8,1.83,1.55,1.65,1.77,1.88,2.58,2.67,2.45,2.63,2.38,2.75,2.33,2.19,2.46,2.45,2.34,2.23,2.69,2.12,2.36,2.27,2.76,2.4,2.53,2.39,2.81,2.43,2.91,2.45,2.73,2.85,2.36,2.5,2.24,2.54,2.59,2.48,2.14,2.19,2.08,2.26,2.2,2.24,2.23,2.03,2.25,2.2,2.09,2.26,2.26,2.24,2.39,2.18,2.14,1.93,2.12,2.3,2.25,2.29,2.35,2.19,2.16,2.26,1.52,1.4,1.17,1.07,1.1,1.16,1.39,1.44,1.66,1.58,1.77,1.49,1.33,1.3,1.3,1.4
">90",3.77,3.66,3.66,3.88,3.78,4.01,4.12,4.12,4.06,3.84,3.74,3.54,3.84,4.14,3.19,3.06,2.94,2.85,2.95,2.76,2.69,3.25,3.43,3.82,3.57,3.19,3.35,3.55,3.74,3.91,3.81,3.44,3.35,3.47,3.79,4.34,4.03,4.06,3.46,3.58,3.57,4.04,4.36,4.24,4.14,3.85,3.9,4.03,4.26,4.08,3.58,3.42,3.5,3.58,3.9,3.72,3.62,3.74,3.76,3.57,3.57,3.57,3.99,4.05,3.86,4.13,4.05,3.98,4.17,4.5,4.81,4.73,4.8,5.16,4.87,4.73,4.8,4.67,4.65,4.35,4.09
"20 - 24",0.65,0.51,0.42,0.33,0.35,0.41,0.35,0.29,0.17,0.12,0.12,0.24,0.37,0.23,0.3,0.48,0.55,0.44,0.46,0.46,0.38,0.38,0.32,0.33,0.52,0.47,0.48,0.4,0.42,0.36,0.29,0.43,0.5,0.62,0.74,0.72,0.65,0.66,0.91,1.07,0.81,0.75,0.72,0.7,0.65,0.62,0.57,0.61,0.59,0.49,0.57,0.69,0.51,0.41,0.45,0.38,0.45,0.54,0.4,0.5,0.5,0.63,0.57,0.52,0.53,0.29,0.3,0.21,0.16,0.16,0.3,0.46,0.32,0.28,0.4,0.4,0.33,0.44,0.4,0.34,0.45
"25 - 29",0.7,0.51,0.47,0.83,0.71,0.71,0.77,0.63,0.7,0.7,0.49,0.61,0.73,0.76,0.89,0.9,0.86,0.76,0.92,0.66,0.51,0.51,0.65,0.59,0.65,0.47,0.48,0.47,0.69,0.71,0.5,0.72,0.43,0.49,0.68,0.53,0.52,0.47,0.65,0.82,0.63,0.63,0.72,0.75,0.71,0.68,0.62,0.61,0.69,0.68,0.61,0.79,0.79,0.73,0.73,0.47,0.53,0.58,0.71,0.64,0.55,0.5,0.61,0.47,0.62,0.86,0.7,0.85,0.8,0.79,0.86,0.92,0.96,1.05,1.02,0.86,0.83,0.56,0.68,0.9,0.95
"30 - 34",0.8,1.08,0.99,0.89,0.95,0.71,0.53,0.74,1.16,1.05,0.86,1.04,1.04,1.23,1.36,1.56,1.53,1.27,1.51,1.71,1.47,1.15,1.17,1.12,1.23,0.93,0.68,0.54,0.76,0.85,1.08,1.22,1.07,1.04,1.01,0.99,1.11,0.93,0.98,1.07,1.19,1.04,0.99,0.91,0.93,1.14,1.09,1.33,1.27,0.97,0.71,0.51,0.61,0.69,0.77,0.68,0.9,0.79,0.8,0.78,0.82,1,0.88,0.86,0.84,0.76,0.85,0.69,0.86,0.89,1.01,1.03,1.33,1.22,1.41,1.14,1.21,1.11,0.85,0.73,1.01
"35 - 39",1.26,1.18,1.04,1.05,1.36,1.59,1.3,0.97,0.7,0.93,0.86,0.92,0.92,1.05,1.06,1.26,1.16,1.08,1.18,1.51,1.41,1.85,1.55,1.78,1.69,1.8,1.64,1.54,1.6,1.85,2.09,1.65,1.43,1.46,1.35,1.45,1.43,1.4,1.04,1.19,1.25,1.15,1.1,1.29,1.2,1.04,1.15,1.02,1.22,1.16,1.18,1.25,1.31,1.1,1.09,1.2,1.23,1.41,1.5,1.42,1.46,1.31,1.58,1.64,1.82,1.76,1.7,1.86,1.77,1.68,1.57,1.23,1.23,1.28,1.53,1.31,1.27,1.11,1.02,1.36,1.4
"40 - 44",2.26,2.32,2.35,2.27,2.6,2.54,2.24,1.95,1.8,1.98,2.08,2.2,1.95,2.04,2.25,2.4,2.14,2.34,1.97,2.04,1.92,2.1,2.14,2.24,2.33,1.93,2.05,2.01,1.87,1.99,2.01,1.87,1.92,1.88,1.83,1.97,2.02,1.73,2.02,1.76,2.01,2.14,2.1,1.83,1.64,2.08,2.03,2.15,2.15,1.99,2.03,1.76,1.73,1.61,1.54,1.58,2.01,1.91,1.72,1.88,2.01,1.72,1.67,1.77,1.78,1.62,1.6,1.91,1.71,1.57,1.47,1.23,1.23,1.44,1.64,1.65,1.6,1.28,1.7,1.64,1.63
"45 - 49",2.71,2.37,2.66,2.44,2.9,2.89,2.77,2.98,2.84,2.62,3,2.81,2.93,2.74,2.96,2.82,2.63,2.6,2.23,2.43,2.63,2.55,2.72,3.09,3.44,3.66,3.55,3.61,3.95,4.12,3.96,3.73,3.35,3.47,3.65,3.62,3.25,3.72,3.07,3.27,3.01,3.17,3.04,3.11,2.84,2.81,2.86,2.76,2.84,3.4,3.07,2.96,2.71,2.94,3.04,2.9,2.84,3.07,3.01,2.8,2.65,2.71,2.67,3.1,3.24,2.95,2.5,2.71,3.1,2.83,2.78,3.08,2.77,2.94,2.77,3.02,2.93,2.73,2.66,2.71,2.69
"50 - 54",6.28,6.02,5.49,5.37,4.73,5.01,5.01,4.58,5.16,4.72,5.08,5.44,5.8,5.37,5.56,5.22,5.58,6.4,6.3,6.11,6.28,5.99,6.02,5.92,5.97,5.92,5.88,6.09,6.03,5.97,5.61,5.81,6.13,6.11,6.36,5.72,5.72,5.39,6,6.03,6.14,6.17,6.24,6.44,6.92,6.44,6.3,5.98,5.68,6.07,6.23,6.1,6.03,5.92,5.85,5.64,5.67,5.44,5.44,5.36,5.35,5.25,5.04,5.26,5.28,5.23,5.09,4.94,5.03,4.77,4.56,4.83,4.9,5.49,5.32,5.53,5.3,5.45,5.05,5.43,5.55
"55 - 59",6.22,6.54,6.27,6.53,6.62,6.73,6.83,7.39,7.07,7.4,8.33,8.19,7.69,7.35,7.51,7.25,7.54,7.22,7.15,6.9,7.44,8.15,8.22,8.1,7.98,8.44,8.41,8.23,8.81,8.74,8.71,8.32,8.2,7.22,7.1,7.36,7.35,6.91,7.11,6.6,6.95,6.87,6.24,5.69,6,6.6,6.66,6.89,7.05,7.04,7.55,7.67,7.75,7.3,6.98,7.01,6.66,6.77,6.59,6.6,6.26,6.47,7.01,6.47,6.57,6.04,6.79,6.96,6.26,5.92,6.23,5.86,5.81,5.77,5.94,6.1,5.96,6.51,7.03,6.9,7.46
