"Leeftijd","Aanwezig","Datum","Type"
"<20",25,"2020-11-03","Klinisch"
"20 - 24",13,"2020-11-03","Klinisch"
"25 - 29",14,"2020-11-03","Klinisch"
"30 - 34",16,"2020-11-03","Klinisch"
"35 - 39",25,"2020-11-03","Klinisch"
"40 - 44",45,"2020-11-03","Klinisch"
"45 - 49",54,"2020-11-03","Klinisch"
"50 - 54",125,"2020-11-03","Klinisch"
"55 - 59",124,"2020-11-03","Klinisch"
"60 - 64",176,"2020-11-03","Klinisch"
"65 - 69",214,"2020-11-03","Klinisch"
"70 - 74",280,"2020-11-03","Klinisch"
"75 - 79",316,"2020-11-03","Klinisch"
"80 - 84",308,"2020-11-03","Klinisch"
"85 - 89",182,"2020-11-03","Klinisch"
">90",75,"2020-11-03","Klinisch"
"<20",35,"2020-11-04","Klinisch"
"20 - 24",10,"2020-11-04","Klinisch"
"25 - 29",10,"2020-11-04","Klinisch"
"30 - 34",21,"2020-11-04","Klinisch"
"35 - 39",23,"2020-11-04","Klinisch"
"40 - 44",45,"2020-11-04","Klinisch"
"45 - 49",46,"2020-11-04","Klinisch"
"50 - 54",117,"2020-11-04","Klinisch"
"55 - 59",127,"2020-11-04","Klinisch"
"60 - 64",174,"2020-11-04","Klinisch"
"65 - 69",213,"2020-11-04","Klinisch"
"70 - 74",269,"2020-11-04","Klinisch"
"75 - 79",298,"2020-11-04","Klinisch"
"80 - 84",298,"2020-11-04","Klinisch"
"85 - 89",185,"2020-11-04","Klinisch"
">90",71,"2020-11-04","Klinisch"
"<20",35,"2020-11-05","Klinisch"
"20 - 24",8,"2020-11-05","Klinisch"
"25 - 29",9,"2020-11-05","Klinisch"
"30 - 34",19,"2020-11-05","Klinisch"
"35 - 39",20,"2020-11-05","Klinisch"
"40 - 44",45,"2020-11-05","Klinisch"
"45 - 49",51,"2020-11-05","Klinisch"
"50 - 54",105,"2020-11-05","Klinisch"
"55 - 59",120,"2020-11-05","Klinisch"
"60 - 64",172,"2020-11-05","Klinisch"
"65 - 69",200,"2020-11-05","Klinisch"
"70 - 74",270,"2020-11-05","Klinisch"
"75 - 79",300,"2020-11-05","Klinisch"
"80 - 84",296,"2020-11-05","Klinisch"
