"Datum","<20","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 - 89",">90","Totaal"
"2020-11-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-11-04",0,0,0,0,1,0,0,0,1,2,1,4,5,6,12,4,36
"2020-11-05",0,0,0,0,0,0,0,0,0,1,2,2,4,9,3,4,25
"2020-11-06",0,0,0,0,0,0,0,0,0,0,0,1,1,12,12,1,27
"2020-11-07",0,0,0,0,0,0,0,0,1,0,0,5,3,7,9,2,27
"2020-11-08",0,0,0,0,0,0,0,0,0,0,2,4,5,10,4,0,25
"2020-11-09",0,0,0,0,0,0,0,0,0,1,1,5,8,11,13,3,42
"2020-11-10",0,0,0,0,1,0,0,0,0,1,2,0,8,11,4,2,29
"2020-11-11",0,0,0,0,0,0,0,0,0,0,2,2,3,13,7,2,29
"2020-11-12",0,0,0,0,0,0,0,1,0,1,1,0,8,6,9,4,30
"2020-11-13",0,0,0,0,0,0,0,0,0,0,2,4,8,8,9,2,33
"2020-11-14",0,0,0,0,0,0,0,0,0,0,2,1,4,3,2,1,13
"2020-11-15",0,0,0,0,0,0,0,0,0,0,3,2,3,9,3,4,24
"2020-11-16",0,0,0,0,0,0,0,0,0,2,0,2,7,7,3,2,23
"2020-11-17",0,0,0,0,0,0,0,1,1,1,3,5,3,8,5,2,29
"2020-11-18",0,0,0,0,0,0,0,0,0,1,1,0,2,5,3,1,13
"2020-11-19",1,0,0,0,0,0,0,0,1,2,1,3,2,5,5,4,24
"2020-11-20",0,0,0,0,0,0,0,0,0,0,0,3,3,6,4,0,16
"2020-11-21",0,0,0,0,0,0,0,0,0,0,1,1,2,7,4,2,17
"2020-11-22",0,0,0,0,0,0,0,0,0,0,1,2,4,8,3,2,20
"2020-11-23",0,0,0,0,0,0,0,0,0,1,1,3,5,7,0,3,20
"2020-11-24",0,0,0,0,0,0,1,0,0,0,0,1,7,5,8,0,22
"2020-11-25",0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,2,8
"2020-11-26",0,0,0,0,0,0,0,0,1,0,0,2,7,5,4,0,19
"2020-11-27",0,0,0,0,0,0,0,0,0,1,0,3,3,10,8,0,25
"2020-11-28",0,0,0,0,0,0,0,0,0,3,0,1,0,4,6,2,16
"2020-11-29",0,0,0,0,0,0,0,0,0,0,1,2,3,5,3,3,17
"2020-11-30",0,0,0,0,0,0,0,1,0,1,0,2,3,4,6,1,18
"2020-12-01",0,0,0,0,0,0,1,0,0,0,1,4,8,3,9,2,28
"2020-12-02",0,0,0,0,0,0,0,0,0,1,0,2,4,1,4,3,15
"2020-12-03",0,0,0,0,0,0,0,0,0,0,3,3,7,7,3,1,24
"2020-12-04",0,0,0,0,0,0,0,0,1,1,0,3,7,6,7,1,26
"2020-12-05",0,0,0,0,0,0,0,0,1,0,0,3,2,5,3,1,15
"2020-12-06",0,0,0,0,0,0,0,0,0,0,1,0,5,2,3,2,13
"2020-12-07",0,0,0,0,1,1,0,0,0,1,3,4,6,9,4,0,29
"2020-12-08",0,0,0,0,0,0,0,1,0,0,1,7,2,5,8,1,25
"2020-12-09",0,0,0,0,0,0,0,0,0,1,0,4,4,5,2,1,17
"2020-12-10",0,0,1,0,0,0,0,0,1,2,3,1,4,4,0,3,19
"2020-12-11",0,0,0,0,0,0,0,0,1,1,2,0,5,4,8,2,23
"2020-12-12",0,0,0,0,0,0,0,0,0,0,2,2,8,11,5,8,36
"2020-12-13",0,0,0,0,0,0,0,0,1,0,2,2,3,5,3,1,17
"2020-12-14",0,0,0,0,0,0,0,1,0,1,2,0,7,5,11,4,31
"2020-12-15",0,0,0,0,0,0,0,0,1,0,4,7,10,1,6,4,33
"2020-12-16",0,0,0,0,0,0,0,0,0,1,5,1,3,8,7,0,25
"2020-12-17",0,0,0,0,0,0,0,0,0,0,1,7,3,3,6,1,21
"2020-12-18",0,0,0,0,0,0,0,0,0,1,2,6,4,4,7,2,26
"2020-12-19",0,0,0,0,0,0,0,0,0,0,1,0,3,7,2,0,13
"2020-12-20",0,0,0,0,0,0,0,1,3,1,3,1,6,5,4,4,28
"2020-12-21",0,0,1,0,0,0,0,0,1,1,4,8,9,9,8,5,46
"2020-12-22",0,0,0,0,0,0,0,0,1,0,1,4,5,15,8,6,40
"2020-12-23",0,0,0,0,0,0,1,0,0,0,0,6,9,5,4,2,27
"2020-12-24",0,0,0,0,1,0,0,2,0,1,3,4,6,9,5,2,33
"2020-12-25",0,0,0,0,0,0,0,1,0,1,3,2,3,9,5,0,24
"2020-12-26",0,0,0,0,0,0,0,0,1,1,1,3,11,5,8,3,33
"2020-12-27",0,0,0,0,0,0,0,0,0,1,2,1,7,12,5,1,29
"2020-12-28",0,0,0,0,0,0,1,1,0,0,4,7,11,15,19,10,68
"2020-12-29",0,0,0,0,0,0,1,1,0,2,4,5,7,7,4,2,33
"2020-12-30",0,0,0,0,0,0,0,0,0,3,1,3,10,5,6,5,33
"2020-12-31",0,0,0,0,0,0,0,0,0,2,4,11,15,10,12,4,58
"2021-01-01",0,0,0,0,0,0,0,0,0,0,0,1,3,4,7,4,19
"2021-01-02",0,0,0,0,0,0,0,1,2,1,3,3,7,7,2,0,26
"2021-01-03",0,0,0,0,0,0,0,0,1,1,4,2,6,6,8,5,33
"2021-01-04",0,0,0,0,0,0,0,1,0,0,2,8,10,10,13,2,46
"2021-01-05",0,0,0,0,0,0,0,0,0,3,2,8,10,16,11,6,56
"2021-01-06",1,0,0,0,0,1,0,0,0,0,0,8,12,7,6,3,38
"2021-01-07",0,0,0,0,0,0,0,0,0,0,1,6,5,20,10,2,44
"2021-01-08",0,0,0,1,0,0,0,0,0,2,1,6,7,10,10,2,39
"2021-01-09",0,0,0,0,0,0,0,0,0,0,5,4,6,5,6,3,29
"2021-01-10",0,0,0,0,0,0,0,0,1,1,3,3,5,9,8,2,32
"2021-01-11",0,0,0,-1,0,0,0,1,1,3,3,3,9,13,9,3,44
"2021-01-12",0,0,0,0,0,0,0,0,1,0,3,5,10,13,5,6,43
"2021-01-13",0,0,0,0,0,0,0,0,0,0,4,7,3,10,15,5,44
"2021-01-14",0,0,0,0,0,0,0,1,0,1,1,2,5,6,3,4,23
"2021-01-15",0,0,0,0,0,1,0,0,1,1,1,8,14,13,5,2,46
"2021-01-16",0,0,0,0,0,0,0,0,0,1,2,2,8,5,3,2,23
"2021-01-17",0,0,0,0,0,0,0,0,1,2,1,2,10,15,13,3,47
"2021-01-18",0,0,0,0,0,1,0,0,0,1,3,1,4,12,5,4,31
"2021-01-19",0,0,0,0,0,2,0,0,0,0,0,7,8,9,4,4,34
"2021-01-20",0,0,0,0,0,0,0,0,0,0,2,5,11,17,2,7,44
"2021-01-21",0,0,0,0,0,0,0,0,0,0,1,4,4,9,9,5,32
"2021-01-22",0,0,0,0,0,0,0,1,0,1,4,3,5,7,8,3,32
"2021-01-23",0,0,0,0,0,0,0,0,0,1,1,4,0,7,5,2,20
"2021-01-24",0,0,0,0,0,0,0,0,2,0,3,5,8,4,9,3,34
"2021-01-25",0,0,0,0,0,0,0,0,0,1,1,2,7,7,1,4,23
"2021-01-26",0,0,0,0,0,0,0,0,0,1,2,8,8,9,11,5,44
"2021-01-27",0,0,0,0,0,0,0,0,0,1,3,1,5,10,3,1,24
"2021-01-28",0,0,0,0,0,0,0,0,0,1,4,5,7,14,5,1,37
"2021-01-29",0,0,0,0,0,0,0,0,0,0,2,3,1,5,6,3,20
"2021-01-30",0,0,0,0,0,0,0,0,0,1,2,3,3,3,0,1,13
"2021-01-31",0,0,0,0,0,0,0,1,0,2,2,1,3,6,6,1,22
"2021-02-01",0,0,0,0,0,0,1,0,1,1,2,4,11,5,9,1,35
"2021-02-03",0,0,-1,0,-1,-1,0,-2,2,1,6,1,7,11,9,12,44
"2021-02-04",0,0,0,0,0,0,0,0,0,2,1,3,4,8,6,4,28
"2021-02-05",0,0,0,0,0,0,0,1,0,1,2,5,8,13,8,1,39
"2021-02-06",0,0,0,0,0,0,0,0,1,1,1,6,4,4,1,4,22
"2021-02-07",0,0,0,0,0,0,0,0,1,1,0,1,3,1,6,2,15
"2021-02-08",0,0,0,0,0,0,0,1,1,1,1,6,5,10,6,2,33
"2021-02-09",0,0,0,0,0,0,0,1,0,1,3,8,12,7,9,1,42
"2021-02-10",0,0,0,1,0,0,0,0,1,0,-1,2,8,4,5,2,22
"2021-02-11",0,0,0,0,0,0,0,0,0,2,2,5,6,7,7,5,34
"2021-02-12",0,0,0,0,0,0,0,1,1,0,0,2,2,5,6,5,22
"2021-02-13",0,0,0,0,0,0,0,0,1,0,1,2,2,2,6,1,15
"2021-02-14",0,0,0,0,0,0,0,0,0,1,2,5,3,5,2,4,22
"2021-02-15",0,0,0,0,0,0,0,1,0,0,3,6,8,9,5,5,37
"2021-02-16",0,0,0,0,0,0,0,0,0,1,2,2,8,8,3,4,28
"2021-02-17",0,0,0,0,0,0,0,1,0,0,2,3,6,9,4,4,29
"2021-02-18",0,0,0,0,0,0,0,0,0,2,0,2,4,6,4,1,19
"2021-02-19",0,0,0,0,0,0,0,0,1,2,2,4,5,3,4,1,22
"2021-02-20",0,0,0,0,0,0,0,0,0,0,1,3,5,5,10,1,25
"2021-02-21",0,0,0,0,0,0,0,0,1,1,2,1,7,1,6,2,21
