"","date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"1",2020-02-27,2,2,1,0,7,4,7,40,0,0,0,4,1,2,0
"2",2020-02-28,3,0,0,1,8,5,8,43,0,0,0,3,1,2,1
"3",2020-02-29,1,0,0,0,9,4,9,43,0,0,0,1,0,2,1
"4",2020-03-01,6,1,2,0,11,5,11,50,0,0,1,7,2,3,1
"5",2020-03-02,9,1,0,0,10,5,11,60,0,0,1,10,0,4,1
"6",2020-03-03,6,0,1,0,12,6,13,65,0,0,1,6,1,4,1
"7",2020-03-04,8,2,3,0,15,8,16,74,0,2,1,10,3,6,1
"8",2020-03-05,10,0,1,1,15,8,18,82,0,2,1,10,2,6,2
"9",2020-03-06,13,1,4,0,19,11,22,95,0,2,2,14,4,7,2
"10",2020-03-07,6,3,3,0,21,12,25,104,0,3,1,9,3,10,2
"11",2020-03-08,14,5,6,0,27,16,31,121,2,3,1,19,6,15,2
"12",2020-03-09,19,5,5,1,31,18,38,142,2,3,2,24,6,20,3
"13",2020-03-10,22,5,9,0,37,19,47,163,2,3,2,27,9,25,3
"14",2020-03-11,39,4,8,0,46,21,57,200,4,3,2,43,8,29,3
"15",2020-03-12,51,4,23,0,67,28,80,247,5,3,2,55,23,33,3
"16",2020-03-13,62,4,13,0,78,31,94,305,5,4,2,66,13,37,3
"17",2020-03-14,51,3,17,0,94,39,112,344,6,6,5,54,17,40,3
"18",2020-03-15,60,8,27,0,118,47,140,388,10,6,8,68,27,48,3
"19",2020-03-16,124,19,32,0,146,53,173,507,15,7,9,143,32,67,3
"20",2020-03-17,125,13,34,0,175,56,209,590,17,7,12,138,34,80,3
"21",2020-03-18,154,16,50,0,224,60,263,712,22,10,13,170,50,96,3
"22",2020-03-19,210,26,57,1,281,68,327,888,29,10,15,236,58,122,4
"23",2020-03-20,199,25,82,0,356,70,414,1034,34,12,21,224,82,147,4
"24",2020-03-21,179,12,72,3,424,70,495,1110,47,14,28,191,75,159,7
"25",2020-03-22,212,17,71,1,477,70,569,1205,52,17,30,229,72,176,8
"26",2020-03-23,387,27,98,1,568,72,669,1498,69,19,42,414,99,203,9
"27",2020-03-24,387,24,107,0,648,73,781,1726,76,23,47,411,107,227,9
"28",2020-03-25,416,24,114,1,747,74,900,1933,88,27,57,440,115,251,10
"29",2020-03-26,415,34,104,1,832,74,1012,2139,110,37,59,449,105,285,11
"30",2020-03-27,521,34,112,1,919,74,1130,2379,124,43,74,555,113,319,12
"31",2020-03-28,282,25,99,2,986,74,1235,2314,141,47,90,307,101,344,14
"32",2020-03-29,233,20,88,1,1036,74,1328,2277,167,58,101,253,89,364,15
"33",2020-03-30,390,27,127,3,1125,74,1461,2421,186,67,120,417,130,391,18
"34",2020-03-31,287,39,107,0,1188,74,1571,2387,218,83,128,326,107,430,18
"35",2020-04-01,272,43,71,1,1205,75,1645,2287,238,101,137,315,72,473,19
"36",2020-04-02,309,42,88,2,1250,75,1743,2287,261,115,150,351,90,515,21
"37",2020-04-03,289,54,76,0,1278,75,1822,2283,294,137,158,343,76,569,21
"38",2020-04-04,173,23,62,2,1280,74,1887,2101,313,150,176,196,64,592,23
"39",2020-04-05,201,20,72,1,1301,75,1963,2063,335,160,196,221,73,612,24
"40",2020-04-06,285,59,60,0,1309,75,2025,2173,353,181,211,344,60,671,24
"41",2020-04-07,188,52,55,0,1311,75,2083,2050,386,202,242,240,55,723,24
"42",2020-04-08,187,32,56,0,1283,76,2143,1925,402,226,256,219,56,755,24
"43",2020-04-09,166,35,50,0,1279,75,2194,1757,413,254,261,201,50,790,24
"44",2020-04-10,191,38,48,0,1284,75,2243,1683,442,280,268,229,48,828,24
"45",2020-04-11,127,23,26,2,1250,75,2272,1505,457,299,288,150,28,851,26
"46",2020-04-12,119,36,34,1,1232,75,2307,1451,470,316,314,155,35,887,27
"47",2020-04-13,144,37,44,0,1219,76,2353,1455,492,331,341,181,44,924,27
"48",2020-04-14,143,37,33,2,1191,76,2389,1474,501,379,337,180,35,961,29
"49",2020-04-15,105,20,22,1,1166,76,2413,1392,519,430,336,125,23,981,30
"50",2020-04-16,101,24,28,0,1134,76,2442,1284,537,478,323,125,28,1005,30
"51",2020-04-17,131,26,25,0,1104,76,2468,1245,556,522,326,157,25,1031,30
"52",2020-04-18,72,18,18,0,1057,76,2486,1110,570,544,343,90,18,1049,30
"53",2020-04-19,76,15,18,0,1026,76,2505,1086,586,550,365,91,18,1064,30
"54",2020-04-20,98,30,25,1,1007,76,2532,1133,604,605,351,128,26,1094,31
"55",2020-04-21,103,34,20,0,972,76,2554,1104,625,655,351,137,20,1128,31
"56",2020-04-22,80,26,14,0,916,77,2569,1028,642,698,345,106,14,1154,31
"57",2020-04-23,86,44,16,0,876,77,2585,993,656,743,324,130,16,1198,31
"58",2020-04-24,75,31,17,1,859,76,2604,948,668,802,294,106,18,1229,32
"59",2020-04-25,36,26,13,0,829,76,2618,819,678,819,299,62,13,1255,32
"60",2020-04-26,35,28,13,0,806,76,2631,789,691,826,317,63,13,1283,32
"61",2020-04-27,55,25,14,1,783,76,2646,785,703,836,333,80,15,1308,33
"62",2020-04-28,83,33,14,1,761,76,2661,813,707,883,321,116,15,1341,34
"63",2020-04-29,54,26,11,0,733,76,2673,754,713,919,321,80,11,1367,34
"64",2020-04-30,55,27,18,0,708,76,2691,730,724,958,312,82,18,1394,34
"65",2020-05-01,49,16,9,0,673,76,2700,679,727,997,315,65,9,1410,34
"66",2020-05-02,26,15,9,0,633,76,2709,594,737,1012,315,41,9,1425,34
"67",2020-05-03,35,11,10,0,620,76,2720,579,742,1019,327,46,10,1436,34
"68",2020-05-04,56,23,11,1,610,76,2732,626,748,1058,324,79,12,1459,35
"69",2020-05-05,28,9,3,0,569,76,2735,546,754,1070,339,37,3,1468,35
"70",2020-05-06,50,21,5,0,542,73,2741,563,759,1106,331,71,5,1489,35
"71",2020-05-07,44,16,8,1,521,72,2751,538,767,1142,327,60,9,1505,36
"72",2020-05-08,52,24,7,0,489,72,2758,532,771,1176,316,76,7,1529,36
"73",2020-05-09,29,7,5,0,467,72,2763,477,777,1185,324,36,5,1536,36
"74",2020-05-10,22,19,4,1,450,72,2768,466,779,1188,333,41,5,1555,37
"75",2020-05-11,40,25,7,1,444,73,2776,496,786,1225,332,65,8,1580,38
"76",2020-05-12,23,29,2,1,403,71,2779,472,789,1266,310,52,3,1609,39
"77",2020-05-13,34,27,3,1,384,71,2783,449,793,1298,306,61,4,1636,40
"78",2020-05-14,22,22,8,2,361,71,2793,426,796,1326,294,44,10,1658,42
"79",2020-05-15,31,26,3,0,344,71,2797,412,802,1361,273,57,3,1684,42
"80",2020-05-16,16,6,7,1,329,70,2806,363,803,1371,273,22,8,1690,43
"81",2020-05-17,28,12,4,0,323,70,2811,378,803,1375,278,40,4,1702,43
"82",2020-05-18,36,22,4,0,317,70,2815,419,804,1407,281,58,4,1724,43
"83",2020-05-19,14,12,1,1,284,67,2817,392,806,1436,265,26,2,1736,44
"84",2020-05-20,28,17,2,0,273,66,2820,385,811,1464,253,45,2,1753,44
"85",2020-05-21,13,8,2,0,252,66,2822,347,815,1470,259,21,2,1761,44
"86",2020-05-22,27,19,4,0,241,66,2827,371,818,1503,242,46,4,1780,44
"87",2020-05-23,12,7,3,0,224,63,2830,331,819,1506,245,19,3,1787,44
"88",2020-05-24,18,13,7,0,223,63,2837,329,821,1506,255,31,7,1800,44
"89",2020-05-25,31,22,1,0,213,62,2838,360,822,1528,259,53,1,1822,44
"90",2020-05-26,24,15,4,0,190,62,2842,358,824,1546,253,39,4,1837,44
"91",2020-05-27,18,14,3,1,175,58,2846,333,825,1570,238,32,4,1851,45
"92",2020-05-28,14,12,1,0,167,57,2847,308,827,1599,220,26,1,1863,45
"93",2020-05-29,23,13,1,2,157,56,2850,309,830,1618,209,36,3,1876,47
"94",2020-05-30,20,5,2,0,147,54,2852,290,830,1624,205,25,2,1881,47
"95",2020-05-31,7,7,3,0,148,54,2855,281,830,1624,212,14,3,1888,47
"96",2020-06-01,12,7,4,0,145,53,2859,287,832,1624,215,19,4,1895,47
"97",2020-06-02,17,16,1,0,141,53,2860,306,832,1649,207,33,1,1911,47
"98",2020-06-03,16,9,4,1,129,50,2865,299,837,1669,192,25,5,1920,48
"99",2020-06-04,13,18,5,0,125,52,2870,293,839,1686,177,31,5,1938,48
"100",2020-06-05,9,10,3,0,123,51,2873,277,839,1696,169,19,3,1948,48
"101",2020-06-06,3,6,2,1,123,51,2876,242,841,1698,170,9,3,1954,49
"102",2020-06-07,2,9,3,0,122,50,2879,240,841,1700,171,11,3,1963,49
"103",2020-06-08,8,8,0,1,121,49,2881,244,841,1716,163,16,1,1971,50
"104",2020-06-09,9,9,2,0,113,48,2883,225,841,1727,156,18,2,1980,50
"105",2020-06-10,5,6,3,0,111,48,2886,207,842,1740,147,11,3,1986,50
"106",2020-06-11,14,12,1,0,107,48,2887,212,843,1751,142,26,1,1998,50
"107",2020-06-12,5,4,3,0,104,47,2890,202,844,1759,137,9,3,2002,50
"108",2020-06-13,4,5,2,0,102,45,2892,181,845,1759,137,9,2,2007,50
"109",2020-06-14,2,5,0,0,101,44,2892,178,847,1760,137,7,0,2012,50
"110",2020-06-15,5,4,1,0,99,44,2893,182,848,1778,129,9,1,2016,50
"111",2020-06-16,7,7,2,0,91,44,2895,182,850,1783,128,14,2,2023,50
"112",2020-06-17,4,10,0,0,84,42,2895,174,851,1789,128,14,0,2033,50
"113",2020-06-18,2,14,1,0,77,41,2896,180,852,1796,128,16,1,2047,50
"114",2020-06-19,3,10,0,0,71,38,2897,179,853,1806,120,13,0,2057,50
"115",2020-06-20,4,5,2,0,69,38,2899,162,854,1806,123,9,2,2062,50
"116",2020-06-21,4,10,0,0,65,36,2899,166,855,1806,123,14,0,2072,50
"117",2020-06-22,5,8,3,1,68,38,2903,172,856,1811,125,13,4,2080,51
"118",2020-06-23,5,9,1,0,61,35,2904,168,857,1817,124,14,1,2089,51
"119",2020-06-24,3,12,1,1,57,34,2906,167,858,1824,120,15,2,2101,52
"120",2020-06-25,6,8,1,0,54,33,2907,169,858,1830,119,14,1,2109,52
"121",2020-06-26,3,5,0,0,49,31,2907,169,859,1834,119,8,0,2114,52
"122",2020-06-27,0,2,0,0,45,29,2907,147,860,1834,122,2,0,2116,52
"123",2020-06-28,3,9,0,0,41,28,2907,153,860,1834,122,12,0,2125,52
"124",2020-06-29,6,6,0,0,41,28,2907,163,860,1840,119,12,0,2131,52
"125",2020-06-30,2,4,2,0,40,27,2909,150,860,1846,116,6,2,2135,52
"126",2020-07-01,3,3,0,0,36,25,2909,142,860,1848,115,6,0,2138,52
"127",2020-07-02,4,3,1,1,37,26,2911,137,861,1852,113,7,2,2141,53
"128",2020-07-03,4,7,0,0,34,25,2911,140,861,1859,106,11,0,2148,53
"129",2020-07-04,0,2,1,0,35,25,2912,132,861,1859,107,2,1,2150,53
"130",2020-07-05,1,5,0,0,34,24,2912,134,861,1860,107,6,0,2155,53
"131",2020-07-06,1,7,0,0,33,23,2912,143,862,1864,105,8,0,2162,53
"132",2020-07-07,3,6,1,0,31,22,2913,147,863,1867,104,9,1,2168,53
"133",2020-07-08,3,7,2,0,28,22,2915,149,863,1870,102,10,2,2175,53
"134",2020-07-09,3,7,1,1,29,21,2917,148,863,1873,99,10,2,2182,54
"135",2020-07-10,5,7,1,0,30,21,2918,155,863,1873,100,12,1,2189,54
"136",2020-07-11,2,1,0,0,28,19,2918,139,863,1873,100,3,0,2190,54
"137",2020-07-12,2,3,1,0,29,19,2919,140,864,1875,99,5,1,2193,54
"138",2020-07-13,4,5,0,0,28,20,2919,150,865,1876,100,9,0,2198,54
"139",2020-07-14,4,6,0,3,28,20,2922,151,866,1877,100,10,3,2204,57
"140",2020-07-15,1,5,1,0,27,19,2923,143,866,1881,98,6,1,2209,57
"141",2020-07-16,2,9,1,0,26,19,2924,145,866,1883,96,11,1,2218,57
"142",2020-07-17,4,6,0,0,28,18,2924,146,866,1883,96,10,0,2224,57
"143",2020-07-18,4,7,0,0,28,18,2924,146,866,1883,96,11,0,2231,57
"144",2020-07-19,4,4,1,0,30,18,2925,153,866,1883,97,8,1,2235,57
"145",2020-07-20,3,7,0,0,29,18,2925,163,866,1887,94,10,0,2242,57
"146",2020-07-21,7,6,2,1,31,18,2928,165,866,1889,95,13,3,2248,58
"147",2020-07-22,2,6,1,0,29,18,2929,159,867,1891,94,8,1,2254,58
"148",2020-07-23,7,10,1,0,28,18,2930,171,867,1893,94,17,1,2264,58
"149",2020-07-24,8,6,0,1,27,17,2931,169,867,1896,94,14,1,2270,59
"150",2020-07-25,7,4,1,0,25,16,2932,167,867,1896,96,11,1,2274,59
"151",2020-07-26,3,7,2,0,26,15,2935,172,867,1896,96,10,2,2281,59
"152",2020-07-27,4,14,4,0,30,18,2939,187,867,1897,96,18,4,2295,59
"153",2020-07-28,6,13,0,0,29,18,2939,196,867,1898,96,19,0,2308,59
"154",2020-07-29,4,22,0,1,29,17,2940,211,868,1899,96,26,1,2330,60
"155",2020-07-30,1,13,2,0,29,17,2942,215,868,1900,96,14,2,2343,60
