"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"2020-02-27",2,2,1,0,7,4,7,40,0,0,0,4,1,2,0
"2020-02-28",3,0,0,2,9,5,9,43,0,0,0,3,2,2,2
"2020-02-29",1,0,0,0,10,4,10,43,0,0,0,1,0,2,2
"2020-03-01",6,1,2,0,12,5,12,50,0,0,1,7,2,3,2
"2020-03-02",9,1,0,0,11,5,12,60,0,0,1,10,0,4,2
"2020-03-03",6,0,1,0,13,6,14,65,0,0,1,6,1,4,2
"2020-03-04",8,2,3,0,16,8,17,74,0,2,1,10,3,6,2
"2020-03-05",10,0,1,1,16,8,19,82,0,2,1,10,2,6,3
"2020-03-06",13,1,4,0,20,11,23,95,0,2,2,14,4,7,3
"2020-03-07",6,3,3,0,22,12,26,104,0,3,1,9,3,10,3
"2020-03-08",13,5,6,0,28,16,32,120,2,3,1,18,6,15,3
"2020-03-09",19,5,5,1,32,18,39,141,2,3,2,24,6,20,4
"2020-03-10",22,5,9,0,38,19,48,162,2,3,2,27,9,25,4
"2020-03-11",39,4,8,0,47,21,58,199,4,3,2,43,8,29,4
"2020-03-12",51,4,23,0,68,28,81,246,5,3,2,55,23,33,4
"2020-03-13",62,4,13,0,79,31,95,304,5,4,2,66,13,37,4
"2020-03-14",51,3,17,0,95,39,113,343,6,6,5,54,17,40,4
"2020-03-15",60,8,27,0,119,47,141,387,10,6,8,68,27,48,4
"2020-03-16",124,19,32,0,147,53,174,506,15,7,9,143,32,67,4
"2020-03-17",125,13,34,0,176,56,210,589,17,7,12,138,34,80,4
"2020-03-18",154,16,50,0,225,60,264,711,22,10,13,170,50,96,4
"2020-03-19",210,26,57,1,282,68,328,887,29,10,15,236,58,122,5
"2020-03-20",199,25,82,0,357,70,415,1033,34,12,21,224,82,147,5
"2020-03-21",179,12,72,3,425,70,496,1109,47,14,28,191,75,159,8
"2020-03-22",212,17,71,1,478,70,570,1204,52,17,30,229,72,176,9
"2020-03-23",387,27,98,1,569,72,670,1497,69,19,42,414,99,203,10
"2020-03-24",387,24,107,0,649,73,782,1725,76,23,47,411,107,227,10
"2020-03-25",416,24,114,1,748,74,901,1932,88,27,57,440,115,251,11
"2020-03-26",415,34,104,1,833,74,1013,2138,110,37,59,449,105,285,12
"2020-03-27",521,34,112,1,920,74,1131,2378,124,43,74,555,113,319,13
"2020-03-28",282,25,99,2,987,74,1236,2313,141,47,90,307,101,344,15
