"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"2020-02-27",2,2,1,0,7,5,7,44,0,0,0,46,4,1,2,0
"2020-02-28",3,0,0,1,8,6,8,47,0,0,0,49,3,1,2,1
"2020-02-29",1,0,0,0,9,5,9,47,0,0,0,50,1,0,2,1
"2020-03-01",7,1,2,0,11,6,11,55,0,0,1,58,8,2,3,1
"2020-03-02",10,4,0,0,10,5,11,69,0,0,1,72,14,0,7,1
"2020-03-03",8,2,1,0,12,6,13,78,0,0,1,82,10,1,9,1
"2020-03-04",10,3,3,0,15,8,16,90,0,2,1,95,13,3,12,1
"2020-03-05",12,1,1,1,15,9,18,100,0,2,1,107,13,2,13,2
"2020-03-06",18,1,4,0,19,12,22,115,0,2,2,123,19,4,14,2
"2020-03-07",7,3,3,1,22,14,26,124,0,3,1,132,10,4,17,3
"2020-03-08",17,5,6,0,28,18,32,141,2,3,1,152,22,6,22,3
"2020-03-09",26,5,5,2,33,20,40,165,2,3,2,181,31,7,27,5
"2020-03-10",28,4,9,1,40,21,50,188,2,3,2,210,32,10,31,6
"2020-03-11",43,7,9,0,49,23,60,226,4,3,2,255,50,9,38,6
"2020-03-12",55,5,23,0,69,29,83,272,5,3,3,309,60,23,43,6
"2020-03-13",73,7,13,0,79,31,97,340,5,4,3,386,80,13,50,6
"2020-03-14",62,6,17,0,95,39,115,385,5,7,6,447,68,17,56,6
"2020-03-15",70,11,27,1,119,47,144,437,7,7,7,522,81,28,67,7
"2020-03-16",139,20,32,0,149,53,177,567,13,8,7,675,159,32,87,7
"2020-03-17",142,21,34,0,177,56,213,661,15,8,10,824,163,34,108,7
"2020-03-18",172,20,50,1,227,60,268,786,18,12,11,1002,192,51,128,8
"2020-03-19",249,33,57,2,284,68,333,995,26,12,13,1271,282,59,161,10
"2020-03-20",236,29,82,2,360,70,421,1168,32,14,18,1519,265,84,190,12
"2020-03-21",198,16,72,4,428,70,504,1248,44,17,25,1706,214,76,206,16
"2020-03-22",236,21,71,1,478,70,577,1354,49,20,26,1937,257,72,227,17
"2020-03-23",441,26,98,3,572,72,680,1670,66,23,39,2367,467,101,253,20
"2020-03-24",419,33,107,1,651,73,792,1927,74,26,44,2784,452,108,286,21
"2020-03-25",432,30,114,2,751,74,911,2141,88,30,52,3203,462,116,316,23
"2020-03-26",433,41,104,4,837,74,1025,2338,106,40,54,3634,474,108,357,27
"2020-03-27",556,41,113,3,928,74,1147,2603,121,46,70,4178,597,116,398,30
"2020-03-28",293,31,99,2,994,74,1252,2539,140,50,87,4458,324,101,429,32
"2020-03-29",252,23,87,3,1040,74,1345,2489,165,61,99,4690,275,90,452,35
"2020-03-30",436,31,127,3,1128,74,1478,2637,184,70,118,5094,467,130,483,38
"2020-03-31",307,44,107,1,1192,74,1589,2565,218,88,126,5391,351,108,527,39
"2020-04-01",310,52,71,3,1208,75,1662,2479,243,106,135,5710,362,74,579,42
"2020-04-02",350,45,88,3,1251,75,1760,2460,265,121,147,6050,395,91,624,45
"2020-04-03",330,61,76,0,1278,75,1839,2464,297,143,155,6401,391,76,685,45
"2020-04-04",185,29,62,3,1281,74,1905,2252,316,156,173,6575,214,65,714,48
"2020-04-05",224,27,72,3,1305,76,1983,2202,339,165,194,6778,251,75,741,51
"2020-04-06",321,58,60,1,1313,75,2046,2323,357,190,206,7117,379,61,799,52
"2020-04-07",204,57,55,2,1315,76,2106,2185,387,213,238,7342,261,57,856,54
"2020-04-08",206,35,55,0,1282,76,2165,2043,404,238,249,7549,241,55,891,54
"2020-04-09",187,42,50,1,1279,76,2217,1867,416,266,254,7742,229,51,933,55
"2020-04-10",203,42,48,1,1286,75,2268,1778,444,295,261,7955,245,49,975,56
"2020-04-11",132,24,26,2,1251,75,2297,1590,459,315,282,8090,156,28,999,58
"2020-04-12",135,38,34,1,1232,75,2332,1533,474,333,310,8246,173,35,1037,59
"2020-04-13",166,39,43,1,1216,76,2377,1530,495,348,336,8418,205,44,1076,60
"2020-04-14",163,43,34,2,1192,76,2414,1555,505,399,330,8599,206,36,1119,62
"2020-04-15",117,23,23,1,1167,76,2439,1470,522,455,326,8721,140,24,1142,63
"2020-04-16",114,28,28,3,1135,76,2470,1355,540,505,311,8842,142,31,1170,66
"2020-04-17",137,33,25,1,1105,77,2496,1313,558,552,311,8988,170,26,1203,67
"2020-04-18",78,19,19,0,1059,76,2515,1168,569,576,326,9066,97,19,1222,67
"2020-04-19",82,20,19,1,1029,76,2535,1143,588,582,349,9150,102,20,1242,68
"2020-04-20",109,30,25,1,1009,76,2562,1182,607,638,333,9262,139,26,1272,69
"2020-04-21",116,33,20,0,972,76,2584,1138,628,689,332,9385,149,20,1305,69
"2020-04-22",89,26,14,0,916,77,2599,1049,644,735,327,9487,115,14,1331,69
"2020-04-23",95,41,16,1,875,77,2616,1007,657,781,306,9607,136,17,1372,70
"2020-04-24",78,34,17,1,858,76,2635,955,667,844,274,9702,112,18,1406,71
"2020-04-25",44,28,13,0,827,76,2649,822,681,861,279,9766,72,13,1434,71
"2020-04-26",43,29,13,0,803,76,2662,795,691,870,294,9827,72,13,1463,71
"2020-04-27",60,21,14,0,780,76,2676,782,702,879,311,9896,81,14,1484,71
"2020-04-28",90,36,14,1,759,76,2692,802,708,929,296,10002,126,15,1520,72
"2020-04-29",58,24,11,0,731,76,2704,742,714,965,297,10067,82,11,1544,72
"2020-04-30",62,28,17,2,707,76,2723,717,727,1008,282,10146,90,19,1572,74
"2020-05-01",51,15,9,0,672,76,2732,661,729,1050,283,10199,66,9,1587,74
"2020-05-02",27,15,9,2,634,76,2743,572,738,1065,283,10236,42,11,1602,76
"2020-05-03",36,14,10,0,620,76,2754,554,743,1072,297,10277,50,10,1616,76
"2020-05-04",58,28,11,2,611,76,2766,601,749,1115,291,10350,86,13,1644,78
"2020-05-05",28,11,3,0,569,76,2769,531,754,1129,305,10385,39,3,1655,78
"2020-05-06",60,17,5,0,542,73,2775,544,760,1167,296,10450,77,5,1672,78
"2020-05-07",46,16,8,1,519,72,2785,515,768,1206,290,10501,62,9,1688,79
"2020-05-08",53,28,7,1,488,72,2793,512,772,1242,277,10576,81,8,1716,80
"2020-05-09",29,9,5,0,466,72,2798,459,777,1251,285,10609,38,5,1725,80
"2020-05-10",26,19,4,1,448,72,2803,448,778,1254,294,10648,45,5,1744,81
"2020-05-11",44,28,7,1,442,73,2811,484,785,1292,292,10714,72,8,1772,82
"2020-05-12",25,32,2,0,400,71,2813,458,788,1335,269,10767,57,2,1804,82
"2020-05-13",37,30,3,1,382,71,2817,440,793,1370,267,10828,67,4,1834,83
"2020-05-14",24,22,8,1,356,71,2826,407,797,1397,254,10865,46,9,1856,84
"2020-05-15",31,27,3,1,340,71,2831,392,804,1430,235,10917,58,4,1883,85
"2020-05-16",18,8,7,3,326,70,2841,345,806,1439,236,10938,26,10,1891,88
"2020-05-17",31,14,4,0,319,70,2846,359,807,1443,241,10975,45,4,1905,88
"2020-05-18",37,26,4,0,312,70,2850,403,807,1476,243,11032,63,4,1931,88
"2020-05-19",17,16,1,1,279,67,2852,379,809,1508,223,11063,33,2,1947,89
"2020-05-20",31,19,2,0,269,66,2855,366,814,1539,208,11107,50,2,1966,89
"2020-05-21",14,9,2,0,248,66,2857,322,818,1545,214,11125,23,2,1975,89
"2020-05-22",32,24,4,0,237,66,2862,355,821,1577,199,11175,56,4,1999,89
