"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2020-02-27,2,2,1,0,10,7,10,54,0,0,0,56,4,1,2,0,1
2020-02-28,3,0,0,1,11,8,11,57,0,0,0,59,3,1,2,1,1
2020-02-29,1,0,0,0,12,7,12,57,0,0,0,60,1,0,2,1,1
2020-03-01,7,1,2,0,14,8,14,65,0,0,1,68,8,2,3,1,3
2020-03-02,10,1,0,0,13,7,14,76,0,0,1,79,11,0,4,1,3
2020-03-03,8,0,1,0,15,7,16,83,0,0,1,87,8,1,4,1,4
2020-03-04,10,3,3,0,18,9,19,95,0,2,1,100,13,3,7,1,7
2020-03-05,12,1,1,1,18,11,21,105,0,2,1,112,13,2,8,2,8
2020-03-06,18,1,4,0,22,14,25,120,0,2,2,128,19,4,9,2,12
2020-03-07,7,3,3,0,24,15,28,129,0,3,1,137,10,3,12,2,15
2020-03-08,17,5,6,0,30,19,34,147,2,3,1,157,22,6,17,2,21
2020-03-09,27,5,5,2,35,21,42,172,2,3,1,187,32,7,22,4,26
2020-03-10,28,4,9,1,43,23,52,195,2,3,2,216,32,10,26,5,35
2020-03-11,43,6,9,0,51,24,62,232,4,3,2,260,49,9,32,5,44
2020-03-12,55,4,23,0,71,30,85,277,5,3,2,313,59,23,36,5,67
2020-03-13,73,6,13,0,82,33,99,344,5,4,2,389,79,13,42,5,80
2020-03-14,62,3,19,0,100,42,119,385,5,7,5,446,65,19,45,5,99
2020-03-15,69,8,26,1,123,49,147,433,7,7,6,517,77,27,53,6,125
2020-03-16,140,19,33,0,154,55,181,564,12,8,6,670,159,33,72,6,158
2020-03-17,144,13,35,0,184,59,218,650,14,8,9,811,157,35,85,6,193
2020-03-18,171,15,51,0,234,63,273,772,17,12,10,983,186,51,100,6,244
2020-03-19,250,25,58,2,292,70,339,974,25,12,12,1245,275,60,125,8,302
2020-03-20,238,27,82,1,367,71,426,1150,30,14,17,1493,265,83,152,9,384
2020-03-21,199,13,72,3,436,71,508,1233,42,16,26,1679,212,75,165,12,456
2020-03-22,236,19,72,1,486,71,582,1339,48,19,27,1907,255,73,184,13,528
2020-03-23,444,24,98,3,579,71,685,1658,65,22,39,2337,468,101,208,16,626
2020-03-24,420,25,108,1,660,73,799,1909,75,26,44,2746,445,109,233,17,734
2020-03-25,433,23,114,2,758,74,918,2124,88,31,52,3159,456,116,256,19,848
2020-03-26,434,34,103,4,843,74,1031,2320,106,41,55,3584,468,107,290,23,951
2020-03-27,557,36,113,1,930,74,1151,2584,121,47,72,4123,593,114,326,24,1064
