"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,31,1488,146
2,159,3134,383
3,110,3790,549
4,110,4022,589
5,133,3574,655
6,65,3078,578
7,47,2450,501
8,67,2160,408
9,51,1693,360
10,38,1368,319
11,28,1108,234
12,48,964,201
13,29,753,187
14,21,629,134
15,26,580,115
16,27,451,91
17,20,369,101
18,16,344,68
19,18,290,69
20,15,236,54
21,7,182,48
22,13,188,46
23,10,195,31
24,6,159,34
25,14,110,28
26,8,91,25
27,4,104,16
28,8,111,23
29,7,76,17
30,8,81,15
31,6,57,15
32,6,60,7
33,7,56,11
34,8,54,9
35,5,47,12
36,7,43,11
37,3,39,4
38,4,31,5
39,6,24,5
40,4,33,5
41,1,21,3
42,3,30,2
43,3,28,4
44,4,25,3
45,0,26,7
46,2,23,2
47,4,22,6
48,3,13,3
49,3,21,2
50,0,13,3
51,3,15,0
52,2,9,0
53,1,12,3
54,4,20,1
55,0,10,1
56,4,7,1
57,1,5,0
58,2,8,0
59,4,6,1
60,2,6,1
