"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,1,0,195,160
2,2,0,549,237
3,2,0,438,163
4,6,1,452,138
5,2,1,426,129
6,1,0,458,97
7,1,1,473,97
8,0,3,465,122
9,0,0,459,117
10,1,1,404,100
11,0,0,354,101
12,3,1,297,121
13,0,2,298,104
14,2,0,246,103
15,2,2,229,108
16,1,0,189,110
17,1,1,171,94
18,0,2,146,96
19,1,3,123,114
20,0,1,99,102
21,0,1,104,101
22,0,0,96,79
23,1,2,90,75
24,3,1,84,65
25,0,0,89,74
26,1,2,81,59
27,1,0,77,72
28,2,2,79,47
29,1,0,76,49
30,2,1,79,48
31,2,2,71,45
32,1,0,72,34
33,2,0,71,37
34,3,1,59,30
35,1,0,63,30
36,1,0,56,30
37,1,0,55,30
38,0,2,53,27
39,1,0,53,16
40,2,1,48,8
41,1,2,52,25
42,0,1,57,15
43,1,2,63,12
44,0,0,54,21
45,0,0,38,13
46,0,0,26,11
47,1,1,51,11
48,1,4,33,6
49,1,2,35,10
50,3,3,31,6
51,1,0,35,7
52,1,0,28,7
53,2,1,25,8
54,1,1,26,7
55,0,0,21,7
56,3,1,28,4
57,1,4,26,6
58,3,0,16,2
59,1,1,15,4
60,0,1,12,3
