Version,Date_of_report,Date_of_publication,Security_region_name,Security_region_code,Source_and_contact_tracing_phase,Total_reported,Reports_with_settings,Setting_reported,Number_settings_reported
2,2021-07-01T10:00:00Z,2020-12-14,Groningen,VR01,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Fryslân,VR02,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Drenthe,VR03,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,IJsselland,VR04,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Twente,VR05,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Noord- en Oost-Gelderland,VR06,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Gelderland-Midden,VR07,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Gelderland-Zuid,VR08,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Utrecht,VR09,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Noord-Holland-Noord,VR10,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Zaanstreek-Waterland,VR11,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Kennemerland,VR12,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,home,142
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,visit,41
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,work,40
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,school_daycare,41
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,general_practitioner,1
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,hospital,3
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,health_care_other,2
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,nursing_home,21
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,residential_care_disabled,2
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,residential_care_other,1
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,gathering,1
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,travel,1
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,leisure,15
2,2021-07-01T10:00:00Z,2020-12-14,Amsterdam-Amstelland,VR13,high,420,277,other,2
2,2021-07-01T10:00:00Z,2020-12-14,Gooi en Vechtstreek,VR14,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Haaglanden,VR15,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Hollands-Midden,VR16,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Rotterdam-Rijnmond,VR17,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Zuid-Holland-Zuid,VR18,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Zeeland,VR19,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Midden- en West-Brabant,VR20,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Brabant-Noord,VR21,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Brabant-Zuidoost,VR22,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Limburg-Noord,VR23,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Limburg-Zuid,VR24,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-14,Flevoland,VR25,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Groningen,VR01,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Fryslân,VR02,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Drenthe,VR03,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,IJsselland,VR04,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Twente,VR05,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Noord- en Oost-Gelderland,VR06,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Gelderland-Midden,VR07,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Gelderland-Zuid,VR08,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Utrecht,VR09,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Noord-Holland-Noord,VR10,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Zaanstreek-Waterland,VR11,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Kennemerland,VR12,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,home,71
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,visit,41
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,work,40
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,school_daycare,31
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,general_practitioner,3
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,hospital,2
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,health_care_other,1
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,nursing_home,10
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,residential_care_disabled,1
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,residential_care_other,1
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,daycare_elderly_disabled,1
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,travel,1
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,hospitality,2
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,leisure,8
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,funeral,1
2,2021-07-01T10:00:00Z,2020-12-15,Amsterdam-Amstelland,VR13,high,288,191,other,3
2,2021-07-01T10:00:00Z,2020-12-15,Gooi en Vechtstreek,VR14,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Haaglanden,VR15,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Hollands-Midden,VR16,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Rotterdam-Rijnmond,VR17,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Zuid-Holland-Zuid,VR18,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Zeeland,VR19,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Midden- en West-Brabant,VR20,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Brabant-Noord,VR21,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Brabant-Zuidoost,VR22,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Limburg-Noord,VR23,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Limburg-Zuid,VR24,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-15,Flevoland,VR25,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-16,Groningen,VR01,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-16,Fryslân,VR02,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-16,Drenthe,VR03,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-16,IJsselland,VR04,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-16,Twente,VR05,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-16,Noord- en Oost-Gelderland,VR06,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-16,Gelderland-Midden,VR07,medium,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-16,Gelderland-Zuid,VR08,low,-9999,-9999,-9999,-9999
2,2021-07-01T10:00:00Z,2020-12-16,Utrecht,VR09,medium,-9999,-9999,-9999,-9999
