"date","cases","hospitalization","deaths"
"2020-02-27",1,NA,0
"2020-02-28",2,NA,0
"2020-02-29",7,NA,0
"2020-03-01",10,NA,0
"2020-03-02",18,NA,0
"2020-03-03",24,NA,0
"2020-03-04",38,NA,0
"2020-03-05",82,NA,0
"2020-03-06",128,NA,1
"2020-03-07",188,NA,1
"2020-03-08",265,NA,3
"2020-03-09",321,NA,3
"2020-03-10",382,NA,4
"2020-03-11",503,NA,5
"2020-03-12",613,86,5
"2020-03-13",804,115,10
"2020-03-14",959,136,12
"2020-03-15",1135,162,20
"2020-03-16",1413,205,24
"2020-03-17",1703,314,43
"2020-03-18",2051,408,58
"2020-03-19",2460,489,76
"2020-03-20",2994,634,106
"2020-03-21",3631,836,136
"2020-03-22",4204,988,179
"2020-03-23",4749,1230,213
"2020-03-24",5560,1495,276
"2020-03-25",6412,1836,356
"2020-03-26",7431,2151,434
"2020-03-27",8603,2500,546
"2020-03-28",9762,2954,639
"2020-03-29",10866,3483,771
"2020-03-30",11750,3990,864
"2020-03-31",12595,4712,1039
"2020-04-01",13614,5159,1173
"2020-04-02",14697,5784,1339
"2020-04-03",15723,6286,1487
"2020-04-04",16627,6622,1651
"2020-04-05",17851,6875,1766
"2020-04-06",18803,7135,1867
"2020-04-07",19580,7427,2101
"2020-04-08",20549,7735,2248
"2020-04-09",21762,7972,2396
"2020-04-10",23097,8197,2511
"2020-04-11",24413,8386,2643
"2020-04-12",25587,8582,2737
"2020-04-13",26551,8729,2823
"2020-04-14",27419,8939,2945
"2020-04-15",28153,9127,3134
"2020-04-16",29214,9309,3315
"2020-04-17",30449,9465,3459
"2020-04-18",31589,9594,3601
"2020-04-19",32655,9704,3684
"2020-04-20",33405,9779,3751
"2020-04-21",34134,9897,3916
"2020-04-22",34842,10021,4054
"2020-04-23",35729,10158,4177
"2020-04-24",36535,10281,4289
"2020-04-25",37190,10381,4409
"2020-04-26",37845,10456,4475
"2020-04-27",38245,10521,4518
"2020-04-28",38416,10609,4566
"2020-04-29",38802,10685,4711
"2020-04-30",39316,10769,4795
"2020-05-01",39791,10854,4893
"2020-05-02",40236,10951,4987
"2020-05-03",40571,10995,5056
"2020-05-04",40770,11037,5082
"2020-05-05",41087,11126,5168
"2020-05-06",41319,11153,5204
"2020-05-07",41774,11192,5288
"2020-05-08",42093,11227,5359
"2020-05-09",42382,11285,5422
"2020-05-10",42627,11307,5440
"2020-05-11",42788,11343,5456
"2020-05-12",42984,11378,5510
"2020-05-13",43211,11430,5562
"2020-05-14",43481,11457,5590
"2020-05-15",43681,11492,5643
"2020-05-16",43870,11537,5670
"2020-05-17",43995,11552,5680
"2020-05-18",44141,11579,5694
"2020-05-19",44249,11613,5715
"2020-05-20",44447,11627,5748
"2020-05-21",44700,11640,5775
"2020-05-22",44888,11649,5788
"2020-05-23",45064,11659,5811
"2020-05-24",45236,11672,5822
"2020-05-25",45445,11680,5830
"2020-05-26",45578,11690,5856
"2020-05-27",45768,11697,5871
"2020-05-28",45950,11713,5903
"2020-05-29",46126,11722,5931
"2020-05-30",46257,11727,5951
"2020-05-31",46442,11735,5956
"2020-06-01",46545,11744,5962
"2020-06-02",46647,11750,5967
"2020-06-03",46733,11759,5977
"2020-06-04",46942,11771,5990
"2020-06-05",47152,11782,6005
"2020-06-06",47335,11785,6011
"2020-06-07",47574,11789,6013
"2020-06-08",47739,11794,6016
"2020-06-09",47903,11800,6031
"2020-06-10",48087,11805,6042
"2020-06-11",48251,11808,6044
"2020-06-12",48461,11813,6053
"2020-06-13",48640,11822,6057
"2020-06-14",48783,11828,6059
"2020-06-15",48948,11831,6065
"2020-06-16",49087,11834,6070
"2020-06-17",49204,11836,6074
"2020-06-18",49319,11835,6078
"2020-06-19",49426,11846,6081
"2020-06-20",49502,11846,6089
"2020-06-21",49593,11849,6090
"2020-06-22",49658,11851,6090
"2020-06-23",49722,11853,6095
"2020-06-24",49804,11859,6097
"2020-06-25",49914,11863,6100
"2020-06-26",50005,11868,6103
"2020-06-27",50074,11868,6105
"2020-06-28",50147,11871,6105
"2020-06-29",50223,11874,6107
"2020-06-30",50273,11877,6113
