"Date_of_report","Date_of_publication","Municipality_code","Municipality_name","Province","Security_region_code","Security_region_name","Municipal_health_service","ROAZ_region","Total_reported","Hospital_admission","Deceased"
"2020-12-21 10:00:00","2020-02-27","GM0003","Appingedam","Groningen","VR01","Groningen","GGD Groningen","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0010","Delfzijl","Groningen","VR01","Groningen","GGD Groningen","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0014","Groningen","Groningen","VR01","Groningen","GGD Groningen","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0024","Loppersum","Groningen","VR01","Groningen","GGD Groningen","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0034","Almere","Flevoland","VR25","Flevoland","GGD Flevoland","SpoedZorgNet",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0037","Stadskanaal","Groningen","VR01","Groningen","GGD Groningen","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0047","Veendam","Groningen","VR01","Groningen","GGD Groningen","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0050","Zeewolde","Flevoland","VR25","Flevoland","GGD Flevoland","SpoedZorgNet",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0059","Achtkarspelen","Friesland","VR02","Fryslân","GGD Fryslân","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0060","Ameland","Friesland","VR02","Fryslân","GGD Fryslân","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0072","Harlingen","Friesland","VR02","Fryslân","GGD Fryslân","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0074","Heerenveen","Friesland","VR02","Fryslân","GGD Fryslân","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0080","Leeuwarden","Friesland","VR02","Fryslân","GGD Fryslân","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0085","Ooststellingwerf","Friesland","VR02","Fryslân","GGD Fryslân","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0086","Opsterland","Friesland","VR02","Fryslân","GGD Fryslân","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0088","Schiermonnikoog","Friesland","VR02","Fryslân","GGD Fryslân","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0090","Smallingerland","Friesland","VR02","Fryslân","GGD Fryslân","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0093","Terschelling","Friesland","VR02","Fryslân","GGD Fryslân","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0096","Vlieland","Friesland","VR02","Fryslân","GGD Fryslân","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0098","Weststellingwerf","Friesland","VR02","Fryslân","GGD Fryslân","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0106","Assen","Drenthe","VR03","Drenthe","GGD Drenthe","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0109","Coevorden","Drenthe","VR03","Drenthe","GGD Drenthe","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0114","Emmen","Drenthe","VR03","Drenthe","GGD Drenthe","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0118","Hoogeveen","Drenthe","VR03","Drenthe","GGD Drenthe","Acute Zorgnetwerk Noord Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0119","Meppel","Drenthe","VR03","Drenthe","GGD Drenthe","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0141","Almelo","Overijssel","VR05","Twente","GGD Regio Twente","Acute Zorg Euregio",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0147","Borne","Overijssel","VR05","Twente","GGD Regio Twente","Acute Zorg Euregio",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0148","Dalfsen","Overijssel","VR04","IJsselland","GGD IJsselland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0150","Deventer","Overijssel","VR04","IJsselland","GGD IJsselland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0153","Enschede","Overijssel","VR05","Twente","GGD Regio Twente","Acute Zorg Euregio",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0158","Haaksbergen","Overijssel","VR05","Twente","GGD Regio Twente","Acute Zorg Euregio",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0160","Hardenberg","Overijssel","VR04","IJsselland","GGD IJsselland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0163","Hellendoorn","Overijssel","VR05","Twente","GGD Regio Twente","Acute Zorg Euregio",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0164","Hengelo","Overijssel","VR05","Twente","GGD Regio Twente","Acute Zorg Euregio",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0166","Kampen","Overijssel","VR04","IJsselland","GGD IJsselland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0168","Losser","Overijssel","VR05","Twente","GGD Regio Twente","Acute Zorg Euregio",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0171","Noordoostpolder","Flevoland","VR25","Flevoland","GGD Flevoland","SpoedZorgNet",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0173","Oldenzaal","Overijssel","VR05","Twente","GGD Regio Twente","Acute Zorg Euregio",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0175","Ommen","Overijssel","VR04","IJsselland","GGD IJsselland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0177","Raalte","Overijssel","VR04","IJsselland","GGD IJsselland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0180","Staphorst","Overijssel","VR04","IJsselland","GGD IJsselland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0183","Tubbergen","Overijssel","VR05","Twente","GGD Regio Twente","Acute Zorg Euregio",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0184","Urk","Flevoland","VR25","Flevoland","GGD Flevoland","SpoedZorgNet",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0189","Wierden","Overijssel","VR05","Twente","GGD Regio Twente","Acute Zorg Euregio",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0193","Zwolle","Overijssel","VR04","IJsselland","GGD IJsselland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0197","Aalten","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Acute Zorg Euregio",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0200","Apeldoorn","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0202","Arnhem","Gelderland","VR07","Gelderland-Midden","Veiligheids- en Gezondheidsregio Gelderland-Midden","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0203","Barneveld","Gelderland","VR07","Gelderland-Midden","Veiligheids- en Gezondheidsregio Gelderland-Midden","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0209","Beuningen","Gelderland","VR08","Gelderland-Zuid","GGD Gelderland-Zuid","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0213","Brummen","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0214","Buren","Gelderland","VR08","Gelderland-Zuid","GGD Gelderland-Zuid","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0216","Culemborg","Gelderland","VR08","Gelderland-Zuid","GGD Gelderland-Zuid","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0221","Doesburg","Gelderland","VR07","Gelderland-Midden","Veiligheids- en Gezondheidsregio Gelderland-Midden","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0222","Doetinchem","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0225","Druten","Gelderland","VR08","Gelderland-Zuid","GGD Gelderland-Zuid","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0226","Duiven","Gelderland","VR07","Gelderland-Midden","Veiligheids- en Gezondheidsregio Gelderland-Midden","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0228","Ede","Gelderland","VR07","Gelderland-Midden","Veiligheids- en Gezondheidsregio Gelderland-Midden","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0230","Elburg","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0232","Epe","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0233","Ermelo","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0243","Harderwijk","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0244","Hattem","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0246","Heerde","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0252","Heumen","Gelderland","VR08","Gelderland-Zuid","GGD Gelderland-Zuid","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0262","Lochem","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0263","Maasdriel","Gelderland","VR08","Gelderland-Zuid","GGD Gelderland-Zuid","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0267","Nijkerk","Gelderland","VR07","Gelderland-Midden","Veiligheids- en Gezondheidsregio Gelderland-Midden","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0268","Nijmegen","Gelderland","VR08","Gelderland-Zuid","GGD Gelderland-Zuid","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0269","Oldebroek","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0273","Putten","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0274","Renkum","Gelderland","VR07","Gelderland-Midden","Veiligheids- en Gezondheidsregio Gelderland-Midden","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0275","Rheden","Gelderland","VR07","Gelderland-Midden","Veiligheids- en Gezondheidsregio Gelderland-Midden","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0277","Rozendaal","Gelderland","VR07","Gelderland-Midden","Veiligheids- en Gezondheidsregio Gelderland-Midden","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0279","Scherpenzeel","Gelderland","VR07","Gelderland-Midden","Veiligheids- en Gezondheidsregio Gelderland-Midden","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0281","Tiel","Gelderland","VR08","Gelderland-Zuid","GGD Gelderland-Zuid","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0285","Voorst","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0289","Wageningen","Gelderland","VR07","Gelderland-Midden","Veiligheids- en Gezondheidsregio Gelderland-Midden","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0293","Westervoort","Gelderland","VR07","Gelderland-Midden","Veiligheids- en Gezondheidsregio Gelderland-Midden","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0294","Winterswijk","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Acute Zorg Euregio",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0296","Wijchen","Gelderland","VR08","Gelderland-Zuid","GGD Gelderland-Zuid","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0297","Zaltbommel","Gelderland","VR08","Gelderland-Zuid","GGD Gelderland-Zuid","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0299","Zevenaar","Gelderland","VR07","Gelderland-Midden","Veiligheids- en Gezondheidsregio Gelderland-Midden","Acute Zorgregio Oost",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0301","Zutphen","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0302","Nunspeet","Gelderland","VR06","Noord- en Oost-Gelderland","GGD Noord- en Oost-Gelderland","Netwerk Acute Zorg regio Zwolle",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0303","Dronten","Flevoland","VR25","Flevoland","GGD Flevoland","SpoedZorgNet",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0307","Amersfoort","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0308","Baarn","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0310","De Bilt","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0312","Bunnik","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0313","Bunschoten","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0317","Eemnes","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0321","Houten","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0327","Leusden","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0331","Lopik","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0335","Montfoort","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0339","Renswoude","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0340","Rhenen","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0342","Soest","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0344","Utrecht","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0345","Veenendaal","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0351","Woudenberg","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0352","Wijk bij Duurstede","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0353","IJsselstein","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0355","Zeist","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0356","Nieuwegein","Utrecht","VR09","Utrecht","GGD Regio Utrecht","Traumazorgnetwerk Midden-Nederland",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0358","Aalsmeer","Noord-Holland","VR13","Amsterdam-Amstelland","GGD Amsterdam","Netwerk Acute Zorg Noordwest",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0361","Alkmaar","Noord-Holland","VR10","Noord-Holland-Noord","GGD Hollands-Noorden","Netwerk Acute Zorg Noordwest",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0362","Amstelveen","Noord-Holland","VR13","Amsterdam-Amstelland","GGD Amsterdam","Netwerk Acute Zorg Noordwest",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0363","Amsterdam","Noord-Holland","VR13","Amsterdam-Amstelland","GGD Amsterdam","Netwerk Acute Zorg Noordwest",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0363","Amsterdam","Noord-Holland","VR13","Amsterdam-Amstelland","GGD Amsterdam","SpoedZorgNet",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0370","Beemster","Noord-Holland","VR11","Zaanstreek-Waterland","GGD Zaanstreek/Waterland","Netwerk Acute Zorg Noordwest",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0373","Bergen (NH.)","Noord-Holland","VR10","Noord-Holland-Noord","GGD Hollands-Noorden","Netwerk Acute Zorg Noordwest",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0375","Beverwijk","Noord-Holland","VR12","Kennemerland","GGD Kennemerland","Netwerk Acute Zorg Noordwest",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0376","Blaricum","Noord-Holland","VR14","Gooi en Vechtstreek","GGD Gooi en Vechtstreek","SpoedZorgNet",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0377","Bloemendaal","Noord-Holland","VR12","Kennemerland","GGD Kennemerland","Netwerk Acute Zorg Noordwest",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0383","Castricum","Noord-Holland","VR10","Noord-Holland-Noord","GGD Hollands-Noorden","Netwerk Acute Zorg Noordwest",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0384","Diemen","Noord-Holland","VR13","Amsterdam-Amstelland","GGD Amsterdam","SpoedZorgNet",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0385","Edam-Volendam","Noord-Holland","VR11","Zaanstreek-Waterland","GGD Zaanstreek/Waterland","SpoedZorgNet",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0388","Enkhuizen","Noord-Holland","VR10","Noord-Holland-Noord","GGD Hollands-Noorden","SpoedZorgNet",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0392","Haarlem","Noord-Holland","VR12","Kennemerland","GGD Kennemerland","Netwerk Acute Zorg Noordwest",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0394","Haarlemmermeer","Noord-Holland","VR12","Kennemerland","GGD Kennemerland","Netwerk Acute Zorg Noordwest",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0396","Heemskerk","Noord-Holland","VR12","Kennemerland","GGD Kennemerland","Netwerk Acute Zorg Noordwest",0,0,0
"2020-12-21 10:00:00","2020-02-27","GM0397","Heemstede","Noord-Holland","VR12","Kennemerland","GGD Kennemerland","Netwerk Acute Zorg Noordwest",0,0,0
