"Date_of_report","Municipality_code","Municipality_name","Province","Total_reported","Hospital_admission","Deceased"
"2020-10-23 10:00:00","GM0003","Appingedam","Groningen",45,7,0
"2020-10-23 10:00:00","GM0010","Delfzijl","Groningen",114,7,0
"2020-10-23 10:00:00","GM0014","Groningen","Groningen",3078,31,4
"2020-10-23 10:00:00","GM0024","Loppersum","Groningen",32,0,0
"2020-10-23 10:00:00","GM0034","Almere","Flevoland",3029,163,39
"2020-10-23 10:00:00","GM0037","Stadskanaal","Groningen",192,5,2
"2020-10-23 10:00:00","GM0047","Veendam","Groningen",152,2,1
"2020-10-23 10:00:00","GM0050","Zeewolde","Flevoland",215,13,6
"2020-10-23 10:00:00","GM0059","Achtkarspelen","Friesland",157,0,0
"2020-10-23 10:00:00","GM0060","Ameland","Friesland",32,0,0
"2020-10-23 10:00:00","GM0072","Harlingen","Friesland",78,4,1
"2020-10-23 10:00:00","GM0074","Heerenveen","Friesland",347,16,22
"2020-10-23 10:00:00","GM0080","Leeuwarden","Friesland",1229,45,8
"2020-10-23 10:00:00","GM0085","Ooststellingwerf","Friesland",127,5,1
"2020-10-23 10:00:00","GM0086","Opsterland","Friesland",156,8,0
"2020-10-23 10:00:00","GM0088","Schiermonnikoog","Friesland",2,1,0
"2020-10-23 10:00:00","GM0090","Smallingerland","Friesland",319,12,7
"2020-10-23 10:00:00","GM0093","Terschelling","Friesland",54,1,0
"2020-10-23 10:00:00","GM0096","Vlieland","Friesland",15,0,0
"2020-10-23 10:00:00","GM0098","Weststellingwerf","Friesland",171,3,4
"2020-10-23 10:00:00","GM0106","Assen","Drenthe",506,14,3
"2020-10-23 10:00:00","GM0109","Coevorden","Drenthe",268,14,2
"2020-10-23 10:00:00","GM0114","Emmen","Drenthe",1223,46,20
"2020-10-23 10:00:00","GM0118","Hoogeveen","Drenthe",488,27,12
"2020-10-23 10:00:00","GM0119","Meppel","Drenthe",228,11,5
"2020-10-23 10:00:00","GM0141","Almelo","Overijssel",849,32,14
"2020-10-23 10:00:00","GM0147","Borne","Overijssel",287,15,6
"2020-10-23 10:00:00","GM0148","Dalfsen","Overijssel",361,17,7
"2020-10-23 10:00:00","GM0150","Deventer","Overijssel",1152,50,38
"2020-10-23 10:00:00","GM0153","Enschede","Overijssel",1896,68,33
"2020-10-23 10:00:00","GM0158","Haaksbergen","Overijssel",404,17,10
"2020-10-23 10:00:00","GM0160","Hardenberg","Overijssel",530,24,10
"2020-10-23 10:00:00","GM0163","Hellendoorn","Overijssel",358,13,13
"2020-10-23 10:00:00","GM0164","Hengelo","Overijssel",1132,38,24
"2020-10-23 10:00:00","GM0166","Kampen","Overijssel",612,60,37
"2020-10-23 10:00:00","GM0168","Losser","Overijssel",282,11,2
"2020-10-23 10:00:00","GM0171","Noordoostpolder","Flevoland",361,19,11
"2020-10-23 10:00:00","GM0173","Oldenzaal","Overijssel",511,16,14
"2020-10-23 10:00:00","GM0175","Ommen","Overijssel",155,9,4
"2020-10-23 10:00:00","GM0177","Raalte","Overijssel",453,25,23
"2020-10-23 10:00:00","GM0180","Staphorst","Overijssel",257,8,4
"2020-10-23 10:00:00","GM0183","Tubbergen","Overijssel",512,12,6
"2020-10-23 10:00:00","GM0184","Urk","Flevoland",126,23,4
"2020-10-23 10:00:00","GM0189","Wierden","Overijssel",372,7,6
"2020-10-23 10:00:00","GM0193","Zwolle","Overijssel",1216,54,50
"2020-10-23 10:00:00","GM0197","Aalten","Gelderland",315,13,7
"2020-10-23 10:00:00","GM0200","Apeldoorn","Gelderland",1539,112,54
"2020-10-23 10:00:00","GM0202","Arnhem","Gelderland",1916,83,34
"2020-10-23 10:00:00","GM0203","Barneveld","Gelderland",652,24,11
"2020-10-23 10:00:00","GM0209","Beuningen","Gelderland",315,20,6
"2020-10-23 10:00:00","GM0213","Brummen","Gelderland",151,19,6
"2020-10-23 10:00:00","GM0214","Buren","Gelderland",288,23,8
"2020-10-23 10:00:00","GM0216","Culemborg","Gelderland",462,25,9
"2020-10-23 10:00:00","GM0221","Doesburg","Gelderland",154,11,7
"2020-10-23 10:00:00","GM0222","Doetinchem","Gelderland",623,30,16
"2020-10-23 10:00:00","GM0225","Druten","Gelderland",254,28,9
"2020-10-23 10:00:00","GM0226","Duiven","Gelderland",292,16,6
"2020-10-23 10:00:00","GM0228","Ede","Gelderland",1537,71,27
"2020-10-23 10:00:00","GM0230","Elburg","Gelderland",267,28,8
"2020-10-23 10:00:00","GM0232","Epe","Gelderland",340,52,23
"2020-10-23 10:00:00","GM0233","Ermelo","Gelderland",313,33,23
"2020-10-23 10:00:00","GM0243","Harderwijk","Gelderland",603,47,21
"2020-10-23 10:00:00","GM0244","Hattem","Gelderland",122,18,5
"2020-10-23 10:00:00","GM0246","Heerde","Gelderland",292,55,28
"2020-10-23 10:00:00","GM0252","Heumen","Gelderland",317,19,13
"2020-10-23 10:00:00","GM0262","Lochem","Gelderland",352,16,15
"2020-10-23 10:00:00","GM0263","Maasdriel","Gelderland",295,17,8
"2020-10-23 10:00:00","GM0267","Nijkerk","Gelderland",623,26,4
"2020-10-23 10:00:00","GM0268","Nijmegen","Gelderland",3124,170,78
"2020-10-23 10:00:00","GM0269","Oldebroek","Gelderland",262,40,19
"2020-10-23 10:00:00","GM0273","Putten","Gelderland",208,11,1
"2020-10-23 10:00:00","GM0274","Renkum","Gelderland",408,16,10
"2020-10-23 10:00:00","GM0275","Rheden","Gelderland",423,35,15
"2020-10-23 10:00:00","GM0277","Rozendaal","Gelderland",11,1,0
"2020-10-23 10:00:00","GM0279","Scherpenzeel","Gelderland",126,5,2
"2020-10-23 10:00:00","GM0281","Tiel","Gelderland",627,46,22
"2020-10-23 10:00:00","GM0285","Voorst","Gelderland",229,17,11
"2020-10-23 10:00:00","GM0289","Wageningen","Gelderland",536,22,19
"2020-10-23 10:00:00","GM0293","Westervoort","Gelderland",132,12,6
"2020-10-23 10:00:00","GM0294","Winterswijk","Gelderland",213,8,4
"2020-10-23 10:00:00","GM0296","Wijchen","Gelderland",554,50,15
"2020-10-23 10:00:00","GM0297","Zaltbommel","Gelderland",361,23,10
"2020-10-23 10:00:00","GM0299","Zevenaar","Gelderland",442,54,17
"2020-10-23 10:00:00","GM0301","Zutphen","Gelderland",386,33,13
"2020-10-23 10:00:00","GM0302","Nunspeet","Gelderland",385,61,21
"2020-10-23 10:00:00","GM0303","Dronten","Flevoland",312,39,14
"2020-10-23 10:00:00","GM0307","Amersfoort","Utrecht",2190,90,28
"2020-10-23 10:00:00","GM0308","Baarn","Utrecht",337,15,9
"2020-10-23 10:00:00","GM0310","De Bilt","Utrecht",775,31,24
"2020-10-23 10:00:00","GM0312","Bunnik","Utrecht",195,12,1
"2020-10-23 10:00:00","GM0313","Bunschoten","Utrecht",407,15,7
"2020-10-23 10:00:00","GM0317","Eemnes","Utrecht",105,2,1
"2020-10-23 10:00:00","GM0321","Houten","Utrecht",697,33,17
"2020-10-23 10:00:00","GM0327","Leusden","Utrecht",382,11,9
"2020-10-23 10:00:00","GM0331","Lopik","Utrecht",256,22,8
"2020-10-23 10:00:00","GM0335","Montfoort","Utrecht",202,15,7
"2020-10-23 10:00:00","GM0339","Renswoude","Utrecht",56,5,5
"2020-10-23 10:00:00","GM0340","Rhenen","Utrecht",274,12,6
"2020-10-23 10:00:00","GM0342","Soest","Utrecht",828,33,14
"2020-10-23 10:00:00","GM0344","Utrecht","Utrecht",8413,347,124
"2020-10-23 10:00:00","GM0345","Veenendaal","Utrecht",1150,53,16
"2020-10-23 10:00:00","GM0351","Woudenberg","Utrecht",164,9,2
"2020-10-23 10:00:00","GM0352","Wijk bij Duurstede","Utrecht",271,12,3
"2020-10-23 10:00:00","GM0353","IJsselstein","Utrecht",593,41,35
"2020-10-23 10:00:00","GM0355","Zeist","Utrecht",1057,42,27
"2020-10-23 10:00:00","GM0356","Nieuwegein","Utrecht",908,54,14
"2020-10-23 10:00:00","GM0358","Aalsmeer","Noord-Holland",500,11,6
"2020-10-23 10:00:00","GM0361","Alkmaar","Noord-Holland",1156,62,31
"2020-10-23 10:00:00","GM0362","Amstelveen","Noord-Holland",1852,74,44
"2020-10-23 10:00:00","GM0363","Amsterdam","Noord-Holland",25936,953,314
"2020-10-23 10:00:00","GM0370","Beemster","Noord-Holland",104,4,1
"2020-10-23 10:00:00","GM0373","Bergen (NH.)","Noord-Holland",465,22,10
"2020-10-23 10:00:00","GM0375","Beverwijk","Noord-Holland",576,20,13
"2020-10-23 10:00:00","GM0376","Blaricum","Noord-Holland",155,8,2
"2020-10-23 10:00:00","GM0377","Bloemendaal","Noord-Holland",325,9,6
"2020-10-23 10:00:00","GM0383","Castricum","Noord-Holland",342,18,10
"2020-10-23 10:00:00","GM0384","Diemen","Noord-Holland",875,23,14
"2020-10-23 10:00:00","GM0385","Edam-Volendam","Noord-Holland",786,36,4
"2020-10-23 10:00:00","GM0388","Enkhuizen","Noord-Holland",131,20,4
"2020-10-23 10:00:00","GM0392","Haarlem","Noord-Holland",2354,99,72
"2020-10-23 10:00:00","GM0394","Haarlemmermeer","Noord-Holland",2583,92,38
"2020-10-23 10:00:00","GM0396","Heemskerk","Noord-Holland",522,34,14
"2020-10-23 10:00:00","GM0397","Heemstede","Noord-Holland",377,15,35
"2020-10-23 10:00:00","GM0398","Heerhugowaard","Noord-Holland",573,29,9
"2020-10-23 10:00:00","GM0399","Heiloo","Noord-Holland",213,12,9
"2020-10-23 10:00:00","GM0400","Den Helder","Noord-Holland",303,15,2
"2020-10-23 10:00:00","GM0402","Hilversum","Noord-Holland",1285,38,26
"2020-10-23 10:00:00","GM0405","Hoorn","Noord-Holland",744,38,13
"2020-10-23 10:00:00","GM0406","Huizen","Noord-Holland",714,27,10
"2020-10-23 10:00:00","GM0415","Landsmeer","Noord-Holland",187,5,3
"2020-10-23 10:00:00","GM0416","Langedijk","Noord-Holland",312,21,7
"2020-10-23 10:00:00","GM0417","Laren","Noord-Holland",167,9,3
"2020-10-23 10:00:00","GM0420","Medemblik","Noord-Holland",358,19,6
"2020-10-23 10:00:00","GM0431","Oostzaan","Noord-Holland",216,12,2
"2020-10-23 10:00:00","GM0432","Opmeer","Noord-Holland",75,1,1
"2020-10-23 10:00:00","GM0437","Ouder-Amstel","Noord-Holland",340,7,0
"2020-10-23 10:00:00","GM0439","Purmerend","Noord-Holland",1100,80,38
