"Uitvoerder","Doelgroep","Startdatum","Eerste_dosis","Tweede_dosis","Totaal","doelgroep_begin","doelgroep_eind"
"GGD","90-plussers","26-01-2021",67714,64362,132076,90,100
"GGD","85-89-jarigen","29-01-2021",188164,180765,368929,85,89
"GGD","80-84-jarigen","05-02-2021",374558,360957,735515,80,84
"GGD","75-79-jarigen","06-03-2021",568142,544453,1112595,75,79
"GGD","70-74-jarigen","06-04-2021",851056,797956,1649012,70,74
"GGD","65-69-jarigen","19-04-2021",786971,712536,1449507,65,69
"GGD","60-64-jarigen","",105502,57643,163145,60,64
"GGD","55-59-jarigen","27-04-2021",984335,500423,1484758,55,59
"GGD","50-54-jarigen","20-05-2021",956235,191051,1147286,50,54
"GGD","<U+200B><U+200B>45-49-jarigen","26-05-2021",779706,130993,910699,45,49
"GGD","40-44-jarigen","29-05-2021",651841,94097,745938,40,44
"GGD","35-39-jarigen","01-06-2021",540885,75127,616012,35,39
"GGD","30-34-jarigen","07-06-2021",394175,67108,461283,30,34
"GGD","25-29-jarigen","11-06-2021",226531,63357,289888,25,29
"GGD","20-24-jarigen","15-06-2021",188431,69151,257582,20,24
"GGD","17-19-jarigen","18-06-2021",98513,32056,130569,17,19
"GGD","Leeftijd onbekend","",3072,426,433253,NA,NA
"Huisartsen","","15-02-2021",1228660,911296,2139956,NA,NA
"Overig","","06-01-2021",923700,531213,1454913,NA,NA
"Totaal","","",9918191,5384970,153429883,NA,NA
