"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1620691200,1609632000,1620810136,2021-05-12
195753,1609718400,1620691200,1610236800,1620810136,2021-05-12
342857,1610323200,1620691200,1610841600,1620810136,2021-05-12
538936,1610928000,1620691200,1611446400,1620810136,2021-05-12
630442,1611532800,1620691200,1612051200,1620810136,2021-05-12
839411,1612137600,1620691200,1612656000,1620810136,2021-05-12
1075348,1612742400,1620691200,1613260800,1620810136,2021-05-12
1321373,1613347200,1620691200,1613865600,1620810136,2021-05-12
1671922,1613952000,1620691200,1614470400,1620810136,2021-05-12
2086791,1614556800,1620691200,1615075200,1620810136,2021-05-12
2473693,1615161600,1620691200,1615680000,1620810136,2021-05-12
2777435,1615766400,1620691200,1616284800,1620810136,2021-05-12
3085523,1616371200,1620691200,1616889600,1620810136,2021-05-12
3424163,1616976000,1620691200,1617494400,1620810136,2021-05-12
4237685,1617580800,1620691200,1618099200,1620810136,2021-05-12
4745466,1618185600,1620691200,1618704000,1620810136,2021-05-12
5556425,1618790400,1620691200,1619308800,1620810136,2021-05-12
6150157,1619395200,1620691200,1619913600,1620810136,2021-05-12
7531128,1620000000,1620691200,1620518400,1620810136,2021-05-12
