"date","vaccines_administered_estimated_carehomes","vaccines_administered_ggd","vaccines_administered_hospital","vaccines_administered_estimated","vaccines_administered"
2021-01-24,16829,106886,40216,163931,163931
2021-01-25,16829,116593,40216,173638,173638
2021-01-26,16829,128311,40216,185356,185356
2021-01-27,16829,140205,46416,203450,203450
2021-01-28,16829,152253,46416,215498,215498
2021-01-29,16829,152253,57216,226298,226298
2021-01-30,89416,176286,81088,346790,176286
2021-01-31,95826,187339,60716,343881,248055
2021-02-01,98633,203559,73716,375908,277275
2021-02-02,112391,222486,81216,416093,303702
2021-02-03,124504,245278,85216,454998,330494
2021-02-04,139018,269801,86716,495535,356517
2021-02-05,149742,295159,87816,532717,382975
2021-02-06,154665,320982,93216,568863,414198
2021-02-07,156503,321042,93816,571361,414858
2021-02-08,161517,340601,93816,595934,434417
2021-02-09,165894,366436,93816,626146,460252
2021-02-10,170726,395742,93816,660284,489558
2021-02-11,176178,424894,93816,694888,518710
2021-02-12,176745,454614,93816,725175,548430
2021-02-13,176745,483804,93816,754365,577620
2021-02-14,176745,512392,94469,783606,606861
2021-02-15,177366,528988,94551,800905,623539
2021-02-16,180270,559635,94551,835929,654186
2021-02-17,184706,592755,94551,874959,687306
2021-02-18,189142,625081,94551,915713,719632
2021-02-19,194160,656348,94551,958445,750899
2021-02-20,194160,685338,94551,987435,779889
2021-02-21,194160,712193,94551,1014290,806744
