"date","vaccines_administered_estimated_carehomes","vaccines_administered_ggd","vaccines_administered_hospital","vaccines_administered_estimated","vaccines_administered_doctors","vaccines_administered"
2021-01-06,0,44,0,44,NA,44
2021-01-07,0,128,15000,15128,NA,15128
2021-01-08,0,1022,26000,27022,NA,27022
2021-01-09,0,2018,30000,32018,NA,32018
2021-01-10,0,2934,31000,33934,NA,33934
2021-01-11,0,4726,38000,42726,NA,42726
2021-01-12,0,6587,38500,45087,NA,45087
2021-01-13,0,8506,38500,47006,NA,47006
2021-01-14,0,10487,39000,49487,NA,49487
2021-01-15,0,19332,39000,58332,NA,58332
2021-01-16,0,28447,39000,67447,NA,67447
2021-01-17,0,37591,40216,77807,NA,77807
2021-01-18,1037,47673,40216,88926,NA,88926
2021-01-19,1037,57579,40216,98832,NA,98832
2021-01-20,8476,67579,40216,116271,NA,116271
2021-01-21,13436,77597,40216,131249,NA,131249
2021-01-22,13436,87591,40216,141243,NA,141243
2021-01-23,15000,97279,40216,152495,NA,152495
2021-01-24,16829,107100,40216,164145,NA,147316
2021-01-25,21357,116593,40216,178166,NA,156809
2021-01-26,30045,128311,40216,198572,NA,168527
2021-01-27,43836,140205,46416,230457,NA,186621
2021-01-28,61238,152253,46416,259907,NA,198669
2021-01-29,77244,152253,57216,286713,NA,209469
2021-01-30,89089,176286,57216,322591,NA,233502
2021-01-31,95833,187339,60716,343888,NA,248055
2021-02-01,98633,203559,73716,375908,NA,277275
2021-02-02,112391,222486,81216,416093,NA,303702
2021-02-03,124504,245278,85216,454998,NA,330494
2021-02-04,139018,269801,86716,495535,NA,356517
2021-02-05,149742,295159,87816,532717,NA,382975
2021-02-06,154665,320982,93216,568863,NA,414198
2021-02-07,156503,321042,93816,571361,NA,414858
2021-02-08,161517,340601,93816,595934,NA,434417
2021-02-09,165894,366436,93816,626146,NA,460252
2021-02-10,170726,395742,93816,660284,NA,489558
2021-02-11,176178,424894,93816,694888,NA,518710
2021-02-12,176745,454614,93816,725175,NA,548430
2021-02-13,176745,483804,93816,754365,NA,577620
2021-02-14,176745,512392,94469,783606,NA,606861
2021-02-15,177366,528988,94551,800905,NA,623539
2021-02-16,180270,559635,94551,835929,1473,654186
2021-02-17,184706,592755,94551,874959,2947,687306
2021-02-18,189142,625081,94551,915713,6939,719632
2021-02-19,194160,656348,94551,958445,13386,750899
2021-02-20,194160,685338,94551,987435,13386,779889
2021-02-21,194160,712193,94551,1014290,13386,806744
2021-02-22,207483,741003,94551,1062871,19834,835554
2021-02-23,223290,768413,94551,1112536,26282,862964
2021-02-24,241430,794070,97551,1169302,36251,891621
2021-02-25,270803,818242,97551,1236192,49596,915793
2021-02-26,288228,837044,97551,1285742,62919,934595
2021-02-27,303170,855368,97551,1319008,62919,952919
2021-02-28,304902,871214,97551,1336670,63003,968765
2021-03-01,311216,892838,97551,1381128,79523,990389
2021-03-02,323345,913875,97551,1429342,94571,1011426
2021-03-03,338111,934371,97551,1479652,109619,1031922
2021-03-04,361767,954564,100051,1538499,122117,1054615
2021-03-05,375994,974599,100051,1582803,132159,1074650
2021-03-06,381250,994281,100051,1607741,132159,1094332
2021-03-07,382925,1013640,102851,1631575,132159,1116491
2021-03-08,386641,1039508,102851,1671201,142201,1142359
2021-03-09,390607,1067651,107851,1718352,152243,1175502
2021-03-10,395110,1099096,107851,1765523,163466,1206947
2021-03-11,399954,1130595,107851,1813392,174992,1238446
2021-03-12,404438,1166041,107851,1864702,186372,1273892
2021-03-13,404438,1198626,107851,1897287,186372,1306477
2021-03-14,404438,1225768,107851,1924429,186372,1333619
2021-03-15,405817,1247386,107851,1947426,186372,1355237
2021-03-16,407215,1277330,107851,1978768,186372,1385181
2021-03-17,412729,1302259,108601,2009961,186372,1410860
2021-03-18,416297,1330189,108601,2041459,186372,1438790
2021-03-19,420252,1358891,108601,2074116,186372,1467492
2021-03-20,420252,1388433,108601,2103658,186372,1497034
2021-03-21,420257,1416190,108601,2131420,186372,1524791
2021-03-22,423609,1437079,108601,2155661,186372,1545680
2021-03-23,434576,1459670,108601,2189219,186372,1568271
2021-03-24,444913,1489735,108601,2244335,201086,1598336
2021-03-25,455222,1521804,108601,2301427,215800,1630405
2021-03-26,466210,1551574,108601,2356899,230514,1660175
2021-03-27,466210,1583421,108601,2388746,230514,1692022
2021-03-28,468727,1604252,108601,2412094,230514,1712853
2021-03-29,478263,1641754,108601,2473846,245228,1750355
2021-03-30,487582,1679929,108601,2539805,263693,1788530
2021-03-31,500496,1718139,108601,2612717,285481,1826740
2021-04-01,521168,1759722,108601,2699195,309704,1868323
2021-04-02,536730,1802410,108601,2777101,329360,1911011
2021-04-03,538591,1841265,108601,2817817,329360,1949866
2021-04-04,538591,1877682,108601,2854234,329360,1986283
2021-04-05,550025,1919046,108601,2909446,331774,2027647
2021-04-06,560172,1963408,108601,2963955,331774,2072009
2021-04-07,565932,2009956,108601,3016263,331774,2118557
