"date","vaccines_administered_estimated_carehomes","vaccines_administered_ggd","vaccines_administered_hospital","vaccines_administered_estimated","vaccines_administered_doctors","vaccines_administered"
2021-04-27,908244,3285136,908244,5176010,982630,3285136
2021-04-28,918052,3357134,918052,5265860,990674,3357134
2021-04-29,927824,3429039,927824,5360802,1003939,3429039
2021-04-30,937631,3498185,937631,5455349,1019533,3498185
2021-05-01,947412,3573168,947412,5557642,1037062,3573168
2021-05-02,957161,3641673,957161,5651041,1052207,3641673
2021-05-03,966893,3724767,966893,5757731,1066071,3724767
2021-05-04,972590,3806799,972590,5860446,1081057,3806799
2021-05-05,989443,3896411,989443,5980676,1094822,3896411
2021-05-06,1009672,3979256,1009672,6101271,1112343,3979256
2021-05-07,1033211,4066136,1033211,6224773,1125426,4066136
2021-05-08,1051314,4153046,1051314,6346699,1142339,4153046
2021-05-09,1068279,4237149,1068279,6462498,1157070,4237149
2021-05-10,1081345,4338718,1081345,6588757,1168694,4338718
2021-05-11,1093568,4440285,1093568,6722905,1189052,4440285
2021-05-12,1107641,4545918,1107641,6875100,1221541,4545918
