"date","IC_Bedden_COVID","IC_Bedden_Non_COVID","Kliniek_Bedden","IC_Nieuwe_Opnames_COVID","Kliniek_Nieuwe_Opnames_COVID","Totaal_bezetting","IC_Opnames_7d","Kliniek_Opnames_7d","Totaal_opnames","Totaal_opnames_7d","Totaal_IC","IC_opnames_14d","Kliniek_opnames_14d","OMT_Check_IC","OMT_Check_Kliniek"
2021-06-17,226,580,347,5,32,573,6.85714285714286,35.7142857142857,37,42.5714285714286,806,8.42857142857143,53.5714285714286,81,67
2021-06-16,239,602,366,8,32,605,7.71428571428571,36.8571428571429,40,44.5714285714286,841,8.28571428571429,58.4285714285714,93,63
2021-06-15,250,541,395,6,39,645,7.42857142857143,39.2857142857143,45,46.7142857142857,791,8.57142857142857,61.2857142857143,87,64
2021-06-14,263,524,418,8,24,681,7,40.7142857142857,32,47.7142857142857,787,9,65.2857142857143,78,62
2021-06-13,265,526,411,8,26,676,6.85714285714286,44.5714285714286,34,51.4285714285714,791,9.42857142857143,65.8571428571429,73,68
2021-06-12,269,541,403,5,46,672,7.28571428571429,47.5714285714286,51,54.8571428571429,810,9.85714285714286,69.8571428571429,74,68
2021-06-11,281,565,448,8,51,729,7.57142857142857,51.8571428571429,59,59.4285714285714,846,11.2857142857143,72.2857142857143,67,72
2021-06-10,297,554,486,11,40,783,8.42857142857143,53.5714285714286,51,62,851,13.1428571428571,76.5714285714286,64,70
2021-06-09,304,531,530,6,49,834,8.28571428571429,58.4285714285714,55,66.7142857142857,835,13.7142857142857,75.8571428571429,60,77
2021-06-08,321,516,616,3,49,937,8.57142857142857,61.2857142857143,52,69.8571428571429,837,14.7142857142857,79.2857142857143,58,77
2021-06-07,343,468,650,7,51,993,9,65.2857142857143,58,74.2857142857143,811,16.4285714285714,83.2857142857143,55,78
2021-06-06,344,503,654,11,47,998,9.42857142857143,65.8571428571429,58,75.2857142857143,847,17.7142857142857,88.5714285714286,53,74
2021-06-05,351,531,658,7,76,1009,9.85714285714286,69.8571428571429,83,79.7142857142857,882,19.5714285714286,91.5714285714286,50,76
2021-06-04,377,554,688,14,63,1065,11.2857142857143,72.2857142857143,77,83.5714285714286,931,20.5714285714286,98.1428571428571,55,74
2021-06-03,394,541,704,10,74,1098,13.1428571428571,76.5714285714286,84,89.7142857142857,935,20.1428571428571,104.142857142857,65,74
2021-06-02,420,518,769,8,69,1189,13.7142857142857,75.8571428571429,77,89.5714285714286,938,21.1428571428571,114,65,67
2021-06-01,447,510,793,6,77,1240,14.7142857142857,79.2857142857143,83,94,957,23.1428571428571,123.285714285714,64,64
2021-05-31,477,495,850,10,55,1327,16.4285714285714,83.2857142857143,65,99.7142857142857,972,25.2857142857143,136.714285714286,65,61
2021-05-30,486,479,841,14,75,1327,17.7142857142857,88.5714285714286,89,106.285714285714,965,25.8571428571429,140,69,63
2021-05-29,499,522,853,17,93,1352,19.5714285714286,91.5714285714286,110,111.142857142857,1021,25.7142857142857,145.857142857143,76,63
2021-05-28,521,543,919,27,93,1440,20.5714285714286,98.1428571428571,120,118.714285714286,1064,28,157.428571428571,73,62
2021-05-27,541,521,971,14,69,1512,20.1428571428571,104.142857142857,83,124.285714285714,1062,27.7142857142857,158.285714285714,73,66
2021-05-26,559,507,1059,15,93,1618,21.1428571428571,114,108,135.142857142857,1066,29.7142857142857,167.857142857143,71,68
2021-05-25,579,441,1102,18,105,1681,23.1428571428571,123.285714285714,123,146.428571428571,1020,31.2857142857143,175.142857142857,74,70
2021-05-24,598,416,1097,19,92,1695,25.2857142857143,136.714285714286,111,162,1014,30.7142857142857,183.142857142857,82,75
2021-05-23,610,414,1104,27,96,1714,25.8571428571429,140,123,165.857142857143,1024,32.8571428571429,192.857142857143,79,73
2021-05-22,602,444,1129,24,139,1731,25.7142857142857,145.857142857143,163,171.571428571429,1046,32.5714285714286,198.285714285714,79,74
2021-05-21,608,475,1214,24,135,1822,28,157.428571428571,159,185.428571428571,1083,32.1428571428571,204.571428571429,87,77
2021-05-20,621,486,1278,21,138,1899,27.7142857142857,158.285714285714,159,186,1107,35.2857142857143,219.142857142857,79,72
2021-05-19,637,479,1365,29,158,2002,29.7142857142857,167.857142857143,187,197.571428571429,1116,36.1428571428571,221,82,76
2021-05-18,646,476,1503,33,199,2149,31.2857142857143,175.142857142857,232,206.428571428571,1122,37.1428571428571,226,84,77
2021-05-17,681,427,1502,23,115,2183,30.7142857142857,183.142857142857,138,213.857142857143,1108,39.7142857142857,228.428571428571,77,80
2021-05-16,686,429,1466,26,137,2152,32.8571428571429,192.857142857143,163,225.714285714286,1115,41,232.285714285714,80,83
2021-05-15,710,442,1473,40,220,2183,32.5714285714286,198.285714285714,260,230.857142857143,1152,43.2857142857143,232.142857142857,75,85
2021-05-14,728,414,1522,22,141,2250,32.1428571428571,204.571428571429,163,236.714285714286,1142,46.5714285714286,231.571428571429,69,88
2021-05-13,733,422,1498,35,205,2231,35.2857142857143,219.142857142857,240,254.428571428571,1155,47.1428571428571,241.285714285714,75,91
2021-05-12,738,477,1607,40,209,2345,36.1428571428571,221,249,257.142857142857,1215,47.2857142857143,252.428571428571,76,88
2021-05-11,748,444,1732,29,255,2480,37.1428571428571,226,284,263.142857142857,1192,46.5714285714286,250.714285714286,80,90
2021-05-10,757,385,1730,38,183,2487,39.7142857142857,228.428571428571,221,268.142857142857,1142,48,259.714285714286,83,88
2021-05-09,767,395,1668,24,175,2435,41,232.285714285714,199,273.285714285714,1162,46.2857142857143,260,89,89
2021-05-08,778,406,1700,37,264,2478,43.2857142857143,232.142857142857,301,275.428571428571,1184,47.4285714285714,264.714285714286,91,88
2021-05-07,797,403,1724,44,243,2521,46.5714285714286,231.571428571429,287,278.142857142857,1200,45.8571428571429,266.571428571429,102,87
2021-05-06,807,409,1744,41,218,2551,47.1428571428571,241.285714285714,259,288.428571428571,1216,46,256,102,94
2021-05-05,830,406,1715,47,244,2545,47.2857142857143,252.428571428571,291,299.714285714286,1236,45.2857142857143,255,104,99
2021-05-04,818,408,1795,47,272,2613,46.5714285714286,250.714285714286,319,297.285714285714,1226,46,264.142857142857,101,95
2021-05-03,825,366,1817,47,210,2642,48,259.714285714286,257,307.714285714286,1191,46.1428571428571,263,104,99
2021-05-02,804,366,1796,40,174,2600,46.2857142857143,260,214,306.285714285714,1170,47.4285714285714,259.571428571429,98,100
2021-05-01,811,403,1827,60,260,2638,47.4285714285714,264.714285714286,320,312.142857142857,1214,48.5714285714286,262.571428571429,98,101
2021-04-30,807,423,1899,48,311,2706,45.8571428571429,266.571428571429,359,312.428571428571,1230,50.1428571428571,262.285714285714,91,102
2021-04-29,813,440,1891,42,296,2704,46,256,338,302,1253,50.4285714285714,263,91,97
2021-04-28,814,406,1797,42,232,2611,45.2857142857143,255,274,300.285714285714,1220,50.7142857142857,254.857142857143,89,100
2021-04-27,820,420,1777,57,335,2597,46,264.142857142857,392,310.142857142857,1240,50.5714285714286,245.142857142857,91,108
2021-04-26,813,404,1759,35,212,2572,46.1428571428571,263,247,309.142857142857,1217,48.7142857142857,235.714285714286,95,112
2021-04-25,841,381,1691,48,207,2532,47.4285714285714,259.571428571429,255,307,1222,48.8571428571429,241.142857142857,97,108
2021-04-24,816,413,1698,49,273,2514,48.5714285714286,262.571428571429,322,311.142857142857,1229,47.2857142857143,239.714285714286,103,110
2021-04-23,837,441,1776,49,237,2613,50.1428571428571,262.285714285714,286,312.428571428571,1278,46.2857142857143,244.428571428571,108,107
2021-04-22,839,419,1843,37,289,2682,50.4285714285714,263,326,313.428571428571,1258,45.4285714285714,247.285714285714,111,106
2021-04-21,822,428,1792,47,296,2614,50.7142857142857,254.857142857143,343,305.571428571429,1250,48,252.571428571429,106,101
2021-04-20,823,425,1830,58,327,2653,50.5714285714286,245.142857142857,385,295.714285714286,1248,49.5714285714286,260.714285714286,102,94
2021-04-19,813,394,1731,44,188,2544,48.7142857142857,235.714285714286,232,284.428571428571,1207,49.4285714285714,253,99,93
2021-04-18,808,377,1670,56,228,2478,48.8571428571429,241.142857142857,284,290,1185,51.2857142857143,250,95,96
2021-04-17,802,413,1626,60,271,2428,47.2857142857143,239.714285714286,331,287,1215,52.4285714285714,244.142857142857,90,98
2021-04-16,792,426,1698,51,242,2490,46.2857142857143,244.428571428571,293,290.714285714286,1218,52.5714285714286,235.428571428571,88,104
2021-04-15,789,421,1688,39,232,2477,45.4285714285714,247.285714285714,271,292.714285714286,1210,53,237.428571428571,86,104
2021-04-14,784,430,1715,46,228,2499,48,252.571428571429,274,300.571428571429,1214,53.5714285714286,238.428571428571,90,106
2021-04-13,794,454,1760,45,261,2554,49.5714285714286,260.714285714286,306,310.285714285714,1248,51.4285714285714,234.428571428571,96,111
2021-04-12,794,387,1788,45,226,2582,49.4285714285714,253,271,302.428571428571,1181,52.2857142857143,246.714285714286,95,103
2021-04-11,788,375,1729,45,218,2517,51.2857142857143,250,263,301.285714285714,1163,49.1428571428571,244.285714285714,104,102
2021-04-10,787,404,1704,53,304,2491,52.4285714285714,244.142857142857,357,296.571428571429,1191,47.4285714285714,245,111,100
2021-04-09,784,421,1711,45,262,2495,52.5714285714286,235.428571428571,307,288,1205,47,252.571428571429,112,93
2021-04-08,798,435,1727,57,269,2525,53,237.428571428571,326,290.428571428571,1233,46.4285714285714,247.428571428571,114,96
2021-04-07,776,429,1782,57,285,2558,53.5714285714286,238.428571428571,342,292,1205,42.5714285714286,243.571428571429,126,98
2021-04-06,750,387,1748,44,207,2498,51.4285714285714,234.428571428571,251,285.857142857143,1137,41.8571428571429,238.142857142857,123,98
2021-04-05,746,369,1628,58,205,2374,52.2857142857143,246.714285714286,263,299,1115,39.2857142857143,236.571428571429,133,104
2021-04-04,730,367,1587,53,177,2317,49.1428571428571,244.285714285714,230,293.428571428571,1097,41.2857142857143,233.571428571429,119,105
2021-04-03,734,407,1614,54,243,2348,47.4285714285714,245,297,292.428571428571,1141,39.8571428571429,235.285714285714,119,104
2021-04-02,705,419,1625,48,276,2330,47,252.571428571429,324,299.571428571429,1124,40.2857142857143,231.285714285714,117,109
2021-04-01,688,433,1639,61,276,2327,46.4285714285714,247.428571428571,337,293.857142857143,1121,40.5714285714286,230.857142857143,114,107
2021-03-31,681,439,1653,42,257,2334,42.5714285714286,243.571428571429,299,286.142857142857,1120,39.8571428571429,224.571428571429,107,108
2021-03-30,682,453,1728,50,293,2410,41.8571428571429,238.142857142857,343,280,1135,39.7142857142857,221,105,108
2021-03-29,675,431,1667,36,188,2342,39.2857142857143,236.571428571429,224,275.857142857143,1106,40.5714285714286,212.857142857143,97,111
2021-03-28,655,402,1593,41,182,2248,41.2857142857143,233.571428571429,223,274.857142857143,1057,40,214.285714285714,103,109
2021-03-27,643,452,1595,51,296,2238,39.8571428571429,235.285714285714,347,275.142857142857,1095,40.8571428571429,213.857142857143,98,110
2021-03-26,625,460,1596,44,240,2221,40.2857142857143,231.285714285714,284,271.571428571429,1085,39.4285714285714,207.571428571429,102,111
2021-03-25,619,471,1573,34,249,2192,40.5714285714286,230.857142857143,283,271.428571428571,1090,38.4285714285714,203.857142857143,106,113
2021-03-24,625,483,1562,37,219,2187,39.8571428571429,224.571428571429,256,264.428571428571,1108,41.4285714285714,201.857142857143,96,111
2021-03-23,623,475,1575,32,282,2198,39.7142857142857,221,314,260.714285714286,1098,40.2857142857143,202.571428571429,99,109
2021-03-22,638,443,1555,50,167,2193,40.5714285714286,212.857142857143,217,253.428571428571,1081,39.8571428571429,204.714285714286,102,104
2021-03-21,611,408,1462,31,194,2073,40,214.285714285714,225,254.285714285714,1019,38,200.428571428571,105,107
2021-03-20,602,456,1445,54,268,2047,40.8571428571429,213.857142857143,322,254.714285714286,1058,38.2857142857143,193,107,111
2021-03-19,579,480,1462,46,237,2041,39.4285714285714,207.571428571429,283,247,1059,37.1428571428571,186.142857142857,106,112
2021-03-18,564,477,1436,29,205,2000,38.4285714285714,203.857142857143,234,242.285714285714,1041,37.1428571428571,182.428571428571,103,112
2021-03-17,568,491,1424,36,194,1992,41.4285714285714,201.857142857143,230,243.285714285714,1059,34.4285714285714,179,120,113
2021-03-16,586,473,1451,38,225,2037,40.2857142857143,202.571428571429,263,242.857142857143,1059,37.4285714285714,175.857142857143,108,115
2021-03-15,564,441,1455,46,177,2019,39.8571428571429,204.714285714286,223,244.571428571429,1005,39.8571428571429,174.142857142857,100,118
2021-03-14,554,428,1368,37,191,1922,38,200.428571428571,228,238.428571428571,982,39.4285714285714,173.857142857143,96,115
2021-03-13,554,479,1321,44,224,1875,38.2857142857143,193,268,231.285714285714,1033,36.8571428571429,176.857142857143,104,109
2021-03-12,576,501,1334,39,211,1910,37.1428571428571,186.142857142857,250,223.285714285714,1077,34.8571428571429,178.142857142857,107,104
2021-03-11,572,489,1353,50,191,1925,37.1428571428571,182.428571428571,241,219.571428571429,1061,33.8571428571429,178.285714285714,110,102
2021-03-10,560,481,1353,28,199,1913,34.4285714285714,179,227,213.428571428571,1041,33.5714285714286,182.428571428571,103,98
2021-03-09,556,498,1407,35,240,1963,37.4285714285714,175.857142857143,275,213.285714285714,1054,29.4285714285714,178.714285714286,127,98
2021-03-08,558,457,1347,33,147,1905,39.8571428571429,174.142857142857,180,214,1015,26.4285714285714,174.571428571429,151,100
2021-03-07,545,431,1306,39,139,1851,39.4285714285714,173.857142857143,178,213.285714285714,976,27.4285714285714,171.285714285714,144,102
2021-03-06,542,480,1321,36,176,1863,36.8571428571429,176.857142857143,212,213.714285714286,1022,29.2857142857143,166,126,107
2021-03-05,541,491,1370,39,185,1911,34.8571428571429,178.142857142857,224,213,1032,29,161.857142857143,120,110
2021-03-04,539,485,1384,31,167,1923,33.8571428571429,178.285714285714,198,212.142857142857,1024,27.2857142857143,163.857142857143,124,109
2021-03-03,549,455,1397,49,177,1946,33.5714285714286,182.428571428571,226,216,1004,27.8571428571429,165.142857142857,121,110
2021-03-02,540,460,1444,52,228,1984,29.4285714285714,178.714285714286,280,208.142857142857,1000,29.8571428571429,168.857142857143,99,106
2021-03-01,536,434,1375,30,145,1911,26.4285714285714,174.571428571429,175,201,970,30,170.285714285714,88,103
2021-02-28,526,401,1322,21,160,1848,27.4285714285714,171.285714285714,181,198.714285714286,927,27.8571428571429,173.285714285714,98,99
2021-02-27,518,470,1291,22,185,1809,29.2857142857143,166,207,195.285714285714,988,25.7142857142857,175,114,95
2021-02-26,525,493,1339,32,186,1864,29,161.857142857143,218,190.857142857143,1018,27.4285714285714,178.714285714286,106,91
2021-02-25,526,499,1361,29,196,1887,27.2857142857143,163.857142857143,225,191.142857142857,1025,29.1428571428571,176.142857142857,94,93
2021-02-24,533,508,1350,20,151,1883,27.8571428571429,165.142857142857,171,193,1041,27.7142857142857,174.714285714286,101,95
2021-02-23,538,480,1379,31,199,1917,29.8571428571429,168.857142857143,230,198.714285714286,1018,25.7142857142857,177.857142857143,116,95
2021-02-22,561,439,1347,37,122,1908,30,170.285714285714,159,200.285714285714,1000,24.8571428571429,165.142857142857,121,103
2021-02-21,534,461,1315,34,123,1849,27.8571428571429,173.285714285714,157,201.142857142857,995,25.4285714285714,161.857142857143,110,107
2021-02-20,522,502,1336,20,156,1858,25.7142857142857,175,176,200.714285714286,1024,25.4285714285714,164,101,107
