"municipality","Municipality_code","date","population","cases_d0","cases_d7","cases_d14","rel_cases_7d","rel_cases_14d","rel_cases_total","color","hosp_d0","hosp_d7","hosp_d14","rel_hosp_7d","rel_hosp_14d","rel_hosp_total","deaths_d0","deaths_d7","deaths_d14","rel_deaths_7d","rel_deaths_14d","rel_deaths_total","perc_cases","perc_hosp","perc_deaths","perc_deaths_per_case"
"Netherlands","",2021-04-19,17443797,1410950,1357340,1307466,307.3,593.2,8088.5,"&#x26a1;",57186,55878,54129,7.5,17.5,327.8,16938,16791,16629,0.8,1.8,97.1,8.1,0.3,0.1,1.2
"Unknown","",2021-04-19,NA,5305,5062,4801,NA,NA,NA,NA,1561,1510,1439,NA,NA,NA,35,35,35,NA,NA,NA,NA,NA,NA,0.7
"Groningen","GM0014",2021-04-19,232989,11493,11141,10843,151.1,279,4932.9,"&#x26a1;",296,292,275,1.7,9,127,44,43,39,0.4,2.1,18.9,4.9,0.1,0,0.4
"Almere","GM0034",2021-04-19,215312,17566,17065,16568,232.7,463.5,8158.4,"&#x26a1;",226,220,206,2.8,9.3,105,94,93,93,0.5,0.5,43.7,8.2,0.1,0,0.5
"Stadskanaal","GM0037",2021-04-19,31726,2222,2153,2068,217.5,485.4,7003.7,"&#x26a1;",91,85,79,18.9,37.8,286.8,16,16,16,0,0,50.4,7,0.3,0.1,0.7
"Veendam","GM0047",2021-04-19,27440,1611,1566,1525,164,313.4,5871,"&#x26a1;",77,74,72,10.9,18.2,280.6,10,10,10,0,0,36.4,5.9,0.3,0,0.6
"Zeewolde","GM0050",2021-04-19,22978,1468,1408,1362,261.1,461.3,6388.7,"&#x26a1;",59,58,58,4.4,4.4,256.8,13,13,13,0,0,56.6,6.4,0.3,0.1,0.9
"Achtkarspelen","GM0059",2021-04-19,27860,1949,1880,1820,247.7,463,6995.7,"&#x1F7E3;",68,68,67,0,3.6,244.1,37,37,37,0,0,132.8,7,0.2,0.1,1.9
"Ameland","GM0060",2021-04-19,3740,170,160,153,267.4,454.5,4545.5,"&#x26a1;",7,6,6,26.7,26.7,187.2,0,0,0,0,0,0,4.5,0.2,0,0
"Harlingen","GM0072",2021-04-19,15809,669,621,567,303.6,645.2,4231.8,"&#9989;",19,19,19,0,0,120.2,3,3,3,0,0,19,4.2,0.1,0,0.4
"Heerenveen","GM0074",2021-04-19,50733,2283,2167,2059,228.6,441.5,4500,"&#x26a1;",88,83,81,9.9,13.8,173.5,37,36,36,2,2,72.9,4.5,0.2,0.1,1.6
"Leeuwarden","GM0080",2021-04-19,124520,6339,6127,5918,170.3,338.1,5090.7,"&#128721;",226,226,223,0,2.4,181.5,69,69,67,0,1.6,55.4,5.1,0.2,0.1,1.1
"Ooststellingwerf","GM0085",2021-04-19,25476,1242,1155,1105,341.5,537.8,4875.2,"&#x26a1;",36,35,33,3.9,11.8,141.3,6,6,6,0,0,23.6,4.9,0.1,0,0.5
"Opsterland","GM0086",2021-04-19,29802,1363,1303,1241,201.3,409.4,4573.5,"&#x26a1;",53,52,52,3.4,3.4,177.8,7,7,7,0,0,23.5,4.6,0.2,0,0.5
"Schiermonnikoog","GM0088",2021-04-19,913,45,43,43,219.1,219.1,4928.8,"&#9989;",1,1,1,0,0,109.5,2,2,2,0,0,219.1,4.9,0.1,0.2,4.4
"Smallingerland","GM0090",2021-04-19,55985,2870,2755,2642,205.4,407.3,5126.4,"&#x26a1;",109,108,105,1.8,7.1,194.7,33,32,32,1.8,1.8,58.9,5.1,0.2,0.1,1.1
"Terschelling","GM0093",2021-04-19,4847,224,215,209,185.7,309.5,4621.4,"&#x26a1;",9,9,8,0,20.6,185.7,2,2,2,0,0,41.3,4.6,0.2,0,0.9
"Vlieland","GM0096",2021-04-19,1187,47,47,45,0,168.5,3959.6,"&#9989;",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Weststellingwerf","GM0098",2021-04-19,26161,1442,1373,1300,263.8,542.8,5512,"&#x26a1;",50,49,46,3.8,15.3,191.1,28,28,28,0,0,107,5.5,0.2,0.1,1.9
"Assen","GM0106",2021-04-19,68885,3223,3099,2973,180,362.9,4678.8,"&#x26a1;",118,116,114,2.9,5.8,171.3,14,14,14,0,0,20.3,4.7,0.2,0,0.4
"Coevorden","GM0109",2021-04-19,35290,2526,2470,2413,158.7,320.2,7157.8,"&#x26a1;",107,105,103,5.7,11.3,303.2,31,31,28,0,8.5,87.8,7.2,0.3,0.1,1.2
"Emmen","GM0114",2021-04-19,107115,8015,7746,7465,251.1,513.5,7482.6,"&#x26a1;",334,324,312,9.3,20.5,311.8,73,72,68,0.9,4.7,68.2,7.5,0.3,0.1,0.9
"Hoogeveen","GM0118",2021-04-19,55532,3940,3844,3761,172.9,322.3,7095,"&#x26a1;",149,144,141,9,14.4,268.3,40,40,40,0,0,72,7.1,0.3,0.1,1
"Meppel","GM0119",2021-04-19,34393,2037,1949,1861,255.9,511.7,5922.7,"&#x26a1;",55,50,42,14.5,37.8,159.9,25,25,25,0,0,72.7,5.9,0.2,0.1,1.2
"Almelo","GM0141",2021-04-19,73102,6439,6250,6130,258.5,422.7,8808.2,"&#x26a1;",333,325,319,10.9,19.2,455.5,55,54,54,1.4,1.4,75.2,8.8,0.5,0.1,0.9
"Borne","GM0147",2021-04-19,23766,2114,2035,1995,332.4,500.7,8895.1,"&#x26a1;",73,70,68,12.6,21,307.2,37,37,36,0,4.2,155.7,8.9,0.3,0.2,1.8
"Dalfsen","GM0148",2021-04-19,28980,1959,1895,1846,220.8,389.9,6759.8,"&#9989;",41,41,41,0,0,141.5,20,20,19,0,3.5,69,6.8,0.1,0.1,1
"Deventer","GM0150",2021-04-19,101411,6782,6525,6284,253.4,491.1,6687.6,"&#x26a1;",257,251,246,5.9,10.8,253.4,83,82,82,1,1,81.8,6.7,0.3,0.1,1.2
"Enschede","GM0153",2021-04-19,159560,11740,11329,11015,257.6,454.4,7357.7,"&#x26a1;",488,481,468,4.4,12.5,305.8,167,165,164,1.3,1.9,104.7,7.4,0.3,0.1,1.4
"Haaksbergen","GM0158",2021-04-19,24219,2342,2292,2252,206.4,371.6,9670.1,"&#x26a1;",87,86,86,4.1,4.1,359.2,32,32,32,0,0,132.1,9.7,0.4,0.1,1.4
