"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan1","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d"
"Netherlands","",2021-05-19,17488,17473,17399,17383,17245,11529,11529,2021-01-01,17488,15,89,243,-42.2077922077922,"&#x2798;",17443797,0.085990452652023,0.51021001906867,1.39304533296277
"Unknown","",2021-05-19,36,36,36,36,36,34,31,2021-01-20,36,0,0,0,0,"-",NA,NA,NA,NA
"Groningen","GM0014",2021-05-19,45,45,45,45,45,17,17,2021-01-01,45,0,0,0,0,"-",233011,0,0,0
"Almere","GM0034",2021-05-19,95,95,95,95,95,52,52,2021-01-01,95,0,0,0,0,"-",215579,0,0,0
"Stadskanaal","GM0037",2021-05-19,19,19,19,19,19,8,8,2021-01-01,19,0,0,0,0,"-",31729,0,0,0
"Veendam","GM0047",2021-05-19,11,11,11,10,10,4,4,2021-01-01,11,0,0,1,-100,"&#x2798;",27436,0,0,3.64484618749089
"Zeewolde","GM0050",2021-05-19,14,14,14,14,14,9,9,2021-01-01,14,0,0,0,0,"-",23029,0,0,0
"Achtkarspelen","GM0059",2021-05-19,38,38,38,38,37,0,0,2021-01-01,38,0,0,1,-100,"&#x2798;",27871,0,0,3.58795881023286
"Ameland","GM0060",2021-05-19,1,1,1,1,1,0,0,2021-01-01,1,0,0,0,0,"-",3736,0,0,0
"Harlingen","GM0072",2021-05-19,3,3,3,3,3,2,2,2021-01-01,3,0,0,0,0,"-",15838,0,0,0
"Heerenveen","GM0074",2021-05-19,39,39,39,39,39,24,24,2021-01-01,39,0,0,0,0,"-",50782,0,0,0
"Leeuwarden","GM0080",2021-05-19,73,73,72,72,71,23,23,2021-01-01,73,0,1,2,0,"-",124582,0,0.802684175884157,1.60536835176831
"Ooststellingwerf","GM0085",2021-05-19,6,6,6,6,6,1,1,2021-01-01,6,0,0,0,0,"-",25504,0,0,0
"Opsterland","GM0086",2021-05-19,7,7,7,7,7,1,1,2021-01-01,7,0,0,0,0,"-",29837,0,0,0
"Schiermonnikoog","GM0088",2021-05-19,2,2,2,2,2,0,0,2021-01-01,2,0,0,0,0,"-",915,0,0,0
"Smallingerland","GM0090",2021-05-19,33,33,33,33,33,14,14,2021-01-01,33,0,0,0,0,"-",55907,0,0,0
"Terschelling","GM0093",2021-05-19,2,2,2,2,2,1,1,2021-01-01,2,0,0,0,0,"-",4835,0,0,0
"Vlieland","GM0096",2021-05-19,0,0,0,0,0,0,0,2021-01-01,0,0,0,0,0,"-",1193,0,0,0
"Weststellingwerf","GM0098",2021-05-19,28,28,28,28,28,12,12,2021-01-01,28,0,0,0,0,"-",26157,0,0,0
"Assen","GM0106",2021-05-19,15,15,15,15,14,9,9,2021-01-01,15,0,0,1,-100,"&#x2798;",68912,0,0,1.45112607383329
"Coevorden","GM0109",2021-05-19,31,31,31,31,31,8,8,2021-01-01,31,0,0,0,0,"-",35320,0,0,0
"Emmen","GM0114",2021-05-19,78,78,78,77,75,34,34,2021-01-01,78,0,0,3,-100,"&#x2798;",107145,0,0,2.79994400111998
"Hoogeveen","GM0118",2021-05-19,41,41,40,40,40,21,21,2021-01-01,41,0,1,1,100,"&#x279A;",55664,0,1.7964932451854,1.7964932451854
"Meppel","GM0119",2021-05-19,26,26,26,26,26,10,10,2021-01-01,26,0,0,0,0,"-",34439,0,0,0
"Almelo","GM0141",2021-05-19,56,56,56,56,56,35,35,2021-01-01,56,0,0,0,0,"-",73098,0,0,0
"Borne","GM0147",2021-05-19,38,38,38,38,37,15,15,2021-01-01,38,0,0,1,-100,"&#x2798;",23802,0,0,4.20132761952777
"Dalfsen","GM0148",2021-05-19,20,20,20,20,20,15,15,2021-01-01,20,0,0,0,0,"-",29020,0,0,0
"Deventer","GM0150",2021-05-19,86,86,85,85,84,64,63,2021-01-04,86,0,1,2,0,"-",101433,0,0.985872447822701,1.9717448956454
"Enschede","GM0153",2021-05-19,170,170,169,169,168,98,98,2021-01-01,170,0,1,2,0,"-",159531,0,0.626837417179106,1.25367483435821
"Haaksbergen","GM0158",2021-05-19,32,32,32,32,32,25,25,2021-01-01,32,0,0,0,0,"-",24213,0,0,0
"Hardenberg","GM0160",2021-05-19,37,37,37,37,37,20,20,2021-01-01,37,0,0,0,0,"-",61508,0,0,0
"Hellendoorn","GM0163",2021-05-19,51,51,50,50,50,21,21,2021-01-01,51,0,1,1,100,"&#x279A;",35872,0,2.78768956289028,2.78768956289028
"Hengelo","GM0164",2021-05-19,66,66,66,66,66,42,42,2021-01-01,66,0,0,0,0,"-",81051,0,0,0
"Kampen","GM0166",2021-05-19,43,43,43,43,43,41,41,2021-01-01,43,0,0,0,0,"-",54518,0,0,0
"Losser","GM0168",2021-05-19,32,32,32,32,32,15,15,2021-01-01,32,0,0,0,0,"-",22910,0,0,0
"Noordoostpolder","GM0171",2021-05-19,28,28,28,28,28,21,21,2021-01-01,28,0,0,0,0,"-",47711,0,0,0
"Oldenzaal","GM0173",2021-05-19,45,45,45,45,45,34,34,2021-01-01,45,0,0,0,0,"-",31703,0,0,0
"Ommen","GM0175",2021-05-19,15,15,15,15,15,10,10,2021-01-01,15,0,0,0,0,"-",18324,0,0,0
"Raalte","GM0177",2021-05-19,41,41,41,41,41,26,26,2021-01-01,41,0,0,0,0,"-",37961,0,0,0
"Staphorst","GM0180",2021-05-19,19,19,19,19,19,8,8,2021-01-01,19,0,0,0,0,"-",17280,0,0,0
"Tubbergen","GM0183",2021-05-19,18,18,18,18,18,12,12,2021-01-01,18,0,0,0,0,"-",21295,0,0,0
"Urk","GM0184",2021-05-19,18,18,18,17,14,11,11,2021-01-01,18,0,0,4,-100,"&#x2798;",21298,0,0,18.7811062071556
