"current","municipality","increase_1d","increase_7d","growth"
352,"'s-Gravenhage",1,12,"&#x2798;"
99,"'s-Hertogenbosch",1,8,"&#x279A;"
1,"Aa en Hunze",0,0,"-"
12,"Aalsmeer",0,2,"&#x2798;"
9,"Aalten",0,0,"&#x2798;"
0,"Achtkarspelen",0,0,"-"
12,"Alblasserdam",0,1,"&#x2798;"
14,"Albrandswaard",0,0,"&#x2798;"
37,"Alkmaar",1,2,"&#x2798;"
20,"Almelo",1,2,"&#x2798;"
45,"Almere",0,3,"-"
5,"Alphen-Chaam",0,0,"-"
42,"Alphen aan den Rijn",0,4,"&#x2798;"
28,"Altena",5,9,"&#x279A;"
0,"Ameland",0,0,"-"
41,"Amersfoort",1,8,"&#x279A;"
54,"Amstelveen",0,3,"&#x279A;"
369,"Amsterdam",0,16,"&#x279A;"
59,"Apeldoorn",0,0,"&#x2798;"
1,"Appingedam",0,0,"&#x2798;"
54,"Arnhem",1,7,"&#x2798;"
4,"Assen",0,1,"&#x279A;"
12,"Asten",0,0,"-"
2,"Baarle-Nassau",0,0,"-"
12,"Baarn",0,2,"&#x279A;"
25,"Barendrecht",0,4,"&#x279A;"
14,"Barneveld",0,1,"&#x2798;"
8,"Beek",0,0,"-"
26,"Beekdaelen",0,0,"-"
2,"Beemster",0,0,"&#x2798;"
8,"Beesel",0,0,"-"
30,"Berg en Dal",0,4,"&#x279A;"
6,"Bergeijk",0,1,"&#x279A;"
3,"Bergen (L.)",0,0,"&#x2798;"
24,"Bergen (NH.)",0,5,"&#x2798;"
24,"Bergen op Zoom",2,4,"&#x279A;"
19,"Berkelland",0,4,"&#x2798;"
67,"Bernheze",0,0,"&#x2798;"
13,"Best",0,0,"&#x2798;"
9,"Beuningen",1,2,"&#x279A;"
15,"Beverwijk",0,0,"&#x2798;"
12,"Bladel",0,1,"&#x2798;"
2,"Blaricum",0,0,"-"
6,"Bloemendaal",0,0,"-"
11,"Bodegraven-Reeuwijk",0,0,"-"
20,"Boekel",0,0,"-"
8,"Borger-Odoorn",0,1,"-"
6,"Borne",0,0,"-"
1,"Borsele",0,0,"-"
31,"Boxmeer",1,3,"&#x279A;"
27,"Boxtel",0,0,"&#x2798;"
101,"Breda",3,13,"&#x279A;"
1,"Brielle",0,0,"&#x2798;"
7,"Bronckhorst",0,0,"-"
7,"Brummen",0,0,"&#x2798;"
21,"Brunssum",0,0,"-"
5,"Bunnik",0,2,"&#x279A;"
9,"Bunschoten",0,1,"&#x279A;"
9,"Buren",0,1,"&#x279A;"
77,"Capelle aan den IJssel",0,6,"&#x279A;"
11,"Castricum",0,0,"&#x2798;"
4,"Coevorden",0,1,"-"
