"","Municipality_code","population","Municipality_name","2021-06-08","2021-06-09"
"1","",17443797,"Netherlands",17695,17700
"2","",NA,"Unknown",36,37
"3","GM0014",233077,"Groningen",45,45
"4","GM0034",215815,"Almere",96,96
"5","GM0037",31797,"Stadskanaal",20,20
"6","GM0047",27465,"Veendam",11,11
"7","GM0050",23098,"Zeewolde",14,14
"8","GM0059",27873,"Achtkarspelen",39,39
"9","GM0060",3748,"Ameland",1,1
"10","GM0072",15849,"Harlingen",3,3
"11","GM0074",50797,"Heerenveen",39,39
"12","GM0080",124630,"Leeuwarden",74,74
"13","GM0085",25514,"Ooststellingwerf",6,6
"14","GM0086",29834,"Opsterland",7,7
"15","GM0088",925,"Schiermonnikoog",2,2
"16","GM0090",55896,"Smallingerland",34,34
"17","GM0093",4854,"Terschelling",2,2
"18","GM0096",1212,"Vlieland",0,0
"19","GM0098",26168,"Weststellingwerf",28,28
"20","GM0106",68928,"Assen",15,15
"21","GM0109",35391,"Coevorden",31,31
"22","GM0114",107184,"Emmen",79,79
"23","GM0118",55738,"Hoogeveen",41,41
"24","GM0119",34456,"Meppel",27,27
"25","GM0141",73162,"Almelo",58,58
"26","GM0147",23821,"Borne",38,38
"27","GM0148",29036,"Dalfsen",20,20
"28","GM0150",101387,"Deventer",88,88
"29","GM0153",159502,"Enschede",172,172
"30","GM0158",24217,"Haaksbergen",32,32
"31","GM0160",61585,"Hardenberg",37,37
"32","GM0163",35876,"Hellendoorn",51,51
"33","GM0164",81037,"Hengelo",68,68
"34","GM0166",54526,"Kampen",44,44
"35","GM0168",22923,"Losser",32,32
"36","GM0171",47743,"Noordoostpolder",28,28
"37","GM0173",31700,"Oldenzaal",45,45
"38","GM0175",18342,"Ommen",15,15
"39","GM0177",37989,"Raalte",41,41
"40","GM0180",17297,"Staphorst",21,21
"41","GM0183",21322,"Tubbergen",18,18
"42","GM0184",21340,"Urk",19,19
"43","GM0189",24613,"Wierden",27,27
"44","GM0193",130007,"Zwolle",113,113
"45","GM0197",27071,"Aalten",22,22
"46","GM0200",165091,"Apeldoorn",147,147
"47","GM0202",162756,"Arnhem",125,125
"48","GM0203",60160,"Barneveld",62,62
"49","GM0209",26195,"Beuningen",22,22
"50","GM0213",20898,"Brummen",18,18
"51","GM0214",27095,"Buren",20,20
"52","GM0216",29168,"Culemborg",22,22
"53","GM0221",11099,"Doesburg",9,9
"54","GM0222",58380,"Doetinchem",29,29
"55","GM0225",19080,"Druten",27,27
"56","GM0226",24987,"Duiven",14,14
"57","GM0228",119037,"Ede",86,86
"58","GM0230",23513,"Elburg",14,14
"59","GM0232",33211,"Epe",52,52
"60","GM0233",27089,"Ermelo",34,34
"61","GM0243",48674,"Harderwijk",48,48
"62","GM0244",12243,"Hattem",7,7
"63","GM0246",18853,"Heerde",32,32
"64","GM0252",16581,"Heumen",19,19
"65","GM0262",34037,"Lochem",29,29
"66","GM0263",25420,"Maasdriel",42,42
"67","GM0267",43861,"Nijkerk",29,29
"68","GM0268",177532,"Nijmegen",189,189
"69","GM0269",23882,"Oldebroek",30,30
"70","GM0273",24453,"Putten",18,18
"71","GM0274",31399,"Renkum",26,26
"72","GM0275",43420,"Rheden",58,58
"73","GM0277",1714,"Rozendaal",0,0
"74","GM0279",10219,"Scherpenzeel",12,12
"75","GM0281",41877,"Tiel",73,73
"76","GM0285",24866,"Voorst",28,28
"77","GM0289",39442,"Wageningen",42,42
"78","GM0293",14933,"Westervoort",9,9
"79","GM0294",29047,"Winterswijk",17,17
"80","GM0296",41250,"Wijchen",60,60
"81","GM0297",29658,"Zaltbommel",42,42
"82","GM0299",44319,"Zevenaar",48,48
"83","GM0301",48278,"Zutphen",29,29
"84","GM0302",28109,"Nunspeet",32,32
"85","GM0303",42503,"Dronten",25,25
"86","GM0307",157609,"Amersfoort",139,139
"87","GM0308",24750,"Baarn",28,28
"88","GM0310",43390,"De Bilt",78,78
"89","GM0312",15374,"Bunnik",12,12
"90","GM0313",22138,"Bunschoten",39,39
"91","GM0317",9393,"Eemnes",5,5
"92","GM0321",50322,"Houten",51,51
"93","GM0327",30634,"Leusden",24,24
"94","GM0331",14501,"Lopik",12,12
"95","GM0335",13883,"Montfoort",8,8
"96","GM0339",5617,"Renswoude",5,5
"97","GM0340",20201,"Rhenen",21,21
"98","GM0342",46946,"Soest",47,47
"99","GM0344",359062,"Utrecht",249,249
"100","GM0345",67187,"Veenendaal",75,75
"101","GM0351",13693,"Woudenberg",8,8
"102","GM0352",23900,"Wijk bij Duurstede",17,17
"103","GM0353",33677,"IJsselstein",55,55
"104","GM0355",65080,"Zeist",73,73
"105","GM0356",64052,"Nieuwegein",30,30
"106","GM0358",32054,"Aalsmeer",26,26
"107","GM0361",110091,"Alkmaar",85,85
"108","GM0362",90794,"Amstelveen",90,90
"109","GM0363",870823,"Amsterdam",808,808
"110","GM0370",10251,"Beemster",3,3
"111","GM0373",29719,"Bergen (NH.)",38,38
"112","GM0375",41943,"Beverwijk",41,41
"113","GM0376",12054,"Blaricum",6,6
"114","GM0377",23509,"Bloemendaal",17,17
"115","GM0383",36156,"Castricum",23,23
"116","GM0384",31368,"Diemen",33,33
"117","GM0385",36380,"Edam-Volendam",23,23
"118","GM0388",18634,"Enkhuizen",11,11
"119","GM0392",162347,"Haarlem",149,149
"120","GM0394",158238,"Haarlemmermeer",108,108
"121","GM0396",39142,"Heemskerk",32,32
"122","GM0397",27532,"Heemstede",60,60
"123","GM0398",58712,"Heerhugowaard",37,37
"124","GM0399",24265,"Heiloo",15,15
