"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d","color","color_incl_new"
"Netherlands","",2021-02-03,41979,41790,40893,40721,39576,35330,35330,2021-01-01,6649,189,1086,2403,-17.5398633257403,"➘",17443797,1.08347970341549,6.22570877200646,13.7756705148541,"⚡","⚡"
"Unknown","",2021-02-03,1174,1180,1151,1149,1113,1021,1021,2021-01-01,153,-6,23,61,-39.4736842105263,"➘",NA,NA,NA,NA,NA,NA
"Groningen","GM0014",2021-02-03,163,162,157,155,143,122,122,2021-01-01,41,1,6,20,-57.1428571428571,"➘",233456,0.42834624083339,2.57007744500034,8.56692481666781,"⚡","⚡"
"Almere","GM0034",2021-02-03,157,157,155,154,148,131,131,2021-01-01,26,0,2,9,-71.4285714285714,"➘",214551,0,0.932179295365671,4.19480682914552,"🟣","🟣"
"Stadskanaal","GM0037",2021-02-03,45,45,45,45,42,36,36,2021-01-01,9,0,0,3,-100,"➘",31702,0,0,9.4631253548672,"⚡","⚡"
"Veendam","GM0047",2021-02-03,38,37,34,34,30,26,26,2021-01-01,12,1,4,8,0,"-",27416,3.64750510650715,14.5900204260286,29.1800408520572,"⚡","⚡"
"Zeewolde","GM0050",2021-02-03,44,44,43,43,42,35,35,2021-01-01,9,0,1,2,0,"-",22836,0,4.37905062182519,8.75810124365038,"⚡","⚡"
"Achtkarspelen","GM0059",2021-02-03,41,40,35,33,28,17,17,2021-01-01,24,1,6,13,-14.2857142857143,"➘",27881,3.58667192711883,21.520031562713,46.6267350525447,"⚡","⚡"
"Ameland","GM0060",2021-02-03,3,3,3,3,3,3,3,2021-01-01,0,0,0,0,0,"-",3747,0,0,0,"✅","✅"
"Harlingen","GM0072",2021-02-03,10,10,10,10,10,9,9,2021-01-01,1,0,0,0,0,"-",15835,0,0,0,"✅","✅"
"Heerenveen","GM0074",2021-02-03,58,57,54,52,51,42,42,2021-01-01,16,1,4,7,33.3333333333333,"➚",50626,1.97526962430372,7.90107849721487,13.826887370126,"⚡","⚡"
"Leeuwarden","GM0080",2021-02-03,129,127,120,118,113,90,90,2021-01-01,39,2,9,16,28.5714285714286,"➚",124517,1.60620638145795,7.22792871656079,12.8496510516636,"⚡","⚡"
"Ooststellingwerf","GM0085",2021-02-03,28,26,25,24,23,21,21,2021-01-01,7,2,3,5,50,"➚",25437,7.86256240908912,11.7938436136337,19.6564060227228,"⚡","⚡"
"Opsterland","GM0086",2021-02-03,39,38,36,35,34,23,23,2021-01-01,16,1,3,5,50,"➚",29812,3.35435395142895,10.0630618542869,16.7717697571448,"⚡","⚡"
"Schiermonnikoog","GM0088",2021-02-03,1,1,1,1,1,1,1,2021-01-01,0,0,0,0,0,"-",936,0,0,0,"✅","✅"
"Smallingerland","GM0090",2021-02-03,72,71,68,67,59,42,42,2021-01-01,30,1,4,13,-55.5555555555556,"➘",56060,1.78380306814128,7.13521227256511,23.1894398858366,"⚡","⚡"
