"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
903,"&#x26a1;","'s-Gravenhage",7,57,"-"
260,"&#x26a1;","'s-Hertogenbosch",0,13,"&#x2798;"
15,"&#x26a1;","Aa en Hunze",0,0,"&#x2798;"
42,"&#128165;","Aalsmeer",1,1,"&#x2798;"
38,"&#128165;","Aalten",1,1,"&#x279A;"
62,"&#x26a1;","Achtkarspelen",0,2,"&#x2798;"
55,"&#x26a1;","Alblasserdam",0,2,"&#x2798;"
57,"&#x26a1;","Albrandswaard",0,3,"&#x2798;"
182,"&#x26a1;","Alkmaar",2,8,"&#x2798;"
142,"&#x26a1;","Almelo",1,7,"&#x2798;"
110,"&#128165;","Almere",1,1,"&#x2798;"
8,"&#x26a1;","Alphen-Chaam",0,1,"-"
168,"&#x26a1;","Alphen aan den Rijn",0,2,"&#x2798;"
90,"&#x26a1;","Altena",0,2,"&#x2798;"
6,"&#9989;","Ameland",0,0,"-"
178,"&#x26a1;","Amersfoort",7,10,"&#x2798;"
106,"&#x26a1;","Amstelveen",0,4,"-"
1339,"&#x26a1;","Amsterdam",17,46,"&#x2798;"
182,"&#x26a1;","Apeldoorn",2,4,"&#x2798;"
185,"&#x26a1;","Arnhem",1,10,"&#x2798;"
70,"&#x26a1;","Assen",0,1,"&#x2798;"
29,"&#x26a1;","Asten",0,1,"&#x2798;"
7,"&#x26a1;","Baarle-Nassau",0,0,"&#x2798;"
20,"&#x1F7E3;","Baarn",0,0,"&#x2798;"
90,"&#x26a1;","Barendrecht",0,3,"&#x2798;"
87,"&#x26a1;","Barneveld",2,3,"&#x2798;"
9,"&#x26a1;","Beek",0,2,"&#x279A;"
35,"&#x26a1;","Beekdaelen",1,4,"&#x279A;"
15,"&#9989;","Beemster",0,0,"-"
10,"&#x26a1;","Beesel",0,1,"-"
48,"&#x26a1;","Berg en Dal",0,4,"&#x2798;"
34,"&#x1F7E3;","Bergeijk",0,0,"&#x2798;"
25,"&#x26a1;","Bergen (L.)",0,2,"&#x279A;"
44,"&#x26a1;","Bergen (NH.)",0,0,"&#x2798;"
151,"&#x26a1;","Bergen op Zoom",1,3,"-"
54,"&#x26a1;","Berkelland",0,2,"&#x2798;"
49,"&#x26a1;","Bernheze",1,1,"&#x2798;"
70,"&#128165;","Best",1,1,"&#x279A;"
47,"&#x26a1;","Beuningen",1,4,"-"
65,"&#x26a1;","Beverwijk",1,1,"&#x2798;"
40,"&#x1F7E3;","Bladel",0,0,"&#x2798;"
13,"&#128165;","Blaricum",1,1,"&#x279A;"
17,"&#x26a1;","Bloemendaal",0,0,"&#x2798;"
59,"&#x26a1;","Bodegraven-Reeuwijk",0,0,"&#x2798;"
11,"&#x26a1;","Boekel",0,1,"-"
39,"&#x26a1;","Borger-Odoorn",0,2,"-"
28,"&#x26a1;","Borne",0,0,"&#x2798;"
25,"&#9989;","Borsele",0,0,"-"
47,"&#x26a1;","Boxmeer",0,1,"&#x2798;"
50,"&#x26a1;","Boxtel",0,1,"&#x2798;"
188,"&#x26a1;","Breda",3,13,"&#x2798;"
34,"&#x26a1;","Brielle",2,3,"-"
43,"&#x26a1;","Bronckhorst",1,3,"&#x279A;"
27,"&#x26a1;","Brummen",3,4,"&#x279A;"
43,"&#x26a1;","Brunssum",1,2,"&#x2798;"
10,"&#x26a1;","Bunnik",1,2,"&#x279A;"
41,"&#x26a1;","Bunschoten",0,1,"-"
57,"&#x26a1;","Buren",0,3,"&#x279A;"
194,"&#x26a1;","Capelle aan den IJssel",4,16,"&#x279A;"
27,"&#x26a1;","Castricum",0,1,"&#x279A;"
62,"&#x26a1;","Coevorden",0,1,"-"
42,"&#x26a1;","Cranendonck",1,3,"-"
53,"&#x26a1;","Cuijk",0,1,"-"
63,"&#x26a1;","Culemborg",1,2,"&#x2798;"
16,"&#x1F7E3;","Dalfsen",0,0,"&#x2798;"
43,"&#x26a1;","Dantumadiel",0,2,"-"
48,"&#128721;","De Bilt",0,0,"&#x2798;"
56,"&#x26a1;","De Fryske Marren",0,1,"&#x2798;"
53,"&#x26a1;","De Ronde Venen",0,2,"&#x279A;"
26,"&#x26a1;","De Wolden",0,0,"&#x2798;"
122,"&#x26a1;","Delft",0,5,"&#x2798;"
142,"&#x26a1;","Den Helder",1,2,"&#x2798;"
67,"&#x26a1;","Deurne",0,5,"&#x2798;"
118,"&#x26a1;","Deventer",3,16,"-"
35,"&#128165;","Diemen",1,1,"&#x2798;"
35,"&#x26a1;","Dinkelland",0,1,"&#x279A;"
10,"&#x26a1;","Doesburg",0,0,"&#x2798;"
62,"&#x26a1;","Doetinchem",0,2,"&#x2798;"
40,"&#x1F7E3;","Dongen",0,0,"&#x2798;"
347,"&#x26a1;","Dordrecht",4,15,"&#x2798;"
29,"&#x1F7E3;","Drechterland",0,0,"&#x2798;"
44,"&#x26a1;","Drimmelen",2,2,"&#x2798;"
42,"&#x26a1;","Dronten",0,1,"&#x2798;"
40,"&#x26a1;","Druten",0,0,"&#x2798;"
28,"&#x26a1;","Duiven",0,1,"&#x2798;"
54,"&#x26a1;","Echt-Susteren",0,3,"&#x2798;"
121,"&#x26a1;","Edam-Volendam",0,3,"&#x2798;"
148,"&#x26a1;","Ede",3,6,"&#x2798;"
19,"&#128165;","Eemnes",1,1,"-"
88,"&#x26a1;","Eemsdelta",1,4,"&#x279A;"
27,"&#x26a1;","Eersel",0,0,"&#x2798;"
32,"&#128165;","Eijsden-Margraten",1,1,"&#x2798;"
546,"&#x26a1;","Eindhoven",3,17,"&#x2798;"
25,"&#x26a1;","Elburg",0,1,"&#x2798;"
214,"&#x26a1;","Emmen",0,10,"&#x279A;"
27,"&#x26a1;","Enkhuizen",0,1,"&#x279A;"
199,"&#x26a1;","Enschede",2,13,"&#x279A;"
62,"&#x26a1;","Epe",0,0,"&#x2798;"
30,"&#128165;","Ermelo",3,3,"&#x279A;"
41,"&#x1F7E3;","Etten-Leur",0,0,"&#x2798;"
37,"&#x26a1;","Geertruidenberg",0,2,"&#x2798;"
112,"&#x26a1;","Geldrop-Mierlo",1,3,"&#x279A;"
59,"&#x26a1;","Gemert-Bakel",1,3,"&#x2798;"
19,"&#128165;","Gennep",1,1,"&#x279A;"
42,"&#x26a1;","Gilze en Rijen",0,2,"&#x2798;"
117,"&#x26a1;","Goeree-Overflakkee",2,8,"&#x279A;"
62,"&#x26a1;","Goes",0,3,"&#x2798;"
27,"&#x26a1;","Goirle",0,3,"-"
64,"&#128165;","Gooise Meren",2,2,"-"
62,"&#x26a1;","Gorinchem",0,3,"&#x279A;"
167,"&#x26a1;","Gouda",1,11,"&#x2798;"
12,"&#x26a1;","Grave",0,0,"&#x2798;"
199,"&#x26a1;","Groningen",1,10,"&#x279A;"
10,"&#x26a1;","Gulpen-Wittem",0,1,"&#x279A;"
30,"&#x26a1;","Haaksbergen",0,3,"&#x279A;"
137,"&#x26a1;","Haarlem",2,4,"&#x2798;"
141,"&#x26a1;","Haarlemmermeer",5,7,"&#x2798;"
64,"&#x26a1;","Halderberge",4,5,"&#x279A;"
65,"&#x26a1;","Hardenberg",2,3,"-"
103,"&#x26a1;","Harderwijk",2,4,"&#x279A;"
32,"&#x26a1;","Hardinxveld-Giessendam",0,0,"&#x2798;"
17,"&#x26a1;","Harlingen",0,1,"-"
15,"&#x26a1;","Hattem",0,2,"&#x279A;"
54,"&#x26a1;","Heemskerk",0,1,"&#x2798;"
12,"&#9989;","Heemstede",0,0,"-"
20,"&#128165;","Heerde",1,1,"&#x279A;"
54,"&#x26a1;","Heerenveen",0,1,"&#x2798;"
104,"&#x26a1;","Heerhugowaard",0,4,"&#x2798;"
86,"&#x26a1;","Heerlen",2,7,"&#x279A;"
21,"&#x26a1;","Heeze-Leende",0,0,"&#x2798;"
35,"&#x26a1;","Heiloo",1,1,"&#x2798;"
87,"&#x26a1;","Hellendoorn",1,6,"&#x279A;"
89,"&#x26a1;","Hellevoetsluis",2,5,"&#x279A;"
226,"&#x26a1;","Helmond",2,11,"&#x279A;"
63,"&#x26a1;","Hendrik-Ido-Ambacht",0,3,"&#x279A;"
104,"&#x26a1;","Hengelo",4,8,"&#x2798;"
36,"&#x26a1;","Het Hogeland",0,0,"&#x2798;"
21,"&#x26a1;","Heumen",0,0,"&#x2798;"
75,"&#x26a1;","Heusden",0,2,"&#x2798;"
19,"&#x26a1;","Hillegom",1,1,"-"
15,"&#x26a1;","Hilvarenbeek",0,0,"&#x2798;"
103,"&#x26a1;","Hilversum",2,4,"&#x2798;"
181,"&#x26a1;","Hoeksche Waard",1,2,"&#x2798;"
54,"&#x26a1;","Hof van Twente",1,2,"&#x2798;"
82,"&#x1F7E3;","Hollands Kroon",0,1,"-"
67,"&#x26a1;","Hoogeveen",0,2,"&#x279A;"
190,"&#x26a1;","Hoorn",0,0,"&#x2798;"
13,"&#x26a1;","Horst aan de Maas",0,1,"&#x2798;"
38,"&#x26a1;","Houten",0,3,"&#x2798;"
56,"&#x26a1;","Huizen",1,1,"&#x2798;"
36,"&#x26a1;","Hulst",0,2,"&#x2798;"
48,"&#x26a1;","IJsselstein",1,2,"&#x2798;"
29,"&#x26a1;","Kaag en Braassem",0,1,"-"
31,"&#128721;","Kampen",0,0,"&#x2798;"
9,"&#128165;","Kapelle",1,1,"&#x279A;"
129,"&#x26a1;","Katwijk",1,4,"&#x2798;"
54,"&#x26a1;","Kerkrade",1,7,"&#x279A;"
49,"&#x26a1;","Koggenland",0,1,"&#x2798;"
68,"&#x26a1;","Krimpen aan den IJssel",2,3,"&#x2798;"
118,"&#x26a1;","Krimpenerwaard",2,9,"&#x279A;"
43,"&#x26a1;","Laarbeek",1,3,"&#x279A;"
25,"&#x26a1;","Landerd",0,1,"&#x2798;"
40,"&#x26a1;","Landgraaf",0,1,"&#x2798;"
20,"&#x26a1;","Landsmeer",0,0,"&#x2798;"
40,"&#x26a1;","Langedijk",0,0,"&#x2798;"
60,"&#x26a1;","Lansingerland",1,4,"-"
7,"&#9989;","Laren",0,0,"-"
157,"&#x26a1;","Leeuwarden",1,1,"&#x2798;"
102,"&#x26a1;","Leiden",1,6,"&#x2798;"
23,"&#x26a1;","Leiderdorp",0,0,"&#x2798;"
