"","Municipality_code","population","Municipality_name","Hospital_admission.2020-10-23"
"1","",17443797,"Netherlands",14352
"2","",NA,"Unknown",85
"3","GM0003",11523,"Appingedam",7
"4","GM0010",24609,"Delfzijl",7
"5","GM0014",231112,"Groningen",31
"6","GM0024",9477,"Loppersum",0
"7","GM0034",213660,"Almere",163
"8","GM0037",31581,"Stadskanaal",5
"9","GM0047",27430,"Veendam",2
"10","GM0050",22680,"Zeewolde",13
"11","GM0059",27873,"Achtkarspelen",0
"12","GM0060",3752,"Ameland",0
"13","GM0072",15793,"Harlingen",4
"14","GM0074",50456,"Heerenveen",16
"15","GM0080",123625,"Leeuwarden",45
"16","GM0085",25366,"Ooststellingwerf",5
"17","GM0086",29743,"Opsterland",8
"18","GM0088",953,"Schiermonnikoog",1
"19","GM0090",56181,"Smallingerland",12
"20","GM0093",4807,"Terschelling",1
"21","GM0096",1190,"Vlieland",0
"22","GM0098",26018,"Weststellingwerf",3
"23","GM0106",68798,"Assen",14
"24","GM0109",35303,"Coevorden",14
"25","GM0114",107078,"Emmen",46
"26","GM0118",55566,"Hoogeveen",27
"27","GM0119",34125,"Meppel",11
"28","GM0141",73175,"Almelo",32
"29","GM0147",23489,"Borne",15
"30","GM0148",28837,"Dalfsen",17
"31","GM0150",100913,"Deventer",50
"32","GM0153",158918,"Enschede",68
"33","GM0158",24275,"Haaksbergen",17
"34","GM0160",61194,"Hardenberg",24
"35","GM0163",35959,"Hellendoorn",13
"36","GM0164",81047,"Hengelo",38
"37","GM0166",54409,"Kampen",60
"38","GM0168",22780,"Losser",11
"39","GM0171",47618,"Noordoostpolder",19
"40","GM0173",31792,"Oldenzaal",16
"41","GM0175",18179,"Ommen",9
"42","GM0177",37782,"Raalte",25
"43","GM0180",17217,"Staphorst",8
"44","GM0183",21271,"Tubbergen",12
"45","GM0184",21135,"Urk",23
"46","GM0189",24474,"Wierden",7
"47","GM0193",129213,"Zwolle",54
"48","GM0197",27116,"Aalten",13
"49","GM0200",164140,"Apeldoorn",112
"50","GM0202",161961,"Arnhem",83
"51","GM0203",59676,"Barneveld",24
"52","GM0209",26054,"Beuningen",20
"53","GM0213",20838,"Brummen",19
"54","GM0214",27021,"Buren",23
"55","GM0216",29020,"Culemborg",25
"56","GM0221",11028,"Doesburg",11
"57","GM0222",58104,"Doetinchem",30
"58","GM0225",18973,"Druten",28
"59","GM0226",25062,"Duiven",16
"60","GM0228",117966,"Ede",71
"61","GM0230",23343,"Elburg",28
"62","GM0232",33171,"Epe",52
"63","GM0233",26991,"Ermelo",33
"64","GM0243",48623,"Harderwijk",47
"65","GM0244",12241,"Hattem",18
"66","GM0246",18645,"Heerde",55
"67","GM0252",16589,"Heumen",19
"68","GM0262",33847,"Lochem",16
"69","GM0263",25434,"Maasdriel",17
"70","GM0267",43417,"Nijkerk",26
"71","GM0268",176669,"Nijmegen",170
"72","GM0269",23670,"Oldebroek",40
"73","GM0273",24220,"Putten",11
"74","GM0274",31401,"Renkum",16
"75","GM0275",43565,"Rheden",35
"76","GM0277",1697,"Rozendaal",1
"77","GM0279",10000,"Scherpenzeel",5
"78","GM0281",41962,"Tiel",46
"79","GM0285",24702,"Voorst",17
"80","GM0289",39134,"Wageningen",22
"81","GM0293",15013,"Westervoort",12
"82","GM0294",28893,"Winterswijk",8
"83","GM0296",41179,"Wijchen",50
"84","GM0297",29225,"Zaltbommel",23
"85","GM0299",44011,"Zevenaar",54
"86","GM0301",48077,"Zutphen",33
"87","GM0302",27862,"Nunspeet",61
"88","GM0303",41677,"Dronten",39
"89","GM0307",157521,"Amersfoort",90
"90","GM0308",24823,"Baarn",15
"91","GM0310",43190,"De Bilt",31
"92","GM0312",15262,"Bunnik",12
"93","GM0313",21930,"Bunschoten",15
"94","GM0317",9323,"Eemnes",2
"95","GM0321",50290,"Houten",33
"96","GM0327",30486,"Leusden",11
"97","GM0331",14483,"Lopik",22
"98","GM0335",13889,"Montfoort",15
"99","GM0339",5517,"Renswoude",5
"100","GM0340",20086,"Rhenen",12
"101","GM0342",46842,"Soest",33
"102","GM0344",357667,"Utrecht",347
"103","GM0345",66918,"Veenendaal",53
"104","GM0351",13568,"Woudenberg",9
"105","GM0352",23901,"Wijk bij Duurstede",12
"106","GM0353",33851,"IJsselstein",41
"107","GM0355",64883,"Zeist",42
"108","GM0356",63690,"Nieuwegein",54
"109","GM0358",31927,"Aalsmeer",11
"110","GM0361",109751,"Alkmaar",62
"111","GM0362",90705,"Amstelveen",74
"112","GM0363",869709,"Amsterdam",953
"113","GM0370",10019,"Beemster",4
"114","GM0373",29762,"Bergen (NH.)",22
"115","GM0375",41752,"Beverwijk",20
"116","GM0376",11799,"Blaricum",8
"117","GM0377",23566,"Bloemendaal",9
"118","GM0383",36124,"Castricum",18
"119","GM0384",31206,"Diemen",23
"120","GM0385",36190,"Edam-Volendam",36
"121","GM0388",18658,"Enkhuizen",20
"122","GM0392",162962,"Haarlem",99
"123","GM0394",157115,"Haarlemmermeer",92
"124","GM0396",39230,"Heemskerk",34
"125","GM0397",27341,"Heemstede",15
"126","GM0398",58018,"Heerhugowaard",29
"127","GM0399",24100,"Heiloo",12
