"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan1","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d","color","color_incl_new","color_yesterday","color_lastweek"
"Netherlands","",2021-05-21,1619648,1615500,1589282,1583767,1546070,805164,805164,2021-01-01,814484,4148,30366,73578,-29.7278533740628,"&#x2798;",17443797,23.7792265067061,174.079072348755,421.800368348703,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#x1F7E3;"
"Unknown","",2021-05-21,5954,5959,5924,5909,5829,3700,3594,2021-02-11,2360,-5,30,125,-68.4210526315789,"&#x2798;&#x2798;",NA,NA,NA,NA,NA,NA,NA,NA
"Groningen","GM0014",2021-05-21,13216,13177,12936,12883,12582,6371,6371,2021-01-01,6845,39,280,634,-20.9039548022599,"&#x2798;",233011,16.7374072468682,120.166000746746,272.090158833703,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#x1F7E3;"
"Almere","GM0034",2021-05-21,19385,19343,19131,19083,18716,10719,10719,2021-01-01,8666,42,254,669,-38.7951807228916,"&#x2798;",215579,19.4824171185505,117.822236859805,310.327072674055,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#x1F7E3;"
"Stadskanaal","GM0037",2021-05-21,2470,2468,2447,2446,2406,1225,1225,2021-01-01,1245,2,23,64,-43.9024390243902,"&#x2798;",31729,6.30338176431656,72.4888902896404,201.70821645813,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Veendam","GM0047",2021-05-21,1805,1799,1769,1767,1723,664,664,2021-01-01,1141,6,36,82,-21.7391304347826,"&#x2798;",27436,21.8690771249453,131.214462749672,298.877387374253,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#x1F7E3;"
"Zeewolde","GM0050",2021-05-21,1704,1702,1673,1666,1619,832,832,2021-01-01,872,2,31,85,-42.5925925925926,"&#x2798;",23029,8.68470189760736,134.612879412914,369.099830648313,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#x1F7E3;"
"Achtkarspelen","GM0059",2021-05-21,2255,2252,2221,2215,2160,620,620,2021-01-01,1635,3,34,95,-44.2622950819672,"&#x2798;",27871,10.7638764306986,121.990599547917,340.856086972122,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#x1F7E3;"
"Ameland","GM0060",2021-05-21,192,191,190,190,187,122,122,2021-01-01,70,1,2,5,-33.3333333333333,"&#x2798;",3736,26.7665952890792,53.5331905781585,133.832976445396,"&#128721;","&#128721;","&#128999;","&#128721;"
"Harlingen","GM0072",2021-05-21,797,796,782,781,767,227,227,2021-01-01,570,1,15,30,0,"-",15838,6.31392852632908,94.7089278949362,189.417855789872,"&#128721;","&#128721;","&#128721;","&#128721;"
"Heerenveen","GM0074",2021-05-21,2680,2675,2641,2630,2571,939,939,2021-01-01,1741,5,39,109,-44.2857142857143,"&#x2798;",50782,9.84600842818321,76.7988657398291,214.642983734394,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Leeuwarden","GM0080",2021-05-21,7299,7272,7118,7095,6897,2926,2926,2021-01-01,4373,27,181,402,-18.0995475113122,"&#x2798;",124582,21.6724727488722,145.285835835032,322.679038705431,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#x1F7E3;"
"Ooststellingwerf","GM0085",2021-05-21,1429,1428,1406,1400,1357,505,505,2021-01-01,924,1,23,72,-53.0612244897959,"&#x2798;&#x2798;",25504,3.92095357590966,90.1819322459222,282.308657465496,"&#128721;","&#128721;","&#x1F7E3;","&#x1F7E3;"
"Opsterland","GM0086",2021-05-21,1653,1645,1598,1591,1520,514,514,2021-01-01,1139,8,55,133,-29.4871794871795,"&#x2798;",29837,26.812347085833,184.334886215102,445.755270301974,"&#x1F7E3;","&#x1F7E3;","&#x1F7E3;","&#x26a1;"
"Schiermonnikoog","GM0088",2021-05-21,45,45,45,45,45,7,7,2021-01-01,38,0,0,0,0,"-",915,0,0,0,"&#9989;","&#9989;","&#9989;","&#9989;"
"Smallingerland","GM0090",2021-05-21,3270,3261,3218,3211,3132,1051,1051,2021-01-01,2219,9,52,138,-39.5348837209302,"&#x2798;",55907,16.0981630207309,93.0116085642227,246.838499651206,"&#128721;","&#128721;","&#128721;","&#x1F7E3;"
"Terschelling","GM0093",2021-05-21,246,246,245,245,243,91,91,2021-01-01,155,0,1,3,-50,"&#x2798;&#x2798;",4835,0,20.6825232678387,62.047569803516,"&#128999;","&#128999;","&#128999;","&#128721;"
"Vlieland","GM0096",2021-05-21,68,68,64,63,59,21,21,2021-01-01,47,0,4,9,-20,"&#x2798;",1193,0,335.289186923722,754.400670578374,"&#x26a1;","&#x26a1;","&#x26a1;","&#x26a1;"
"Weststellingwerf","GM0098",2021-05-21,1715,1706,1635,1627,1590,594,594,2021-01-01,1121,9,80,125,77.7777777777778,"&#x279A;",26157,34.4076155522422,305.845471575486,477.883549336698,"&#x26a1;","&#x26a1;","&#x26a1;","&#x1F7E3;"
