"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
7314,"&#x26a1;","'s-Gravenhage",131,1452,"&#x279A;"
2798,"&#x26a1;","'s-Hertogenbosch",88,543,"&#x279A;"
183,"&#x1F7E3;","Aa en Hunze",2,50,"&#x279A;"
491,"&#x1F7E3;","Aalsmeer",7,79,"&#x279A;"
312,"&#x1F7E3;","Aalten",2,46,"-"
180,"&#x1F7E3;","Achtkarspelen",4,51,"&#x279A;"
381,"&#x26a1;","Alblasserdam",9,66,"&#x279A;"
524,"&#x26a1;","Albrandswaard",2,101,"&#x279A;"
1571,"&#x26a1;","Alkmaar",52,317,"&#x279A;"
1657,"&#x26a1;","Almelo",38,297,"&#x279A;"
3837,"&#x26a1;","Almere",136,887,"&#x279A;"
196,"&#x26a1;","Alphen-Chaam",5,26,"&#x279A;"
2231,"&#x26a1;","Alphen aan den Rijn",44,516,"&#x279A;"
1719,"&#x26a1;","Altena",47,415,"&#x279A;"
20,"&#x26a1;","Ameland",0,17,"&#x279A;&#x279A;"
2821,"&#x26a1;","Amersfoort",94,716,"&#x279A;"
1125,"&#x26a1;","Amstelveen",18,237,"&#x279A;"
13679,"&#x26a1;","Amsterdam",245,2629,"&#x279A;"
2038,"&#x26a1;","Apeldoorn",18,539,"&#x279A;"
142,"&#x26a1;","Appingedam",9,52,"&#x279A;"
2581,"&#x26a1;","Arnhem",61,567,"&#x279A;"
485,"&#128721;","Assen",4,79,"-"
251,"&#x26a1;","Asten",0,47,"-"
123,"&#x26a1;","Baarle-Nassau",2,22,"&#x279A;"
368,"&#x26a1;","Baarn",16,93,"&#x279A;"
761,"&#x1F7E3;","Barendrecht",5,109,"-"
1477,"&#x26a1;","Barneveld",39,429,"&#x279A;"
268,"&#x26a1;","Beek",13,79,"&#x279A;"
479,"&#x26a1;","Beekdaelen",19,129,"&#x279A;"
116,"&#x1F7E3;","Beemster",7,17,"&#x2798;"
165,"&#x26a1;","Beesel",6,40,"&#x279A;"
564,"&#x26a1;","Berg en Dal",3,91,"-"
455,"&#x26a1;","Bergeijk",5,132,"&#x279A;"
210,"&#x26a1;","Bergen (L.)",9,59,"&#x279A;"
356,"&#x1F7E3;","Bergen (NH.)",4,72,"-"
1375,"&#x26a1;","Bergen op Zoom",20,201,"&#x279A;"
640,"&#x1F7E3;","Berkelland",-1,99,"&#x279A;"
520,"&#x26a1;","Bernheze",16,111,"&#x279A;"
466,"&#x26a1;","Best",10,129,"&#x279A;"
376,"&#x26a1;","Beuningen",9,79,"&#x279A;"
585,"&#x1F7E3;","Beverwijk",19,98,"&#x279A;"
459,"&#x26a1;","Bladel",9,101,"&#x279A;"
179,"&#x26a1;","Blaricum",5,33,"&#x279A;"
207,"&#x1F7E3;","Bloemendaal",6,39,"&#x279A;"
716,"&#x26a1;","Bodegraven-Reeuwijk",6,145,"&#x279A;"
145,"&#x26a1;","Boekel",11,57,"&#x279A;&#x279A;"
235,"&#x1F7E3;","Borger-Odoorn",5,43,"&#x2798;"
396,"&#x26a1;","Borne",19,94,"&#x279A;"
172,"&#x1F7E3;","Borsele",4,35,"&#x279A;"
476,"&#x26a1;","Boxmeer",26,164,"&#x279A;&#x279A;"
533,"&#x26a1;","Boxtel",10,119,"&#x279A;"
3105,"&#x26a1;","Breda",96,711,"&#x279A;"
259,"&#x26a1;","Brielle",3,60,"&#x279A;"
505,"&#x26a1;","Bronckhorst",4,112,"-"
242,"&#x26a1;","Brummen",1,67,"&#x279A;"
354,"&#x26a1;","Brunssum",16,113,"&#x279A;"
200,"&#x1F7E3;","Bunnik",4,35,"&#x279A;"
990,"&#x26a1;","Bunschoten",48,275,"&#x279A;"
387,"&#x26a1;","Buren",8,110,"&#x279A;&#x279A;"
1164,"&#x26a1;","Capelle aan den IJssel",14,180,"&#x279A;"
552,"&#x26a1;","Castricum",13,125,"&#x279A;"
376,"&#x26a1;","Coevorden",7,89,"&#x279A;"
445,"&#x26a1;","Cranendonck",5,114,"&#x279A;"
410,"&#x26a1;","Cuijk",12,82,"&#x2798;"
460,"&#x26a1;","Culemborg",13,108,"&#x279A;"
342,"&#x26a1;","Dalfsen",16,97,"&#x279A;&#x279A;"
