"","Municipality_code","population","Municipality_name","2021-06-08","2021-06-09"
"1","",17443797,"Netherlands",1665846,1667560
"2","",NA,"Unknown",5905,5899
"3","GM0014",233077,"Groningen",13649,13656
"4","GM0034",215815,"Almere",19748,19765
"5","GM0037",31797,"Stadskanaal",2524,2524
"6","GM0047",27465,"Veendam",1887,1891
"7","GM0050",23098,"Zeewolde",1764,1768
"8","GM0059",27873,"Achtkarspelen",2307,2307
"9","GM0060",3748,"Ameland",207,207
"10","GM0072",15849,"Harlingen",822,822
"11","GM0074",50797,"Heerenveen",2758,2757
"12","GM0080",124630,"Leeuwarden",7546,7549
"13","GM0085",25514,"Ooststellingwerf",1469,1467
"14","GM0086",29834,"Opsterland",1728,1729
"15","GM0088",925,"Schiermonnikoog",45,45
"16","GM0090",55896,"Smallingerland",3426,3426
"17","GM0093",4854,"Terschelling",248,248
"18","GM0096",1212,"Vlieland",68,68
"19","GM0098",26168,"Weststellingwerf",1818,1821
"20","GM0106",68928,"Assen",3750,3757
"21","GM0109",35391,"Coevorden",2886,2893
"22","GM0114",107184,"Emmen",9120,9123
"23","GM0118",55738,"Hoogeveen",4576,4584
"24","GM0119",34456,"Meppel",2350,2350
"25","GM0141",73162,"Almelo",7667,7672
"26","GM0147",23821,"Borne",2506,2507
"27","GM0148",29036,"Dalfsen",2327,2328
"28","GM0150",101387,"Deventer",8259,8266
"29","GM0153",159502,"Enschede",14041,14069
"30","GM0158",24217,"Haaksbergen",2657,2658
"31","GM0160",61585,"Hardenberg",5873,5879
"32","GM0163",35876,"Hellendoorn",4290,4295
"33","GM0164",81037,"Hengelo",7268,7276
"34","GM0166",54526,"Kampen",3677,3681
"35","GM0168",22923,"Losser",2643,2644
"36","GM0171",47743,"Noordoostpolder",3507,3508
"37","GM0173",31700,"Oldenzaal",3397,3400
"38","GM0175",18342,"Ommen",1468,1470
"39","GM0177",37989,"Raalte",3400,3403
"40","GM0180",17297,"Staphorst",2371,2378
"41","GM0183",21322,"Tubbergen",2969,2972
"42","GM0184",21340,"Urk",2620,2621
"43","GM0189",24613,"Wierden",3095,3099
"44","GM0193",130007,"Zwolle",8197,8201
"45","GM0197",27071,"Aalten",2417,2420
"46","GM0200",165091,"Apeldoorn",12545,12557
"47","GM0202",162756,"Arnhem",12863,12880
"48","GM0203",60160,"Barneveld",7746,7755
"49","GM0209",26195,"Beuningen",2353,2358
