"X","date","cases","hospitalization","deaths","positivetests","hospital_intake_rivm"
1,2020-02-27,1,NA,0,0,0
2,2020-02-28,2,NA,0,1,NA
3,2020-02-29,7,NA,0,5,NA
4,2020-03-01,10,NA,0,3,NA
5,2020-03-02,18,NA,0,8,NA
6,2020-03-03,24,NA,0,6,NA
7,2020-03-04,38,NA,0,14,NA
8,2020-03-05,82,NA,0,44,NA
9,2020-03-06,128,NA,1,46,NA
10,2020-03-07,188,NA,1,60,NA
11,2020-03-08,265,NA,3,77,NA
12,2020-03-09,321,NA,3,56,NA
13,2020-03-10,382,NA,4,61,NA
14,2020-03-11,503,NA,5,121,NA
15,2020-03-12,613,86,5,110,NA
16,2020-03-13,804,115,10,191,29
17,2020-03-14,959,136,12,155,21
18,2020-03-15,1135,162,20,176,26
19,2020-03-16,1413,205,24,278,43
20,2020-03-17,1703,314,43,290,109
21,2020-03-18,2051,408,58,348,94
22,2020-03-19,2460,489,76,409,81
23,2020-03-20,2994,634,106,534,145
24,2020-03-21,3631,836,136,637,202
25,2020-03-22,4204,988,179,573,152
26,2020-03-23,4749,1230,213,545,242
27,2020-03-24,5560,1495,276,811,265
28,2020-03-25,6412,1836,356,852,341
29,2020-03-26,7431,2151,434,1019,315
30,2020-03-27,8603,2500,546,1172,349
31,2020-03-28,9762,2954,639,1159,454
32,2020-03-29,10866,3483,771,1104,529
33,2020-03-30,11750,3990,864,884,507
34,2020-03-31,12595,4712,1039,845,722
35,2020-04-01,13614,5159,1173,1019,447
36,2020-04-02,14697,5784,1339,1083,625
37,2020-04-03,15723,6286,1487,1026,502
38,2020-04-04,16627,6622,1651,904,336
39,2020-04-05,17851,6875,1766,1224,253
40,2020-04-06,18803,7135,1867,952,260
41,2020-04-07,19580,7427,2101,777,292
42,2020-04-08,20549,7735,2248,969,308
43,2020-04-09,21762,7972,2396,1213,237
44,2020-04-10,23097,8197,2511,1335,225
45,2020-04-11,24413,8386,2643,1316,189
46,2020-04-12,25587,8582,2737,1174,196
47,2020-04-13,26551,8729,2823,964,147
48,2020-04-14,27419,8939,2945,868,210
49,2020-04-15,28153,9127,3134,734,188
50,2020-04-16,29214,9309,3315,1061,182
51,2020-04-17,30449,9465,3459,1235,156
52,2020-04-18,31589,9594,3601,1140,129
53,2020-04-19,32655,9704,3684,1066,110
54,2020-04-20,33405,9779,3751,750,75
55,2020-04-21,34134,9897,3916,729,118
56,2020-04-22,34842,10021,4054,708,124
57,2020-04-23,35729,10158,4177,887,137
58,2020-04-24,36535,10281,4289,806,123
59,2020-04-25,37190,10381,4409,655,100
60,2020-04-26,37845,10456,4475,655,75
61,2020-04-27,38245,10521,4518,400,65
62,2020-04-28,38416,10609,4566,171,88
63,2020-04-29,38802,10685,4711,386,76
64,2020-04-30,39316,10769,4795,514,84
65,2020-05-01,39791,10854,4893,475,85
66,2020-05-02,40236,10951,4987,445,97
67,2020-05-03,40571,10995,5056,335,44
68,2020-05-04,40770,11037,5082,199,42
69,2020-05-05,41087,11126,5168,317,89
70,2020-05-06,41319,11153,5204,232,27
71,2020-05-07,41774,11192,5288,455,39
72,2020-05-08,42093,11227,5359,319,35
73,2020-05-09,42382,11285,5422,289,58
74,2020-05-10,42627,11307,5440,245,22
75,2020-05-11,42788,11343,5456,161,36
76,2020-05-12,42984,11378,5510,196,35
77,2020-05-13,43211,11430,5562,227,52
78,2020-05-14,43481,11457,5590,270,27
79,2020-05-15,43681,11492,5643,200,35
80,2020-05-16,43870,11537,5670,189,45
81,2020-05-17,43995,11552,5680,125,15
82,2020-05-18,44141,11579,5694,146,27
83,2020-05-19,44249,11613,5715,108,34
84,2020-05-20,44447,11627,5748,198,14
85,2020-05-21,44700,11640,5775,253,13
86,2020-05-22,44888,11649,5788,188,9
87,2020-05-23,45064,11659,5811,176,10
88,2020-05-24,45236,11672,5822,172,13
89,2020-05-25,45445,11680,5830,209,8
90,2020-05-26,45578,11690,5856,133,10
91,2020-05-27,45768,11697,5871,190,7
92,2020-05-28,45950,11713,5903,182,16
93,2020-05-29,46126,11722,5931,176,9
94,2020-05-30,46257,11727,5951,131,5
95,2020-05-31,46442,11735,5956,185,8
96,2020-06-01,46545,11744,5962,103,9
97,2020-06-02,46647,11750,5967,102,6
98,2020-06-03,46733,11759,5977,86,9
99,2020-06-04,46942,11771,5990,209,12
100,2020-06-05,47152,11782,6005,210,11
101,2020-06-06,47335,11785,6011,183,3
102,2020-06-07,47574,11789,6013,239,4
103,2020-06-08,47739,11794,6016,165,5
104,2020-06-09,47903,11800,6031,164,6
105,2020-06-10,48087,11805,6042,184,5
106,2020-06-11,48251,11808,6044,164,3
107,2020-06-12,48461,11813,6053,210,5
108,2020-06-13,48640,11822,6057,179,9
109,2020-06-14,48783,11828,6059,143,6
110,2020-06-15,48948,11831,6065,165,3
111,2020-06-16,49087,11834,6070,139,3
112,2020-06-17,49204,11836,6074,117,2
113,2020-06-18,49319,11835,6078,115,0
114,2020-06-19,49426,11846,6081,107,11
115,2020-06-20,49502,11846,6089,76,0
116,2020-06-21,49593,11849,6090,91,3
117,2020-06-22,49658,11851,6090,65,2
118,2020-06-23,49722,11853,6095,64,2
119,2020-06-24,49804,11859,6097,82,6
120,2020-06-25,49914,11863,6100,110,4
121,2020-06-26,50005,11868,6103,91,5
122,2020-06-27,50074,11868,6105,69,0
123,2020-06-28,50147,11871,6105,73,3
124,2020-06-29,50223,11874,6107,76,3
125,2020-06-30,50273,11877,6113,50,3
1,2020-07-02,50335,11878,6115,62,1
1,2020-07-02,50412,11878,6118,77,0
1,2020-07-03,50487,11882,6120,75,4
1,2020-07-04,50548,11883,6126,61,1
1,2020-07-05,50621,11884,6127,73,1
1,2020-07-06,50657,11884,6128,36,0
1,2020-07-07,50694,11886,6132,37,2
1,2020-07-08,50746,11889,6135,52,3
1,2020-07-09,50798,11887,6137,52,0
1,2020-07-10,50840,11888,6136,42,1
1,2020-07-11,50921,11891,6137,81,3
1,2020-07-12,51022,11893,6137,101,2
1,2020-07-13,51093,11894,6137,71,1
1,2020-07-14,51146,11892,6135,53,0
1,2020-07-15,51252,11897,6136,106,5
1,2020-07-16,51351,11898,6137,99,1
1,2020-07-17,51454,11894,6138,103,0
1,2020-07-18,51581,11895,6136,127,1
1,2020-07-19,51725,11898,6136,144,3
1,2020-07-20,51910,11900,6136,185,2
1,2020-07-21,52073,11902,6136,163,2
1,2020-07-22,52241,11902,6139,168,0
1,2020-07-23,52404,11905,6139,163,3
1,2020-07-24,52595,11904,6139,191,0
1,2020-07-25,52732,11906,6140,137,2
1,2020-07-26,52946,11908,6140,214,2
1,2020-07-27,53151,11913,6141,205,5
