"","id","statcode","jrstatcode","statnaam","rubriek"
"1","cbs_ggdregio_2019_gegeneraliseerd.1","GG0111","2019GG0111","GGD Groningen","ggdregio"
"2","cbs_ggdregio_2019_gegeneraliseerd.2","GG0706","2019GG0706","GGD Drenthe","ggdregio"
"3","cbs_ggdregio_2019_gegeneraliseerd.3","GG1009","2019GG1009","GGD IJsselland","ggdregio"
"4","cbs_ggdregio_2019_gegeneraliseerd.4","GG1106","2019GG1106","GGD Regio Twente","ggdregio"
"5","cbs_ggdregio_2019_gegeneraliseerd.5","GG1413","2019GG1413","GGD Noord- en Oost-Gelderland","ggdregio"
"6","cbs_ggdregio_2019_gegeneraliseerd.6","GG1911","2019GG1911","Veiligheids- en Gezondheidsregio Gelderland-Midden","ggdregio"
"7","cbs_ggdregio_2019_gegeneraliseerd.7","GG2014","2019GG2014","GGD Gelderland-Zuid","ggdregio"
"8","cbs_ggdregio_2019_gegeneraliseerd.8","GG2209","2019GG2209","GGD Flevoland","ggdregio"
"9","cbs_ggdregio_2019_gegeneraliseerd.9","GG2514","2019GG2514","GGD Regio Utrecht","ggdregio"
"10","cbs_ggdregio_2019_gegeneraliseerd.10","GG2707","2019GG2707","GGD Hollands-Noorden","ggdregio"
"11","cbs_ggdregio_2019_gegeneraliseerd.11","GG3109","2019GG3109","GGD Kennemerland","ggdregio"
"12","cbs_ggdregio_2019_gegeneraliseerd.12","GG3406","2019GG3406","GGD Amsterdam","ggdregio"
"13","cbs_ggdregio_2019_gegeneraliseerd.13","GG3606","2019GG3606","GGD Gooi en Vechtstreek","ggdregio"
"14","cbs_ggdregio_2019_gegeneraliseerd.14","GG4506","2019GG4506","GGD Hollands-Midden","ggdregio"
"15","cbs_ggdregio_2019_gegeneraliseerd.15","GG4607","2019GG4607","GGD Rotterdam-Rijnmond","ggdregio"
"16","cbs_ggdregio_2019_gegeneraliseerd.16","GG4816","2019GG4816","Dienst Gezondheid & Jeugd ZHZ","ggdregio"
"17","cbs_ggdregio_2019_gegeneraliseerd.17","GG5006","2019GG5006","GGD Zeeland","ggdregio"
"18","cbs_ggdregio_2019_gegeneraliseerd.18","GG5206","2019GG5206","GGD West-Brabant","ggdregio"
"19","cbs_ggdregio_2019_gegeneraliseerd.19","GG5406","2019GG5406","GGD Hart voor Brabant","ggdregio"
"20","cbs_ggdregio_2019_gegeneraliseerd.20","GG5608","2019GG5608","GGD Brabant-Zuidoost","ggdregio"
"21","cbs_ggdregio_2019_gegeneraliseerd.21","GG6011","2019GG6011","GGD Limburg-Noord","ggdregio"
"22","cbs_ggdregio_2019_gegeneraliseerd.23","GG7014","2019GG7014","GGD Haaglanden","ggdregio"
"23","cbs_ggdregio_2019_gegeneraliseerd.24","GG7206","2019GG7206","GGD Fryslân","ggdregio"
"24","cbs_ggdregio_2019_gegeneraliseerd.22","GG6106","2019GG6106","GGD Zuid-Limburg","ggdregio"
"25","cbs_ggdregio_2019_gegeneraliseerd.25","GG7306","2019GG7306","GGD Zaanstreek/Waterland","ggdregio"
